pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.08724024186632606,-0.10051379615592193,0.26963878752511194,0.20314200967050894,162,FirstReading,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.19122349329470642,-0.1991744066047472,0.44719194329233186,0.428158031919205,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.3000731039218529,-0.29411764705882354,0.2419175433004408,0.2518444167529261,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.4869645367339232,0.3758241758241759,0.07739795173105307,0.185410028697123,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.4623692071149083,0.5196078431372549,0.061662777407522656,0.03253716699175945,17,FirstReading,4,,3,1,17,17,ns,*
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.30094555991368527,-0.4461538461538462,0.29577262770931795,0.10980712780122508,14,FirstReading,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.26885977235692193,-0.2964285714285714,0.33256782645500677,0.28335542843426287,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.5013958990919121,-0.5661764705882354,0.040319010967914834,0.017822844509159524,17,FirstReading,7,,3,1,17,17,*,*
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.1963946471920411,-0.22058823529411767,0.4499604530071994,0.3948890883363402,17,FirstReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,0.43482094818256434,0.35000000000000003,0.09234637406771466,0.18386882202619317,16,FirstReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Adv,-0.5905638653424143,-0.39117113422292316,0.012559274392844334,0.12051466953072729,17,FirstReading,10,,3,1,17,17,*,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.07249014398785514,-0.04482180940683405,0.359294081252618,0.5711520561666752,162,FirstReading,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.25261969259046174,-0.40144478844169246,0.311845505213187,0.09869191321215517,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.027628377425145775,0.05640712280330554,0.9161717876283121,0.8297456613377356,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.08060789708604497,0.07252747252747253,0.7841366239715281,0.8053763135410923,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.07807988901568647,-0.02207235240129347,0.7658062845015285,0.9329894626710955,17,FirstReading,4,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.585210603214341,-0.5896593227119474,0.0279137801571092,0.02646271242550146,14,FirstReading,5,,3,1,14,14,*,*
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.3847845230346077,-0.28928571428571426,0.15671519191941435,0.29566536100437785,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.21141145935094102,0.13725490196078433,0.41533263103703194,0.5993690521648235,17,FirstReading,7,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,-0.2119077389551757,-0.24019607843137256,0.41421295378936457,0.3530886590520008,17,FirstReading,8,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.3034498683287716,0.2604857217345777,0.2532304436125301,0.3298656564273067,16,FirstReading,9,,3,1,16,16,ns,ns
mean_HigherPassFixation,flesch_reading_ease,Ele,0.08627510375515493,0.05392156862745098,0.7419737513112924,0.8371514461082935,17,FirstReading,10,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.054568714767836125,-0.0362779052670782,0.4903940681351785,0.6467241878740535,162,FirstReading,all,,3,10,162,162,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.058278893877607554,0.021671826625386997,0.8183248498972352,0.9319797351987382,18,FirstReading,1,,3,1,18,18,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.03328803816614695,0.002450980392156863,0.8990749543339193,0.992551188788469,17,FirstReading,2,,3,1,17,17,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.3550026274775188,-0.4681318681318682,0.21293980286303038,0.09137636506833118,14,FirstReading,3,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.4952054687097322,0.34334770402012066,0.04326195072867015,0.1772475767043842,17,FirstReading,4,,3,1,17,17,*,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.2825424801838688,-0.3010989010989011,0.3277027215014812,0.2955144656072166,14,FirstReading,5,,3,1,14,14,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,-0.33813597875502266,-0.24285714285714283,0.21768887952292543,0.38312834183934175,15,FirstReading,6,,3,1,15,15,ns,ns
mean_HigherPassFixation,flesch_reading_ease,diff,0.010608872565051677,-0.01715686274509804,0.9677658577687825,0.947890881823222,17,FirstReading,7,,3,1,17,17,ns,ns
