pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_FF,flesch_reading_ease,Adv,-0.09491149940586943,-0.09324330134975317,0.004738301273026011,0.005529574929944834,884,FirstReading,all,,3,10,162,884,**,**
mean_nonzero_FF,flesch_reading_ease,Adv,-0.23064827503486973,-0.200590112153501,0.027836930380476774,0.05658782324688642,91,FirstReading,1,,3,1,18,91,*,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.12927136902114944,-0.09107360005611213,0.19534539182348196,0.3626348324610982,102,FirstReading,2,,3,1,17,102,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.028318845962364655,-0.04493004698005006,0.7922148766057379,0.6758824786218693,89,FirstReading,3,,3,1,14,89,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.08353926488124232,0.04441474898692139,0.46128820089033273,0.6956505251016158,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.11402143994801167,0.01475233433498167,0.3472869219094572,0.9035238639927381,70,FirstReading,5,,3,1,14,70,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.05726476752590764,-0.07948412956731364,0.6208235261461984,0.49198779130578585,77,FirstReading,6,,3,1,15,77,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.23839634348332442,-0.2767359944339606,0.010997295631878339,0.0030051342016065297,113,FirstReading,7,,3,1,17,113,*,**
mean_nonzero_FF,flesch_reading_ease,Adv,-0.28853023499285757,-0.26459964906953815,0.00435996861651053,0.009182508476940975,96,FirstReading,8,,3,1,17,96,**,**
mean_nonzero_FF,flesch_reading_ease,Adv,0.04231729136939206,0.03312932069759809,0.6954492536247943,0.7592840613260564,88,FirstReading,9,,3,1,16,88,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.18598478373900926,0.1718170039634843,0.10303555544906064,0.1325408131203698,78,FirstReading,10,,3,1,17,78,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.01525226885207017,-0.002180702669746401,0.6686215074874478,0.9512031982671739,790,FirstReading,all,,3,10,162,790,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.07970707412855432,0.11156380805569628,0.4936947905609316,0.3373213744721799,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.11249096179182945,-0.09865678286146524,0.28037458969055407,0.34413564935839247,94,FirstReading,2,,3,1,17,94,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.3573744368740373,0.22185126894150614,0.0013178304226652286,0.05092587765218931,78,FirstReading,3,,3,1,14,78,**,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.19098888900716116,0.1652471122870961,0.09840022537524812,0.15371148765905357,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.009832292602851858,0.06667423048738258,0.9421329301333031,0.6221707529388043,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.1728153296653608,-0.17122107422833757,0.15253581507236416,0.15641444736093704,70,FirstReading,6,,3,1,15,70,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.09769401885632031,-0.10085334703714723,0.33355745886850474,0.31808442001408027,100,FirstReading,7,,3,1,17,100,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.12285486256045709,-0.13893322868884223,0.25139107309372083,0.19412514221024751,89,FirstReading,8,,3,1,17,89,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.006615501890933184,0.03653334232556539,0.9544640205892814,0.7524271464365297,77,FirstReading,9,,3,1,16,77,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.04532083164723696,0.09239859967177583,0.7034008384264462,0.4368676641386403,73,FirstReading,10,,3,1,17,73,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.005708119723226653,-0.010215524435346752,0.8727353186461884,0.774357389043179,790,FirstReading,all,,3,10,162,790,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.08702783608725553,-0.0996551597456309,0.45473942777795984,0.3917157184908603,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.2830525052575572,-0.26416392304627945,0.0057036348674292005,0.010088818694883855,94,FirstReading,2,,3,1,17,94,**,*
mean_nonzero_FF,flesch_reading_ease,diff,0.18518991397520637,0.1676815936304691,0.10454217694202964,0.14226021066397063,78,FirstReading,3,,3,1,14,78,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.13182419673129075,-0.08400167157391084,0.2563198245698404,0.4706330572038825,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.1665552632230931,0.17404274800835645,0.21561345403337154,0.1953925204067191,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.05159746759805401,0.12366628952490119,0.6714161859507709,0.3077482870421891,70,FirstReading,6,,3,1,15,70,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.009102825091112408,-0.09668268918043932,0.9283780842759811,0.3386098643814165,100,FirstReading,7,,3,1,17,100,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.1187527834973088,0.027879351159956732,0.26768838806844997,0.7953686185059419,89,FirstReading,8,,3,1,17,89,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.15566866256422424,0.19021876047440955,0.1764066849275377,0.09751374692944155,77,FirstReading,9,,3,1,16,77,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.05081947505308103,-0.019661088023587493,0.6693912460902757,0.8688645190779329,73,FirstReading,10,,3,1,17,73,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.09579020131581392,0.06774957420363947,0.00436402771656083,0.04403015429564895,884,FirstReading,all,,3,10,162,884,**,*
mean_nonzero_FF,dale_chall_score,Adv,0.07798886317392947,0.17141014215232156,0.4624600503526291,0.10424939587195411,91,FirstReading,1,,3,1,18,91,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.08286261989335526,0.06294216495110949,0.40768036500176513,0.5296936125248356,102,FirstReading,2,,3,1,17,102,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.02474168547625385,0.013594728988212314,0.8179766428130272,0.8993795306196912,89,FirstReading,3,,3,1,14,89,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.0944135265598735,0.11978104443903745,0.40482627085737377,0.2899147949966582,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.0235159933281891,-0.028611928291548953,0.8467764940034634,0.8141137383901319,70,FirstReading,5,,3,1,14,70,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.115329625589433,-0.11287937205017741,0.3178924797446116,0.3283515019605495,77,FirstReading,6,,3,1,15,77,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.22552514202096052,0.27916048950839795,0.016317407880647943,0.002750866250614344,113,FirstReading,7,,3,1,17,113,*,**
mean_nonzero_FF,dale_chall_score,Adv,0.3567387750079552,0.25750458811112503,0.00036017877642898004,0.01131438323219119,96,FirstReading,8,,3,1,17,96,***,*
mean_nonzero_FF,dale_chall_score,Adv,-0.15987588497081845,-0.11100886340331557,0.13677372618766354,0.30317323864572815,88,FirstReading,9,,3,1,16,88,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.13484921896952698,-0.18934761661722863,0.2391502161612077,0.0968479984428477,78,FirstReading,10,,3,1,17,78,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.0050622283539319725,-0.04515574150244758,0.8870331222116282,0.20485983728024473,790,FirstReading,all,,3,10,162,790,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.005072016921106119,-0.01587236488305533,0.96531550340333,0.8917522371477282,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.22537786659314712,0.05609232804593674,0.028957443975766745,0.5912801357422366,94,FirstReading,2,,3,1,17,94,*,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.1577199036657027,-0.1394795919853723,0.1678627007652337,0.2232521652453589,78,FirstReading,3,,3,1,14,78,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.17113573494305434,-0.18784862799720622,0.13937319672933063,0.10416528579567164,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.17892980485468563,-0.154255062172802,0.18294625146570898,0.2519309320933559,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.1815615235416922,0.1262128283432589,0.13252113301672258,0.29781558858039137,70,FirstReading,6,,3,1,15,70,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.07381192010021843,0.028288611099757156,0.4654906734813804,0.7799490398254323,100,FirstReading,7,,3,1,17,100,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.027802361521226036,0.022362490297993993,0.7959214233028244,0.8352204144759889,89,FirstReading,8,,3,1,17,89,ns,ns
