pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2688982746998103,-0.28206087743857045,4.1575768584608295e-16,1.2461908196398483e-17,884,FirstReading,all,,3,10,162,884,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.34796014627045146,-0.3412373239505067,0.0007256258957216193,0.0009324776116053094,91,FirstReading,1,,3,1,18,91,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2310721753010985,-0.20140243812470868,0.019456342435802212,0.04237217438849656,102,FirstReading,2,,3,1,17,102,*,*
mean_nonzero_TF,flesch_reading_ease,Adv,-0.16067400766895445,-0.20539450048022886,0.1325405440694602,0.0534909024139946,89,FirstReading,3,,3,1,14,89,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,0.03888900165916104,0.021732632520916402,0.731982909585301,0.8482546400268034,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2128826453056613,-0.19561280331723024,0.07683104197064791,0.10461806278632764,70,FirstReading,5,,3,1,14,70,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.37803759734862,-0.3490149969819786,0.0006996109647068706,0.0018648526524875366,77,FirstReading,6,,3,1,15,77,***,**
mean_nonzero_TF,flesch_reading_ease,Adv,-0.336380133901883,-0.41373574088948534,0.000269728764891604,5.238784416765427e-06,113,FirstReading,7,,3,1,17,113,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.38122218031923394,-0.3860703485372838,0.00012708703347823685,0.00010237388389792065,96,FirstReading,8,,3,1,17,96,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.12434735609440749,-0.10603672262620376,0.24838156427961625,0.3254767872100722,88,FirstReading,9,,3,1,16,88,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.3347691629748062,-0.31630465818715625,0.0027370945186334507,0.0047837304290636795,78,FirstReading,10,,3,1,17,78,**,**
mean_nonzero_TF,flesch_reading_ease,Ele,-0.2385861958663747,-0.23879429143065156,1.0932765596342797e-11,1.0479518897140833e-11,790,FirstReading,all,,3,10,162,790,***,***
mean_nonzero_TF,flesch_reading_ease,Ele,-0.22750998647988396,-0.2905034060744405,0.04809619506175047,0.01090481499161896,76,FirstReading,1,,3,1,18,76,*,*
mean_nonzero_TF,flesch_reading_ease,Ele,-0.31501843819387604,-0.2897564308122513,0.001984835363689979,0.004615043740940787,94,FirstReading,2,,3,1,17,94,**,**
mean_nonzero_TF,flesch_reading_ease,Ele,-0.3578628568968298,-0.31242293787835085,0.0012964098090082641,0.005356581969715999,78,FirstReading,3,,3,1,14,78,**,**
mean_nonzero_TF,flesch_reading_ease,Ele,-0.04248162580794777,-0.059785357990524646,0.7155795285979079,0.6079387149377561,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.409356143573397,-0.4026060364043651,0.0015674294167128838,0.0019040150629661026,57,FirstReading,5,,3,1,14,57,**,**
mean_nonzero_TF,flesch_reading_ease,Ele,-0.2854861095300934,-0.21330883828385183,0.01659193733633013,0.07622825370219273,70,FirstReading,6,,3,1,15,70,*,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.1207458643746634,-0.19267514062368718,0.2314383803532881,0.05478669614496794,100,FirstReading,7,,3,1,17,100,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.2962610082353626,-0.37756296725360544,0.004817513351640656,0.0002647510047802867,89,FirstReading,8,,3,1,17,89,**,***
mean_nonzero_TF,flesch_reading_ease,Ele,-0.09845911924870678,-0.10710224538552761,0.39426050732833834,0.35386591392495104,77,FirstReading,9,,3,1,16,77,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.15736352704874362,-0.1112979626034715,0.18364695838520814,0.34853530022963286,73,FirstReading,10,,3,1,17,73,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.17387042319836724,-0.15895797405555784,8.800474091681289e-07,7.145053860051063e-06,790,FirstReading,all,,3,10,162,790,***,***
mean_nonzero_TF,flesch_reading_ease,diff,-0.11045038558558239,-0.14114050368039358,0.3421954595531421,0.22393129019751848,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,0.009190098782836702,-0.041333246275413744,0.9299474255037415,0.6924385691370754,94,FirstReading,2,,3,1,17,94,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.3660634167138858,-0.23502766626478105,0.000980768484437961,0.038330229374623694,78,FirstReading,3,,3,1,14,78,***,*
mean_nonzero_TF,flesch_reading_ease,diff,-0.09495522934861414,-0.0395736346304571,0.4145418434774448,0.7343006875977092,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.0691810778396058,-0.034853940780362,0.6091077119552546,0.7968778268728078,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.3716454358905569,-0.328692442782451,0.0015364615164572637,0.0054666757729736285,70,FirstReading,6,,3,1,15,70,**,**
mean_nonzero_TF,flesch_reading_ease,diff,-0.19124238267156327,-0.20485571166931055,0.05664868014977563,0.04090035504679752,100,FirstReading,7,,3,1,17,100,ns,*
mean_nonzero_TF,flesch_reading_ease,diff,-0.06223432744633832,-0.1161368736875031,0.5623329885757207,0.2784459603626828,89,FirstReading,8,,3,1,17,89,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.16056961752538737,-0.16690034860580671,0.16301078342961642,0.14683904719168725,77,FirstReading,9,,3,1,16,77,ns,ns
mean_nonzero_TF,flesch_reading_ease,diff,-0.24539330781405103,-0.21772719839664129,0.036387981446983186,0.0642529023800244,73,FirstReading,10,,3,1,17,73,*,ns
mean_nonzero_TF,dale_chall_score,Adv,0.2987367942562367,0.3054377899095098,1.1099055584095945e-19,1.52265806148926e-20,884,FirstReading,all,,3,10,162,884,***,***
mean_nonzero_TF,dale_chall_score,Adv,0.26095727477490177,0.3010129325601744,0.012475075251973817,0.0037393710684225524,91,FirstReading,1,,3,1,18,91,*,**
mean_nonzero_TF,dale_chall_score,Adv,0.2771551497039018,0.12215191041724752,0.0048008676522731985,0.2213087908129928,102,FirstReading,2,,3,1,17,102,**,ns
mean_nonzero_TF,dale_chall_score,Adv,0.32806607839692087,0.34118768806984945,0.0016977761831979282,0.0010678019532102303,89,FirstReading,3,,3,1,14,89,**,**
mean_nonzero_TF,dale_chall_score,Adv,0.16905682329876692,0.17326581846539302,0.13384633918913996,0.12429420137801278,80,FirstReading,4,,3,1,17,80,ns,ns
mean_nonzero_TF,dale_chall_score,Adv,0.29394251910993785,0.3188086297342133,0.013517155001255127,0.007147412827437657,70,FirstReading,5,,3,1,14,70,*,**
mean_nonzero_TF,dale_chall_score,Adv,0.15910489981290177,0.18656780442162443,0.16693304745500515,0.10423765249262029,77,FirstReading,6,,3,1,15,77,ns,ns
mean_nonzero_TF,dale_chall_score,Adv,0.34862022442467866,0.48098665295743315,0.00015426008256538728,6.953542169786434e-08,113,FirstReading,7,,3,1,17,113,***,***
mean_nonzero_TF,dale_chall_score,Adv,0.35251954476357217,0.30755664816096284,0.00042746961956532524,0.002302184718665113,96,FirstReading,8,,3,1,17,96,***,**
mean_nonzero_TF,dale_chall_score,Adv,0.2411423459024379,0.30190606639054984,0.023618320624319372,0.004254327288594983,88,FirstReading,9,,3,1,16,88,*,**
mean_nonzero_TF,dale_chall_score,Adv,0.24490377716299547,0.33955344366523993,0.030692560095881682,0.0023552286319892847,78,FirstReading,10,,3,1,17,78,*,**
mean_nonzero_TF,dale_chall_score,Ele,0.3540693054826407,0.3198705723774743,9.560091212155607e-25,2.9805463118980177e-20,790,FirstReading,all,,3,10,162,790,***,***
mean_nonzero_TF,dale_chall_score,Ele,0.4348812035046224,0.4476526405949731,8.65051651734718e-05,5.022445728362715e-05,76,FirstReading,1,,3,1,18,76,***,***
mean_nonzero_TF,dale_chall_score,Ele,0.4443371830730282,0.2136090085944143,7.246233649970811e-06,0.038712438470774505,94,FirstReading,2,,3,1,17,94,***,*
mean_nonzero_TF,dale_chall_score,Ele,0.40146069524711,0.35045053708465423,0.0002696074989247415,0.0016579124792536102,78,FirstReading,3,,3,1,14,78,***,**
mean_nonzero_TF,dale_chall_score,Ele,0.20995095081288284,0.187506836461549,0.06870996530856373,0.10480830110326583,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_TF,dale_chall_score,Ele,0.3812971975057665,0.3784905150224436,0.0034292609073462194,0.0036951302726926268,57,FirstReading,5,,3,1,14,57,**,**
mean_nonzero_TF,dale_chall_score,Ele,0.2974354279078899,0.20806831302227807,0.01239869527812116,0.0839073112211275,70,FirstReading,6,,3,1,15,70,*,ns
mean_nonzero_TF,dale_chall_score,Ele,0.28550327899652084,0.27949555833075723,0.003985299233172815,0.004859990763826169,100,FirstReading,7,,3,1,17,100,**,**
mean_nonzero_TF,dale_chall_score,Ele,0.44948853808812916,0.4613040394893767,9.928048339800804e-06,5.37161696458009e-06,89,FirstReading,8,,3,1,17,89,***,***
mean_nonzero_TF,dale_chall_score,Ele,0.2057126375053534,0.2686892855006897,0.07267838738100753,0.018137346048209508,77,FirstReading,9,,3,1,16,77,ns,*
mean_nonzero_TF,dale_chall_score,Ele,0.31107271424191063,0.2926080488063041,0.007389882223766362,0.012000205002712504,73,FirstReading,10,,3,1,17,73,**,*
mean_nonzero_TF,dale_chall_score,diff,0.21027693554811047,0.18748867154448234,2.4057867411530697e-09,1.1051155668359079e-07,790,FirstReading,all,,3,10,162,790,***,***
mean_nonzero_TF,dale_chall_score,diff,0.19255291658904056,0.14486812577450667,0.0956235824429806,0.21181182807172433,76,FirstReading,1,,3,1,18,76,ns,ns
mean_nonzero_TF,dale_chall_score,diff,0.2140376718854958,0.2180308505578172,0.038314171290415776,0.034766095009283654,94,FirstReading,2,,3,1,17,94,*,*
mean_nonzero_TF,dale_chall_score,diff,0.24094731319120885,0.10836904045996525,0.033582580780227286,0.3449538867892006,78,FirstReading,3,,3,1,14,78,*,ns
mean_nonzero_TF,dale_chall_score,diff,0.20869854742267785,0.12270024894865571,0.07041729267776953,0.29099371220167913,76,FirstReading,4,,3,1,17,76,ns,ns
mean_nonzero_TF,dale_chall_score,diff,0.2042108484200203,0.19557360633277512,0.1275817006596963,0.14485242326041303,57,FirstReading,5,,3,1,14,57,ns,ns
mean_nonzero_TF,dale_chall_score,diff,0.17349682012013332,0.2099989770490871,0.15089984160452985,0.08101000319315113,70,FirstReading,6,,3,1,15,70,ns,ns
mean_nonzero_TF,dale_chall_score,diff,0.260897653430656,0.24229515230570275,0.008748029755662664,0.01514902277874936,100,FirstReading,7,,3,1,17,100,**,*
mean_nonzero_TF,dale_chall_score,diff,0.20206770335668828,0.2434652991569417,0.05756532999561392,0.02149990221541768,89,FirstReading,8,,3,1,17,89,ns,*
