pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
RegRateTotal,flesch_reading_ease,Adv,-0.08472727452981205,-0.1178204280040552,0.011732442013405913,0.0004475514361791704,884,FirstReading,all,,3,10,162,884,*,***
RegRateTotal,flesch_reading_ease,Adv,-0.21348913198229852,-0.1891843468162148,0.04216450692866946,0.07249264386100408,91,FirstReading,1,,3,1,18,91,*,ns
RegRateTotal,flesch_reading_ease,Adv,-0.03590362720601435,-0.04967115881949364,0.7201521828658951,0.6200512909727506,102,FirstReading,2,,3,1,17,102,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.035045236669470986,-0.06684202925154532,0.7443921959424014,0.5336994291831768,89,FirstReading,3,,3,1,14,89,ns,ns
RegRateTotal,flesch_reading_ease,Adv,0.06981401194570086,0.061376517734368016,0.538317432657571,0.5886188141885542,80,FirstReading,4,,3,1,17,80,ns,ns
RegRateTotal,flesch_reading_ease,Adv,0.01722728492236088,-0.10209563982134146,0.88743621718331,0.40034021884938287,70,FirstReading,5,,3,1,14,70,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.006991537388818732,0.021271141521652905,0.9518786786865028,0.8543105671177202,77,FirstReading,6,,3,1,15,77,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.14102477906218708,-0.20407658256033462,0.13624986812580092,0.030149944357226455,113,FirstReading,7,,3,1,17,113,ns,*
RegRateTotal,flesch_reading_ease,Adv,-0.18855043351903117,-0.2536051995262614,0.06580526410140825,0.012660970095576294,96,FirstReading,8,,3,1,17,96,ns,*
RegRateTotal,flesch_reading_ease,Adv,-0.027122012055094222,-0.055141409235800375,0.8019414530242551,0.6098660514626513,88,FirstReading,9,,3,1,16,88,ns,ns
RegRateTotal,flesch_reading_ease,Adv,0.06559583040984047,0.02667172540549009,0.5682786286376295,0.8166961503758936,78,FirstReading,10,,3,1,17,78,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.012089299295245135,-0.03682603902062547,0.7344081842092433,0.3012395245319879,790,FirstReading,all,,3,10,162,790,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.13590485378586936,-0.19254170149555866,0.24176131961901387,0.09564327168334705,76,FirstReading,1,,3,1,18,76,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.09238983445326304,-0.08331195773728224,0.3757987030310548,0.42468418208856495,94,FirstReading,2,,3,1,17,94,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.10143815069463125,-0.10751817902141819,0.3768604284206889,0.34877725142858595,78,FirstReading,3,,3,1,14,78,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.024709438971874886,-0.014273116939424714,0.8322052228682486,0.9026027155306022,76,FirstReading,4,,3,1,17,76,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.10101874117330335,-0.10508573554341433,0.45464489897969856,0.4365923149029486,57,FirstReading,5,,3,1,14,57,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.030993023137687974,0.018322614954729092,0.7989560387162981,0.880330421914214,70,FirstReading,6,,3,1,15,70,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.1372238285480629,0.15541659693363719,0.17337600959248886,0.1225824452706854,100,FirstReading,7,,3,1,17,100,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.08674904779035855,-0.1723406981282593,0.4188919351298785,0.10631426246476226,89,FirstReading,8,,3,1,17,89,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.24037061272209326,0.16117582168002673,0.03522840812163638,0.16140755017715216,77,FirstReading,9,,3,1,16,77,*,ns
RegRateTotal,flesch_reading_ease,Ele,-0.029912609784082375,0.005754663162059173,0.8016451798146813,0.9614615168318081,73,FirstReading,10,,3,1,17,73,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.004422487295754715,-0.006154593068775484,0.9012310614805591,0.8628758513896664,790,FirstReading,all,,3,10,162,790,ns,ns
RegRateTotal,flesch_reading_ease,diff,-0.19534345106462853,-0.2145576547414517,0.09082250963725376,0.06271457345605307,76,FirstReading,1,,3,1,18,76,ns,ns
RegRateTotal,flesch_reading_ease,diff,-0.022535124381436886,-0.016468206783747524,0.8293072217671379,0.8748196476791237,94,FirstReading,2,,3,1,17,94,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.01944746468662303,0.022849560358070113,0.8657979762886767,0.8425994049751159,78,FirstReading,3,,3,1,14,78,ns,ns
RegRateTotal,flesch_reading_ease,diff,-0.05902293356419213,-0.07470309812929757,0.6125308558422746,0.5212951081040297,76,FirstReading,4,,3,1,17,76,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.15368531873224608,0.17829006544298664,0.25370799841103836,0.18454219942846847,57,FirstReading,5,,3,1,14,57,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.11585273780973325,0.2471039907142665,0.33954649414433136,0.039179692020975494,70,FirstReading,6,,3,1,15,70,ns,*
RegRateTotal,flesch_reading_ease,diff,-0.06453703132908502,-0.1960568714579002,0.5235245003549794,0.05059055362291364,100,FirstReading,7,,3,1,17,100,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.1170080890124839,0.11829262590975198,0.2748315640669763,0.2695600853570065,89,FirstReading,8,,3,1,17,89,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.024551104860861248,0.053782364168724436,0.8321513041542549,0.6422497340141924,77,FirstReading,9,,3,1,16,77,ns,ns
RegRateTotal,flesch_reading_ease,diff,0.08448365378693283,0.07242092108215926,0.477306096934633,0.5426005216953,73,FirstReading,10,,3,1,17,73,ns,ns
RegRateTotal,dale_chall_score,Adv,0.24082111681587604,0.25607632208765296,3.9559227358357233e-13,1.0569612782672362e-14,884,FirstReading,all,,3,10,162,884,***,***
RegRateTotal,dale_chall_score,Adv,0.21945228837238448,0.2878052471414356,0.036613102873264164,0.005669248390166774,91,FirstReading,1,,3,1,18,91,*,**
RegRateTotal,dale_chall_score,Adv,0.21282364412845456,0.2384307841544385,0.03174628712750429,0.015810164834752383,102,FirstReading,2,,3,1,17,102,*,*
RegRateTotal,dale_chall_score,Adv,0.348434901817853,0.3248021867241337,0.0008193532813022516,0.001899448125454041,89,FirstReading,3,,3,1,14,89,***,**
RegRateTotal,dale_chall_score,Adv,0.2445777748300716,0.22318728517112357,0.028781728937288715,0.04659004463552757,80,FirstReading,4,,3,1,17,80,*,*
RegRateTotal,dale_chall_score,Adv,0.27396711910006466,0.31781671032478037,0.021733019408124638,0.007338839658518713,70,FirstReading,5,,3,1,14,70,*,**
RegRateTotal,dale_chall_score,Adv,-0.033705914286754235,-0.10996075795803445,0.7710412263348788,0.3410917057603863,77,FirstReading,6,,3,1,15,77,ns,ns
RegRateTotal,dale_chall_score,Adv,0.25343482537832657,0.29273050177779697,0.00675957254294518,0.001652982895056229,113,FirstReading,7,,3,1,17,113,**,**
RegRateTotal,dale_chall_score,Adv,0.25629910423716823,0.26935547430158985,0.011716647444168582,0.007959078390874341,96,FirstReading,8,,3,1,17,96,*,**
RegRateTotal,dale_chall_score,Adv,0.11219970503210776,0.15398874583555736,0.2979833152554221,0.15201585103939896,88,FirstReading,9,,3,1,16,88,ns,ns
RegRateTotal,dale_chall_score,Adv,0.09388526170355002,0.08435403438664942,0.4135895139714978,0.4627800425231198,78,FirstReading,10,,3,1,17,78,ns,ns
RegRateTotal,dale_chall_score,Ele,0.1738744521169191,0.18425982474006178,8.795276708371598e-07,1.833230236800451e-07,790,FirstReading,all,,3,10,162,790,***,***
RegRateTotal,dale_chall_score,Ele,0.33045327199321856,0.3051583179528607,0.0035516619954266185,0.007351711952700624,76,FirstReading,1,,3,1,18,76,**,**
RegRateTotal,dale_chall_score,Ele,0.01493021333686315,0.07493740066707377,0.8864284453144808,0.47285956026966014,94,FirstReading,2,,3,1,17,94,ns,ns
RegRateTotal,dale_chall_score,Ele,0.16961680695997972,0.14983812264909507,0.13764717500032767,0.19040736725428853,78,FirstReading,3,,3,1,14,78,ns,ns
RegRateTotal,dale_chall_score,Ele,0.14399296202345657,0.18679035100351363,0.21461460291885795,0.10616624547729316,76,FirstReading,4,,3,1,17,76,ns,ns
RegRateTotal,dale_chall_score,Ele,0.2345369358357734,0.18501831538612243,0.07907634860665731,0.1682527933590049,57,FirstReading,5,,3,1,14,57,ns,ns
RegRateTotal,dale_chall_score,Ele,0.10734491351886255,0.1122844474530282,0.37642618178557324,0.3547293212276361,70,FirstReading,6,,3,1,15,70,ns,ns
RegRateTotal,dale_chall_score,Ele,0.12012349776226779,0.049190608420457166,0.2338701055553469,0.6269558236117577,100,FirstReading,7,,3,1,17,100,ns,ns
RegRateTotal,dale_chall_score,Ele,0.2885389834725153,0.38982906600280115,0.006103431649671464,0.00015924393226314046,89,FirstReading,8,,3,1,17,89,**,***
