pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_NF,flesch_reading_ease,Adv,-0.3163068164929911,-0.3211659527377849,5.432098011539079e-22,1.169870957590779e-22,884,FirstReading,all,,3,10,162,884,***,***
mean_NF,flesch_reading_ease,Adv,-0.4713856755206582,-0.449010310601822,2.403219132462056e-06,8.037409659788203e-06,91,FirstReading,1,,3,1,18,91,***,***
mean_NF,flesch_reading_ease,Adv,-0.1979337919897362,-0.2642632973748635,0.04613324285237652,0.007276351589343612,102,FirstReading,2,,3,1,17,102,*,**
mean_NF,flesch_reading_ease,Adv,-0.4122475567228222,-0.30979692837071554,5.964753806401304e-05,0.0031332787802357785,89,FirstReading,3,,3,1,14,89,***,**
mean_NF,flesch_reading_ease,Adv,-0.13789898921150542,-0.14242342640840977,0.22252870602594232,0.2075753357837607,80,FirstReading,4,,3,1,17,80,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.14681089473953637,-0.20063524691644702,0.2252156004065067,0.09583471871930037,70,FirstReading,5,,3,1,14,70,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.23178821158369367,-0.2769473500564847,0.042521521279168854,0.014754356456337221,77,FirstReading,6,,3,1,15,77,*,*
mean_NF,flesch_reading_ease,Adv,-0.30864892730729265,-0.387289355382919,0.0008807055613492159,2.257476752405636e-05,113,FirstReading,7,,3,1,17,113,***,***
mean_NF,flesch_reading_ease,Adv,-0.34601200592892867,-0.41126395775320307,0.000554159481177308,3.147759618751826e-05,96,FirstReading,8,,3,1,17,96,***,***
mean_NF,flesch_reading_ease,Adv,-0.3818686848152053,-0.37081590535206277,0.00024143164574823235,0.00037581918031708863,88,FirstReading,9,,3,1,16,88,***,***
mean_NF,flesch_reading_ease,Adv,-0.2507547470974848,-0.3117898141995982,0.02680410950282435,0.005455563254927124,78,FirstReading,10,,3,1,17,78,*,**
mean_NF,flesch_reading_ease,Ele,-0.2649780297249689,-0.2544673112499638,3.684280697247432e-14,3.8473321134574095e-13,790,FirstReading,all,,3,10,162,790,***,***
mean_NF,flesch_reading_ease,Ele,-0.29620450540934246,-0.3479259543384018,0.009375833743665407,0.0020720113702732954,76,FirstReading,1,,3,1,18,76,**,**
mean_NF,flesch_reading_ease,Ele,-0.3995433086299443,-0.36645267338929216,6.624925046044592e-05,0.00028060859420865787,94,FirstReading,2,,3,1,17,94,***,***
mean_NF,flesch_reading_ease,Ele,-0.44961281057994706,-0.3702118244839458,3.634757203345505e-05,0.00084927373462745,78,FirstReading,3,,3,1,14,78,***,***
