pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,flesch_reading_ease,Adv,-0.16052663856159993,-0.16334997872298063,1.6090715141430943e-06,1.0464098298159719e-06,884,FirstReading,all,,3,10,162,884,***,***
mean_FD,flesch_reading_ease,Adv,-0.1760035258051326,-0.07617295627871357,0.09515478234761932,0.472977884907393,91,FirstReading,1,,3,1,18,91,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.24037082548026834,-0.2563293476152406,0.014953691788285156,0.00930894674179853,102,FirstReading,2,,3,1,17,102,*,**
mean_FD,flesch_reading_ease,Adv,0.0510822418367014,-0.005720536485523615,0.6344969441800601,0.9575686157631997,89,FirstReading,3,,3,1,14,89,ns,ns
mean_FD,flesch_reading_ease,Adv,0.0696513276995927,0.10637736792196135,0.5392669349136008,0.3476476930746025,80,FirstReading,4,,3,1,17,80,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.17940472114278289,-0.2534146542169271,0.13726135280988663,0.0342829421307701,70,FirstReading,5,,3,1,14,70,ns,*
mean_FD,flesch_reading_ease,Adv,-0.17261932324166898,-0.31693737935970845,0.13329162318531776,0.004978576020777446,77,FirstReading,6,,3,1,15,77,ns,**
mean_FD,flesch_reading_ease,Adv,-0.22055756046096034,-0.2563744268713885,0.018901048415442878,0.006125906859675834,113,FirstReading,7,,3,1,17,113,*,**
mean_FD,flesch_reading_ease,Adv,-0.3972291857596123,-0.403434933674509,6.143340309755446e-05,4.5877227779507056e-05,96,FirstReading,8,,3,1,17,96,***,***
mean_FD,flesch_reading_ease,Adv,0.007064463795609682,0.11818061769318616,0.9479161982598101,0.27280349736270704,88,FirstReading,9,,3,1,16,88,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.08622288784225185,-0.13810111020765853,0.45289048137335836,0.22790555076187116,78,FirstReading,10,,3,1,17,78,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.0965540539544873,-0.0918308869640304,0.006609797360360376,0.009809970833886619,790,FirstReading,all,,3,10,162,790,**,**
mean_FD,flesch_reading_ease,Ele,0.0579925288200849,0.043545432433504005,0.6187607989385566,0.708771885233508,76,FirstReading,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.27158142005069197,-0.2424656263719195,0.008101476253786202,0.018543215526669026,94,FirstReading,2,,3,1,17,94,**,*
mean_FD,flesch_reading_ease,Ele,-0.09872207400318986,-0.0850958894549048,0.38983519780123643,0.45884024997304973,78,FirstReading,3,,3,1,14,78,ns,ns
mean_FD,flesch_reading_ease,Ele,0.13898913743990496,0.20401941397040918,0.2311429454119763,0.07709982689536153,76,FirstReading,4,,3,1,17,76,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.3191964369030775,-0.3031943373743202,0.01551323124777348,0.021870482620243725,57,FirstReading,5,,3,1,14,57,*,*
mean_FD,flesch_reading_ease,Ele,-0.12391675622892905,-0.1067506697457951,0.3067619540021572,0.3790892589980833,70,FirstReading,6,,3,1,15,70,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.1511957962372079,-0.10793456502499883,0.1332015621803292,0.28511387724016424,100,FirstReading,7,,3,1,17,100,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.1346043942925864,-0.21056216166604308,0.20852336543798886,0.04763353130543728,89,FirstReading,8,,3,1,17,89,ns,*
mean_FD,flesch_reading_ease,Ele,0.09885360937261192,0.04699773257067156,0.39235935418025286,0.6848289982101332,77,FirstReading,9,,3,1,16,77,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.035358862749582956,0.024623169991009216,0.766478082179958,0.8361811653222846,73,FirstReading,10,,3,1,17,73,ns,ns
mean_FD,flesch_reading_ease,diff,-0.1039410992987207,-0.09218301519548962,0.003447157200993474,0.009530850460307357,790,FirstReading,all,,3,10,162,790,**,**
mean_FD,flesch_reading_ease,diff,-0.005743137525776521,0.012879481571300462,0.9607295298070455,0.9120727911052302,76,FirstReading,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,diff,-0.19723108480440626,-0.16757503345605188,0.0567277886294559,0.10644072693045503,94,FirstReading,2,,3,1,17,94,ns,ns
