pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_GD,flesch_reading_ease,Adv,-0.3629843910018038,-0.33286171259885744,2.0626279932924243e-06,1.5053979717620315e-05,162,FirstReading,all,,3,10,162,162,***,***
mean_GD,flesch_reading_ease,Adv,-0.6240543967611831,-0.479876160990712,0.005641082817028495,0.04386464036882083,18,FirstReading,1,,3,1,18,18,**,*
mean_GD,flesch_reading_ease,Adv,-0.5539484792278008,-0.5784313725490197,0.021042272596483745,0.014996936854650101,17,FirstReading,2,,3,1,17,17,*,*
mean_GD,flesch_reading_ease,Adv,0.1995910385889388,0.27472527472527475,0.49390679513477836,0.34182974371948127,14,FirstReading,3,,3,1,14,14,ns,ns
mean_GD,flesch_reading_ease,Adv,0.052344863390412166,0.08578431372549021,0.8418560382233559,0.7433950261372769,17,FirstReading,4,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.37754654147306144,-0.2835164835164835,0.18324068214200329,0.32596594744177265,14,FirstReading,5,,3,1,14,14,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.07717456719604343,-0.15714285714285714,0.7845668944022004,0.5759526006037947,15,FirstReading,6,,3,1,15,15,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.6994289344630082,-0.6813725490196079,0.001778448005679999,0.002596603135725265,17,FirstReading,7,,3,1,17,17,**,**
mean_GD,flesch_reading_ease,Adv,-0.5632805530674925,-0.6397058823529412,0.018547857688527274,0.005684790088863971,17,FirstReading,8,,3,1,17,17,*,**
mean_GD,flesch_reading_ease,Adv,-0.19322633916099866,-0.10882352941176471,0.47336781435485514,0.688288293957414,16,FirstReading,9,,3,1,16,16,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.3844416822528536,-0.2722256796159528,0.12760488114393173,0.29048841448014795,17,FirstReading,10,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.18616901394925606,-0.1938721793242385,0.017693485028919858,0.013436615975772719,162,FirstReading,all,,3,10,162,162,*,*
mean_GD,flesch_reading_ease,Ele,0.1000564935359912,0.09597523219814243,0.6928267074783772,0.7048123642968973,18,FirstReading,1,,3,1,18,18,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.3505719026993217,-0.35070515482055187,0.16770942794164706,0.1675368069327748,17,FirstReading,2,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,Ele,0.21555766775624968,0.14285714285714285,0.45923010126163477,0.6261174762253241,14,FirstReading,3,,3,1,14,14,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.035529111027964404,0.05640712280330554,0.8923162503937186,0.8297456613377356,17,FirstReading,4,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.6318134929806684,-0.4928495831622247,0.015355699438000149,0.07335872525975527,14,FirstReading,5,,3,1,14,14,*,ns
mean_GD,flesch_reading_ease,Ele,-0.18256507663836682,-0.1928571428571428,0.5148923839723225,0.4910487016052232,15,FirstReading,6,,3,1,15,15,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.6171930153319725,-0.6568627450980393,0.00830326764906491,0.004174786387665708,17,FirstReading,7,,3,1,17,17,**,**
mean_GD,flesch_reading_ease,Ele,-0.3544059854315745,-0.37990196078431376,0.16279025146031972,0.13254890262758873,17,FirstReading,8,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,Ele,0.2206994532964572,0.10890363507547314,0.41142467293099366,0.6880695920991755,16,FirstReading,9,,3,1,16,16,ns,ns
mean_GD,flesch_reading_ease,Ele,-0.3086757534186574,-0.26715686274509803,0.22801983575697743,0.2999179120959026,17,FirstReading,10,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,diff,-0.2410399089429575,-0.18503636964253475,0.002002442862314886,0.0184091295515317,162,FirstReading,all,,3,10,162,162,**,*
mean_GD,flesch_reading_ease,diff,-0.07690080796019194,0.013415892672858616,0.7616696824201643,0.9578637574487228,18,FirstReading,1,,3,1,18,18,ns,ns
mean_GD,flesch_reading_ease,diff,0.013421314499852711,-0.07352941176470588,0.959226466017626,0.779127287251723,17,FirstReading,2,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,diff,-0.06034954855525268,-0.14725274725274726,0.837619226320869,0.6154187624847252,14,FirstReading,3,,3,1,14,14,ns,ns
mean_GD,flesch_reading_ease,diff,-0.44846579834447764,-0.3715512654217734,0.07099134779430058,0.14198703572283214,17,FirstReading,4,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,diff,-0.2624758169854702,-0.1912087912087912,0.3646329912677261,0.5125839704707784,14,FirstReading,5,,3,1,14,14,ns,ns
mean_GD,flesch_reading_ease,diff,-0.11266110785743191,0.35,0.6893350922905873,0.2009453508162933,15,FirstReading,6,,3,1,15,15,ns,ns
mean_GD,flesch_reading_ease,diff,-0.3236030700924816,-0.2303921568627451,0.205137572599992,0.3736648667172987,17,FirstReading,7,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,diff,-0.32369874202528753,-0.058823529411764705,0.20499593591238827,0.8225588681711514,17,FirstReading,8,,3,1,17,17,ns,ns
mean_GD,flesch_reading_ease,diff,-0.4019395649293207,-0.4558823529411765,0.12276329679499896,0.07594549116741177,16,FirstReading,9,,3,1,16,16,ns,ns
mean_GD,flesch_reading_ease,diff,-0.528001004570398,-0.4754901960784314,0.029364713135380062,0.05372273084018872,17,FirstReading,10,,3,1,17,17,*,ns
mean_GD,dale_chall_score,Adv,0.4195255011445239,0.36250985306949096,2.7465593942647577e-08,2.1316596716013716e-06,162,FirstReading,all,,3,10,162,162,***,***
mean_GD,dale_chall_score,Adv,0.5933630228913038,0.3787409700722394,0.009437468600287692,0.12116422586370862,18,FirstReading,1,,3,1,18,18,**,ns
mean_GD,dale_chall_score,Adv,0.46761863754385624,0.3960761014232106,0.0583882676035028,0.11552391465224617,17,FirstReading,2,,3,1,17,17,ns,ns
mean_GD,dale_chall_score,Adv,0.13729423048559258,-0.04615384615384615,0.6397557766255839,0.8755025376321142,14,FirstReading,3,,3,1,14,14,ns,ns
mean_GD,dale_chall_score,Adv,-0.06858994274934604,-0.22058823529411767,0.7936529932613119,0.3948890883363402,17,FirstReading,4,,3,1,17,17,ns,ns
mean_GD,dale_chall_score,Adv,0.13386829095153072,0.059340659340659345,0.6482082356733204,0.8403017626906826,14,FirstReading,5,,3,1,14,14,ns,ns
mean_GD,dale_chall_score,Adv,0.06865296442885999,0.0,0.8079198996853056,1.0,15,FirstReading,6,,3,1,15,15,ns,ns
mean_GD,dale_chall_score,Adv,0.7442740913437282,0.6495098039215687,0.000611771008756534,0.004776085665557086,17,FirstReading,7,,3,1,17,17,***,**
