pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
RegRateFirstPass,flesch_reading_ease,Adv,0.23288071411084568,0.21694179449741474,0.0028613868429930044,0.005555245856822481,162,Gathering0,all,,3,10,162,162,**,**
RegRateFirstPass,flesch_reading_ease,Adv,-0.10096024754244903,-0.05675954592363261,0.6901818517577447,0.8229893024799763,18,Gathering0,1,,3,1,18,18,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.6061060420115137,0.41666666666666674,0.009906650182829789,0.09615710991420598,17,Gathering0,2,,3,1,17,17,**,ns
RegRateFirstPass,flesch_reading_ease,Adv,-0.4059959431987247,-0.46373626373626364,0.1497581462132171,0.09487633150889971,14,Gathering0,3,,3,1,14,14,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.5389962920748348,0.43627450980392163,0.02557523372558925,0.0799888724598653,17,Gathering0,4,,3,1,17,17,*,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.5399551160634071,0.5956043956043956,0.046250487018994334,0.024612610795286847,14,Gathering0,5,,3,1,14,14,*,*
RegRateFirstPass,flesch_reading_ease,Adv,0.22488489801193629,0.2071428571428571,0.4203488184667062,0.4588428049634703,15,Gathering0,6,,3,1,15,15,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,-0.2208976371023217,-0.12990196078431374,0.39420948123199084,0.6192473366524134,17,Gathering0,7,,3,1,17,17,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.23329851793493478,0.18627450980392157,0.3674970264074118,0.4740951399440866,17,Gathering0,8,,3,1,17,17,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.4805201305380108,0.45294117647058824,0.05956377936696642,0.07809874141672511,16,Gathering0,9,,3,1,16,16,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.3588753146387402,0.4855917528284564,0.15718018179417562,0.048150498900670025,17,Gathering0,10,,3,1,17,17,ns,*
