pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateFirstPass,flesch_reading_ease,Adv,0.4732343255894136,0.4278821930967866,2.024998318579726e-10,1.3516480296512909e-08,162,Gathering0,all,,3,10,162,162,***,***
SkipRateFirstPass,flesch_reading_ease,Adv,0.45777830495280986,0.32094943240454077,0.05609365762780473,0.19408223512614617,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.18963805058011068,0.2720588235294118,0.46600386449541964,0.2907959385044185,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.14159201526607632,0.06813186813186813,0.629209571340159,0.8169838797817922,14,Gathering0,3,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.7061281097736241,0.5392156862745099,0.0015349325982306004,0.025503680315881926,17,Gathering0,4,,3,1,17,17,**,*
SkipRateFirstPass,flesch_reading_ease,Adv,0.3589898313586575,0.3318681318681319,0.20748067745659554,0.24637718314961166,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.2318655700344183,0.2071428571428571,0.4056759567964855,0.4588428049634703,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.5696638442908428,0.6029411764705883,0.01697943045064739,0.010406870395559806,17,Gathering0,7,,3,1,17,17,*,*
SkipRateFirstPass,flesch_reading_ease,Adv,0.29448580030885135,0.4093137254901961,0.25122349591672966,0.10278434681514409,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,Adv,0.7148046140307955,0.6352941176470589,0.0018587762134976815,0.00818206461633401,16,Gathering0,9,,3,1,16,16,**,**
SkipRateFirstPass,flesch_reading_ease,Adv,0.5113908759499438,0.671980506439379,0.03589110125463558,0.003130420211802454,17,Gathering0,10,,3,1,17,17,*,**
SkipRateFirstPass,flesch_reading_ease,Ele,0.3523687481109566,0.3207595636717435,4.254272561835274e-06,3.16179744179133e-05,162,Gathering0,all,,3,10,162,162,***,***
SkipRateFirstPass,flesch_reading_ease,Ele,0.14458282348471196,0.17234262125902994,0.5670531761779458,0.49407642787678374,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.24324452995872992,0.13488659800790456,0.3468242918989648,0.6057433488707622,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.28214837958391714,0.16483516483516483,0.32840693244857355,0.5733464050131383,14,Gathering0,3,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.7693093825829588,0.707541518641463,0.0003058798977403167,0.0014872340411104237,17,Gathering0,4,,3,1,17,17,***,**
SkipRateFirstPass,flesch_reading_ease,Ele,0.3173842108988221,-0.006600664060208366,0.26884520112654503,0.9821330935430873,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.21458819885871264,0.12857142857142856,0.44248201978081975,0.6479163294665075,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.23147754819175706,0.14950980392156862,0.37135478516486664,0.5668307307163287,17,Gathering0,7,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,-0.0012760805093133126,0.07352941176470588,0.9961218078210641,0.779127287251723,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,Ele,0.6543565005040178,0.6401767737544705,0.005955533802770221,0.0075574960163808,16,Gathering0,9,,3,1,16,16,**,**
SkipRateFirstPass,flesch_reading_ease,Ele,0.5854896956492196,0.5441176470588236,0.013537381879107272,0.023944958290257643,17,Gathering0,10,,3,1,17,17,*,*
SkipRateFirstPass,flesch_reading_ease,diff,0.32554535371106624,0.2601904149013241,2.366572876862868e-05,0.0008263264706603589,162,Gathering0,all,,3,10,162,162,***,***
SkipRateFirstPass,flesch_reading_ease,diff,0.4147176539813884,0.2507739938080495,0.0870375944556675,0.31551339595948574,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.2737759196606475,0.32352941176470595,0.2876406201106556,0.20524666282786772,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.057344116066753194,0.1032967032967033,0.8456150995786983,0.725282211088945,14,Gathering0,3,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.5587722558554572,0.4549357078266599,0.019722240818677506,0.06652976061709925,17,Gathering0,4,,3,1,17,17,*,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.22585495791289753,0.08131868131868132,0.43751479015344436,0.7822747512440957,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.13958993674289621,-0.13214285714285715,0.6197754322308361,0.6387442188840665,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,-0.06267826983151191,-0.07598039215686275,0.811122007435829,0.7719448512425434,17,Gathering0,7,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.3873979868077539,0.303921568627451,0.1244552125364328,0.23563584127730533,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.49460906059589677,0.4323529411764706,0.051455234604849125,0.09442103753478695,16,Gathering0,9,,3,1,16,16,ns,ns
SkipRateFirstPass,flesch_reading_ease,diff,0.35000665080575877,0.286764705882353,0.16844301118497748,0.2644463470710114,17,Gathering0,10,,3,1,17,17,ns,ns
SkipRateFirstPass,dale_chall_score,Adv,-0.5601707115569673,-0.5139596328025494,9.155946874120733e-15,2.6547789768140987e-12,162,Gathering0,all,,3,10,162,162,***,***
