pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_NF,flesch_reading_ease,Adv,-0.3643977985075434,-0.3353978797971078,1.8693976835235028e-06,1.2834199539602392e-05,162,Gathering0,all,,3,10,162,162,***,***
mean_NF,flesch_reading_ease,Adv,-0.7015320872365692,-0.5933952528379773,0.001176643717081748,0.00943261527195847,18,Gathering0,1,,3,1,18,18,**,**
mean_NF,flesch_reading_ease,Adv,0.1481765968860783,0.2132352941176471,0.5703334651430927,0.4112256782090655,17,Gathering0,2,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.49227335969030195,-0.5384615384615385,0.07374746833578573,0.04697614585955518,14,Gathering0,3,,3,1,14,14,ns,*
mean_NF,flesch_reading_ease,Adv,-0.7238299631385335,-0.6053921568627452,0.001020018934722933,0.010017774633180284,17,Gathering0,4,,3,1,17,17,**,*
mean_NF,flesch_reading_ease,Adv,-0.1641881759253403,-0.16483516483516483,0.5748733071784363,0.5733464050131383,14,Gathering0,5,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.03669623305723349,-0.06785714285714285,0.8966957881504816,0.8101088187105131,15,Gathering0,6,,3,1,15,15,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.5259725801781463,-0.4803921568627451,0.03010862502103122,0.05096160005232446,17,Gathering0,7,,3,1,17,17,*,ns
mean_NF,flesch_reading_ease,Adv,-0.11630654595552785,-0.09068627450980393,0.6566584645116169,0.7292353374489888,17,Gathering0,8,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.4476223751081747,-0.3852941176470588,0.08210405187435045,0.1405441773736763,16,Gathering0,9,,3,1,16,16,ns,ns
mean_NF,flesch_reading_ease,Adv,-0.314926286000168,-0.2391171510140126,0.21824848476638425,0.35532103610130894,17,Gathering0,10,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.13832560592054002,-0.14741037550557934,0.07918870566161801,0.06121507548536158,162,Gathering0,all,,3,10,162,162,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.07252583942471882,-0.11661506707946334,0.7748878598304793,0.6449317151979074,18,Gathering0,1,,3,1,18,18,ns,ns
mean_NF,flesch_reading_ease,Ele,0.25718671290346967,0.17412633561020405,0.3189913492235628,0.5038839820549978,17,Gathering0,2,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.4989015325190659,-0.4461538461538462,0.06936324680078097,0.10980712780122508,14,Gathering0,3,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.5790652336487127,-0.489270478228672,0.01486101096985668,0.04623320165433175,17,Gathering0,4,,3,1,17,17,*,*
mean_NF,flesch_reading_ease,Ele,0.18809351584133077,0.38063829413868244,0.5196057416665566,0.17938767002030306,14,Gathering0,5,,3,1,14,14,ns,ns
mean_NF,flesch_reading_ease,Ele,0.22932481255376325,0.2178571428571428,0.4109849998385925,0.43539267351553756,15,Gathering0,6,,3,1,15,15,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.32732309646143676,-0.303921568627451,0.1996771438837516,0.23563584127730533,17,Gathering0,7,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Ele,0.1850472309022435,0.18382352941176472,0.47706457252220485,0.4800344013399135,17,Gathering0,8,,3,1,17,17,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.11275707788809064,-0.08388523242299958,0.6775766896217131,0.7574225448483594,16,Gathering0,9,,3,1,16,16,ns,ns
mean_NF,flesch_reading_ease,Ele,-0.46370786560867516,-0.49754901960784315,0.06081512772730257,0.04212933265770555,17,Gathering0,10,,3,1,17,17,ns,*
mean_NF,flesch_reading_ease,diff,-0.238024464161893,-0.20601277524395797,0.0022879783760501515,0.008536372523542663,162,Gathering0,all,,3,10,162,162,**,**
mean_NF,flesch_reading_ease,diff,-0.31310148434258817,-0.1496388028895769,0.20583043775307452,0.5534228921214378,18,Gathering0,1,,3,1,18,18,ns,ns
