pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2706337673259819,-0.27753741979339625,0.0004955257667947559,0.0003493903841419832,162,RepeatedReading,all,,3,10,162,162,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.5927488568208805,-0.5459236326109391,0.009530336454640444,0.019092729509875183,18,RepeatedReading,1,,3,1,18,18,**,*
mean_nonzero_TF,flesch_reading_ease,Adv,0.231899552790084,0.1936274509803922,0.3704587639108479,0.45649692854875445,17,RepeatedReading,2,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.5578531161117383,-0.6351648351648352,0.038178732808247066,0.01465788132728914,14,RepeatedReading,3,,3,1,14,14,*,*
mean_nonzero_TF,flesch_reading_ease,Adv,-0.5642824875809614,-0.678921568627451,0.01829445312307889,0.002728140634634938,17,RepeatedReading,4,,3,1,17,17,*,**
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2591435574305973,-0.1912087912087912,0.37097548742499226,0.5125839704707784,14,RepeatedReading,5,,3,1,14,14,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.005783988520426227,-0.021428571428571425,0.9836781686628363,0.9395779040128779,15,RepeatedReading,6,,3,1,15,15,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.13753686223971645,-0.22794117647058826,0.5986119728844747,0.37891058826948365,17,RepeatedReading,7,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.1506761746630802,-0.3872549019607844,0.5637739270476347,0.12460639350840542,17,RepeatedReading,8,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.4469265790752942,-0.4676470588235294,0.08263873940531852,0.06776085019015395,16,RepeatedReading,9,,3,1,16,16,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,0.13728920663327782,0.039239737602299506,0.5992769214207513,0.8811412180363506,17,RepeatedReading,10,,3,1,17,17,ns,ns
