pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
RegRateTotal,depid_density,all,0.2013404082034269,0.1713382289765998,0.0002647600415677,0.0019675487226846,324,FirstReading,all,,3,10,162,324,***,**
RegRateTotal,depid_density,all,0.3071699901038155,0.1325696637020212,0.0684071365801596,0.4408506503140766,36,FirstReading,1,,3,1,18,36,ns,ns
RegRateTotal,depid_density,all,0.0993437878109358,0.0869365928189457,0.5761702099650949,0.6249200168030122,34,FirstReading,2,,3,1,17,34,ns,ns
RegRateTotal,depid_density,all,0.2250879715569939,0.1984398540548446,0.2494838729838197,0.3114024305275245,28,FirstReading,3,,3,1,14,28,ns,ns
RegRateTotal,depid_density,all,-0.0062517589481653,-0.0291825821237585,0.9720076064250992,0.8698632987938094,34,FirstReading,4,,3,1,17,34,ns,ns
RegRateTotal,depid_density,all,-0.1174883493277201,-0.2676518883415435,0.5515668888655515,0.1685170263251365,28,FirstReading,5,,3,1,14,28,ns,ns
RegRateTotal,depid_density,all,0.2639089596847138,0.2080088987764182,0.1587775201173159,0.2700185164550555,30,FirstReading,6,,3,1,15,30,ns,ns
RegRateTotal,depid_density,all,0.399780991129323,0.3601222307104659,0.0191527261741234,0.0364310016962181,34,FirstReading,7,,3,1,17,34,*,*
RegRateTotal,depid_density,all,0.0595284248876131,0.0791504318911718,0.7380620119468279,0.656349616396781,34,FirstReading,8,,3,1,17,34,ns,ns
RegRateTotal,depid_density,all,0.3934832476402488,0.3349220954534618,0.0258761843560307,0.0609645294092321,32,FirstReading,9,,3,1,16,32,*,ns
RegRateTotal,depid_density,all,0.1783878167078282,0.1911528770190269,0.3127878004540101,0.2788364730655825,34,FirstReading,10,,3,1,17,34,ns,ns
RegRateTotal,depid_density,Adv,0.1837161416762793,0.1553895040595433,0.019274851062997,0.0483271324031014,162,FirstReading,all,,3,10,162,162,*,*
RegRateTotal,depid_density,Adv,0.06426174364191,-0.131062951496388,0.8000150338167644,0.6041941281040613,18,FirstReading,1,,3,1,18,18,ns,ns
RegRateTotal,depid_density,Adv,0.1609037583106613,0.1348039215686274,0.5372798499261349,0.6059663630124608,17,FirstReading,2,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Adv,0.151998495312508,-0.0857142857142857,0.6039470686576074,0.7707850311186757,14,FirstReading,3,,3,1,14,14,ns,ns
RegRateTotal,depid_density,Adv,-0.0069915957045671,0.0269607843137254,0.9787537105268737,0.9181909009189736,17,FirstReading,4,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Adv,-0.2109340723895785,-0.3934065934065934,0.4691477756559544,0.1640315734007778,14,FirstReading,5,,3,1,14,14,ns,ns
RegRateTotal,depid_density,Adv,0.2282474972890695,0.2178571428571428,0.4132469966525037,0.4353926735155375,15,FirstReading,6,,3,1,15,15,ns,ns
RegRateTotal,depid_density,Adv,0.4410608394294735,0.3799019607843137,0.0763627730732988,0.1325489026275887,17,FirstReading,7,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Adv,-0.0426654768179968,-0.0661764705882353,0.8708429061824289,0.800774094340852,17,FirstReading,8,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Adv,0.3974607375206989,0.3799709569985782,0.1273854446782709,0.1465827342743829,16,FirstReading,9,,3,1,16,16,ns,ns
RegRateTotal,depid_density,Adv,0.2097590973868543,0.2023298970118568,0.4190721143959903,0.4361025055621923,17,FirstReading,10,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Ele,0.2116310850901815,0.1838603850269566,0.0068622286575346,0.0191785813001225,162,FirstReading,all,,3,10,162,162,**,*
RegRateTotal,depid_density,Ele,0.4462636668010336,0.3622291021671827,0.0634002433953825,0.1396250064170029,18,FirstReading,1,,3,1,18,18,ns,ns
RegRateTotal,depid_density,Ele,0.0292727848473007,0.0490196078431372,0.9112004221969952,0.8517943990009383,17,FirstReading,2,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Ele,0.2906163554168707,0.4285714285714285,0.3134636122876361,0.1262738881593127,14,FirstReading,3,,3,1,14,14,ns,ns
RegRateTotal,depid_density,Ele,-0.0104698931629028,-0.1225490196078431,0.9681879327744188,0.639378272107459,17,FirstReading,4,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Ele,-0.0492456553769881,-0.156043956043956,0.8672277291964308,0.594234700580851,14,FirstReading,5,,3,1,14,14,ns,ns
RegRateTotal,depid_density,Ele,0.3863106925563551,0.2714285714285714,0.1549378356339101,0.3277893068411727,15,FirstReading,6,,3,1,15,15,ns,ns
RegRateTotal,depid_density,Ele,0.3453920634763284,0.3406862745098039,0.174512525698011,0.1808507995705014,17,FirstReading,7,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Ele,0.1155862574852057,0.1348039215686274,0.6586631751783713,0.6059663630124608,17,FirstReading,8,,3,1,17,17,ns,ns
RegRateTotal,depid_density,Ele,0.4169450246417419,0.3617647058823529,0.1081273077604296,0.1685588225038843,16,FirstReading,9,,3,1,16,16,ns,ns
RegRateTotal,depid_density,Ele,0.1443673310611745,0.1666666666666666,0.5803920829236845,0.5226031535880373,17,FirstReading,10,,3,1,17,17,ns,ns
RegRateTotal,depid_density,diff,0.1260528405555792,0.0837514342448991,0.1099652995566686,0.2893311477790287,162,FirstReading,all,,3,10,162,162,ns,ns
RegRateTotal,depid_density,diff,0.2830083877637021,0.1929824561403509,0.2551366428771918,0.4429441508248101,18,FirstReading,1,,3,1,18,18,ns,ns
RegRateTotal,depid_density,diff,0.0948316754421924,-0.1372549019607843,0.7173250691996128,0.5993690521648235,17,FirstReading,2,,3,1,17,17,ns,ns
RegRateTotal,depid_density,diff,0.6386442913184711,0.665934065934066,0.0139592600184726,0.0093229990968417,14,FirstReading,3,,3,1,14,14,*,**
RegRateTotal,depid_density,diff,-0.1668807018121911,-0.1372549019607843,0.5220616388409327,0.5993690521648235,17,FirstReading,4,,3,1,17,17,ns,ns
RegRateTotal,depid_density,diff,0.3932135568312395,0.1296703296703296,0.1642571041064991,0.658619276321178,14,FirstReading,5,,3,1,14,14,ns,ns
RegRateTotal,depid_density,diff,-0.117187822473986,-0.1714285714285714,0.677461301879151,0.5412721760996331,15,FirstReading,6,,3,1,15,15,ns,ns
RegRateTotal,depid_density,diff,-0.1815294807775018,-0.142156862745098,0.48562610698791,0.586262862651232,17,FirstReading,7,,3,1,17,17,ns,ns
RegRateTotal,depid_density,diff,0.5519173624894942,0.4926470588235295,0.0216182534673494,0.0445245262088991,17,FirstReading,8,,3,1,17,17,*,*
RegRateTotal,depid_density,diff,0.3546721295182878,0.3617647058823529,0.1776832684252629,0.1685588225038843,16,FirstReading,9,,3,1,16,16,ns,ns
