pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FirstPassGD,depid_density,all,0.0624874204301937,0.0555512138943628,0.2620654058174887,0.318848398886546,324,FirstReading,all,,3,10,162,324,ns,ns
mean_FirstPassGD,depid_density,all,0.243242469676859,0.1773601908557138,0.152854448041047,0.3007446029046295,36,FirstReading,1,,3,1,18,36,ns,ns
mean_FirstPassGD,depid_density,all,0.1122172486869785,0.0698242933537051,0.5274788658623939,0.6947680324119252,34,FirstReading,2,,3,1,17,34,ns,ns
mean_FirstPassGD,depid_density,all,-0.2753232672106759,-0.2715204623757323,0.1561821445829111,0.1622135246291867,28,FirstReading,3,,3,1,14,28,ns,ns
mean_FirstPassGD,depid_density,all,-0.0124691273181081,0.0114591291061879,0.9442016692893984,0.9487151354121994,34,FirstReading,4,,3,1,17,34,ns,ns
mean_FirstPassGD,depid_density,all,-0.0647872824463391,0.0093048713738368,0.7432622156864443,0.9625189421509256,28,FirstReading,5,,3,1,14,28,ns,ns
mean_FirstPassGD,depid_density,all,0.1285514713227591,0.0629588431590656,0.4984032046198535,0.7410107692024197,30,FirstReading,6,,3,1,15,30,ns,ns
mean_FirstPassGD,depid_density,all,0.4190378206592745,0.387012987012987,0.0136359795888829,0.0237486092047877,34,FirstReading,7,,3,1,17,34,*,*
mean_FirstPassGD,depid_density,all,-0.1425418474556572,-0.1407288567022571,0.4212903031677555,0.4272813947845584,34,FirstReading,8,,3,1,17,34,ns,ns
mean_FirstPassGD,depid_density,all,-0.1900015482461293,-0.2278643484666956,0.2976089017020608,0.2097363895511816,32,FirstReading,9,,3,1,16,32,ns,ns
mean_FirstPassGD,depid_density,all,0.2725606864523734,0.2116280852688666,0.1188696980680166,0.2295560410247056,34,FirstReading,10,,3,1,17,34,ns,ns
mean_FirstPassGD,depid_density,Adv,0.0217900915074021,-0.0025629861615437,0.7831413494797662,0.974177837267053,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,depid_density,Adv,0.1655034911873469,0.197110423116615,0.5116233794162366,0.433057670392028,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,depid_density,Adv,0.2103525661029312,0.1911764705882353,0.4177269904252403,0.4623261206245138,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.4965525760641417,-0.4901098901098901,0.0708951548875259,0.0752200667268584,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.2932918278749987,-0.5122549019607844,0.2532407119962618,0.0355265241168909,17,FirstReading,4,,3,1,17,17,ns,*
mean_FirstPassGD,depid_density,Adv,-0.2377061813970606,0.134065934065934,0.4131739827243507,0.6477195279851131,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,depid_density,Adv,0.4512203202663258,0.4214285714285714,0.0913690158459589,0.1176993958554164,15,FirstReading,6,,3,1,15,15,ns,ns
