pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_GD,depid_density,all,0.1599546679088541,0.1654420526967646,0.0038934854113504,0.0028167613444784,324,FirstReading,all,,3,10,162,324,**,**
mean_GD,depid_density,all,0.2916241276622911,0.2352789759682473,0.0843961987517631,0.1671762834415004,36,FirstReading,1,,3,1,18,36,ns,ns
mean_GD,depid_density,all,0.0933858715453407,0.0126814362108479,0.599366901219767,0.9432531185190536,34,FirstReading,2,,3,1,17,34,ns,ns
mean_GD,depid_density,all,0.065211613511752,0.0418776519591603,0.7416370725775446,0.8324306561050974,28,FirstReading,3,,3,1,14,28,ns,ns
mean_GD,depid_density,all,-0.009942816922952,-0.0395721925133689,0.9554941105753896,0.8241584902692157,34,FirstReading,4,,3,1,17,34,ns,ns
mean_GD,depid_density,all,-0.000751636742611,-0.094143404488232,0.9969712817457964,0.6337121100027221,28,FirstReading,5,,3,1,14,28,ns,ns
mean_GD,depid_density,all,0.3278345936457204,0.3285873192436039,0.0769655872269095,0.0762498078239213,30,FirstReading,6,,3,1,15,30,ns,ns
mean_GD,depid_density,all,0.3854592180124524,0.3277310924369747,0.0243653367050929,0.058472614030949,34,FirstReading,7,,3,1,17,34,*,ns
mean_GD,depid_density,all,0.0021077301674387,-0.023989609665857,0.9905609553302758,0.8928733817607524,34,FirstReading,8,,3,1,17,34,ns,ns
mean_GD,depid_density,all,0.0006724657377947,-0.0515123748343857,0.9970855844001476,0.779484947539454,32,FirstReading,9,,3,1,16,32,ns,ns
mean_GD,depid_density,all,0.3509098301228948,0.3312705334750201,0.0418686111669872,0.0556452697907111,34,FirstReading,10,,3,1,17,34,*,ns
mean_GD,depid_density,Adv,0.1291983642138841,0.1235765794629804,0.1013032782101805,0.117183730502312,162,FirstReading,all,,3,10,162,162,ns,ns
mean_GD,depid_density,Adv,0.2532293127177894,0.240454076367389,0.310639626457229,0.3364896473643954,18,FirstReading,1,,3,1,18,18,ns,ns
mean_GD,depid_density,Adv,0.0726203475403562,-0.0661764705882353,0.7817955745439665,0.800774094340852,17,FirstReading,2,,3,1,17,17,ns,ns
mean_GD,depid_density,Adv,-0.0947064562025073,-0.2263736263736263,0.7474181648650458,0.4364347945560526,14,FirstReading,3,,3,1,14,14,ns,ns
mean_GD,depid_density,Adv,-0.2824400512697954,-0.5245098039215687,0.2720366560379118,0.0306540160879488,17,FirstReading,4,,3,1,17,17,ns,*
