pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateTotal,depid_density,Adv,-0.1889515805712888,-0.1952258737708508,0.0160370574534723,0.0127893628498495,162,Gathering0,all,,3,10,162,162,*,*
SkipRateTotal,depid_density,Adv,-0.2871077651072771,-0.3065015479876161,0.2480197337740864,0.2160637946112576,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Adv,-0.1089914963525104,0.1176470588235294,0.6771185601971409,0.6529334399539918,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.1202153355228324,0.1032967032967033,0.6822770886356907,0.725282211088945,14,Gathering0,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,0.0246865678723556,-0.0073529411764705,0.9250726723915378,0.9776558930236224,17,Gathering0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.2289744042307403,0.3274725274725274,0.4310395100039936,0.2530710007719406,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,-0.4125344438436116,-0.2678571428571428,0.1264783810500085,0.3344436005123538,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,Adv,-0.4167084285560398,-0.3480392156862745,0.0961203670903996,0.171013148869103,17,Gathering0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.0825831032916956,-0.0073529411764705,0.7526844299585124,0.9776558930236224,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.0140333587831969,-0.0338733798874701,0.958861735570439,0.9008899132440358,16,Gathering0,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Adv,-0.3973382141510067,-0.3825874416224202,0.1142636279529164,0.1296084872600887,17,Gathering0,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.2180457801840051,-0.2127278514081329,0.0053132996132126,0.0065718252316714,162,Gathering0,all,,3,10,162,162,**,**
SkipRateTotal,depid_density,Ele,-0.26822246670191,-0.1207430340557275,0.2818598672991948,0.6331873816566362,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Ele,-0.2009706590148739,0.0122549019607843,0.4392565027418565,0.9627675753886972,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.4280827818724751,-0.4241758241758242,0.1267540246075978,0.1306373104381104,14,Gathering0,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.0841875974757038,-0.0931372549019607,0.7480243457976767,0.7221860910253712,17,Gathering0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.0506260501444773,0.0329670329670329,0.8635373184009933,0.910918653071845,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.2360421149398407,-0.2642857142857143,0.3970276778623767,0.3411737579900821,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,Ele,-0.4367882465242889,-0.4215686274509804,0.0795937833505444,0.0919126286128184,17,Gathering0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.1446092374455372,-0.2254901960784313,0.579751105645171,0.3841966507618189,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.1077681676137956,-0.0264705882352941,0.69117176437063,0.9224805705017288,16,Gathering0,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Ele,-0.3356764241049565,-0.2818627450980392,0.1877648282799157,0.2730598973799547,17,Gathering0,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.1893767496914306,-0.1612408811661946,0.0157962384189323,0.0403837638236318,162,Gathering0,all,,3,10,162,162,*,*
SkipRateTotal,depid_density,diff,0.1275128278888997,0.2342621259029927,0.6141073374783566,0.3494541429806418,18,Gathering0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,diff,-0.0593131476440512,0.1176470588235294,0.8211042676240619,0.6529334399539918,17,Gathering0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.7151654597591673,-0.8373626373626375,0.0040377070384389,0.000186397377832,14,Gathering0,3,,3,1,14,14,**,***
SkipRateTotal,depid_density,diff,-0.101661425813335,-0.0661764705882353,0.6978370583598564,0.800774094340852,17,Gathering0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.202925292009965,-0.1912087912087912,0.4865666540535692,0.5125839704707784,14,Gathering0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,diff,-0.1293457886128075,-0.2249999999999999,0.6459235767965006,0.420104686907635,15,Gathering0,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,diff,-0.1724247125930803,-0.2083333333333333,0.5081258868083479,0.4223129818009653,17,Gathering0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.470872629874932,-0.4166666666666667,0.0564244645386003,0.0961571099142059,17,Gathering0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.3365750310083555,-0.5088235294117647,0.202423314158221,0.0441352182349838,16,Gathering0,9,,3,1,16,16,ns,*
SkipRateTotal,depid_density,diff,-0.0927851517846258,-0.0735294117647058,0.7231974878578643,0.779127287251723,17,Gathering0,10,,3,1,17,17,ns,ns
