pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
reading_speed,depid_density,Adv,-0.0688246906970962,-0.0468041355040066,0.3841668296101539,0.5542319114558408,162,Gathering0,all,,3,10,162,162,ns,ns
reading_speed,depid_density,Adv,-0.1486551414740929,0.04437564499484,0.5560633237927665,0.8612061336731367,18,Gathering0,1,,3,1,18,18,ns,ns
reading_speed,depid_density,Adv,-0.1682310571143765,-0.088235294117647,0.5186511745130016,0.7363051515421215,17,Gathering0,2,,3,1,17,17,ns,ns
reading_speed,depid_density,Adv,0.2020000820667267,0.3318681318681319,0.4885982931085528,0.2463771831496116,14,Gathering0,3,,3,1,14,14,ns,ns
reading_speed,depid_density,Adv,0.1752680306905087,0.2352941176470588,0.5010473182853186,0.363295114375383,17,Gathering0,4,,3,1,17,17,ns,ns
reading_speed,depid_density,Adv,0.4259893984250241,0.4637362637362636,0.1288248998471536,0.0948763315088997,14,Gathering0,5,,3,1,14,14,ns,ns
reading_speed,depid_density,Adv,-0.3428166361410029,-0.3928571428571428,0.2109812613450087,0.1474666553113262,15,Gathering0,6,,3,1,15,15,ns,ns
reading_speed,depid_density,Adv,-0.382474592966312,-0.3651960784313726,0.129731127890305,0.1494723696516575,17,Gathering0,7,,3,1,17,17,ns,ns
reading_speed,depid_density,Adv,0.0691292620937532,0.0049019607843137,0.7920637820328141,0.9851029592703198,17,Gathering0,8,,3,1,17,17,ns,ns
reading_speed,depid_density,Adv,0.3306373845805245,0.1826217002628825,0.2110020478983994,0.4984316299586829,16,Gathering0,9,,3,1,16,16,ns,ns
reading_speed,depid_density,Adv,-0.2244520891698639,-0.1839362700107789,0.3864476689631252,0.4797604115952789,17,Gathering0,10,,3,1,17,17,ns,ns
reading_speed,depid_density,Ele,-0.1697895724651739,-0.1457345545380009,0.0307693550002965,0.0642521366230155,162,Gathering0,all,,3,10,162,162,*,ns
reading_speed,depid_density,Ele,-0.2747543048435831,-0.1805985552115583,0.2698511774563185,0.4732892668249995,18,Gathering0,1,,3,1,18,18,ns,ns
reading_speed,depid_density,Ele,-0.1729121780797917,-0.0441176470588235,0.5069089921110541,0.8664832749198724,17,Gathering0,2,,3,1,17,17,ns,ns
