pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FirstPassGD,depid_density,Adv,0.0009459486549819,-0.00270901730321,0.9775941293269478,0.935894428026118,884,Gathering0,all,,3,10,162,884,ns,ns
mean_FirstPassGD,depid_density,Adv,0.0120989334251627,0.0127698568243401,0.9093764292302624,0.904374169545198,91,Gathering0,1,,3,1,18,91,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.1248716298702877,-0.010274483412018,0.2111170827781696,0.9183669527547308,102,Gathering0,2,,3,1,17,102,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.2358005681240352,-0.2527310965285037,0.0261107896760434,0.0168720509238444,89,Gathering0,3,,3,1,14,89,*,*
mean_FirstPassGD,depid_density,Adv,-0.0457523519656051,-0.0106948751364396,0.6869540500041598,0.9249860077295724,80,Gathering0,4,,3,1,17,80,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.0451338731363329,-0.0334520798196685,0.7106323332415512,0.783379482562523,70,Gathering0,5,,3,1,14,70,ns,ns
mean_FirstPassGD,depid_density,Adv,0.1657481227608591,0.1193401910147839,0.1496891723579831,0.3012402026794582,77,Gathering0,6,,3,1,15,77,ns,ns
mean_FirstPassGD,depid_density,Adv,0.3175218234778208,0.252045253281484,0.0006105069467584,0.0070788444561666,113,Gathering0,7,,3,1,17,113,***,**
mean_FirstPassGD,depid_density,Adv,0.0202220423874163,0.0157337660765813,0.844955154716163,0.8790695831458538,96,Gathering0,8,,3,1,17,96,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.0401206313305021,-0.1224270681964472,0.7105384658512358,0.2558196359817949,88,Gathering0,9,,3,1,16,88,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.0974863100207448,-0.0560885028805973,0.3958255198325554,0.6257291611937366,78,Gathering0,10,,3,1,17,78,ns,ns
mean_FirstPassGD,depid_density,Ele,0.0769613378773141,0.074559801833638,0.0305464807769492,0.0361490892240761,790,Gathering0,all,,3,10,162,790,*,*
mean_FirstPassGD,depid_density,Ele,0.0796881278740007,0.0812928389501176,0.4937978265588897,0.4851109819693696,76,Gathering0,1,,3,1,18,76,ns,ns
mean_FirstPassGD,depid_density,Ele,0.011966748957573,0.0021055702466239,0.908862332941327,0.9839307833922296,94,Gathering0,2,,3,1,17,94,ns,ns
