pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateTotal,depid_density,Adv,-0.1504297622159284,-0.1555856797624368,0.0560406644596265,0.0480411749777862,162,Hunting0,all,,3,10,162,162,ns,*
SkipRateTotal,depid_density,Adv,-0.0930433856072204,-0.110423116615067,0.7134636773631338,0.6626984309773885,18,Hunting0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Adv,0.1078333913509752,0.0931372549019607,0.6803778688231912,0.7221860910253712,17,Hunting0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.239312875681547,-0.2351648351648352,0.4099287534150987,0.4183338961985912,14,Hunting0,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,0.2642254397733619,0.2058823529411765,0.3054536204066181,0.4279148531427077,17,Hunting0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.0111247413145053,0.1208791208791208,0.9698911884097609,0.6806070200628929,14,Hunting0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,-0.5736111530895782,-0.5357142857142856,0.0253699913512047,0.0395669722295494,15,Hunting0,6,,3,1,15,15,*,*
SkipRateTotal,depid_density,Adv,-0.3266642233630529,-0.2843137254901961,0.200637266317832,0.2687318993678435,17,Hunting0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.21637151120803,0.3333333333333333,0.404214251136564,0.191057627345904,17,Hunting0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.2192267713419707,-0.1973492567356956,0.4146319400936856,0.4637928724298279,16,Hunting0,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Adv,-0.3624997357606095,-0.4083385194239292,0.1527281422787317,0.1036871053524961,17,Hunting0,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.143045614369289,-0.1195006411179703,0.0693818527975637,0.1298611042887865,162,Hunting0,all,,3,10,162,162,ns,ns
SkipRateTotal,depid_density,Ele,-0.2086975598797734,-0.2136222910216718,0.405932733370151,0.3946884572555506,18,Hunting0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Ele,-0.021872720776816,-0.0073529411764705,0.9335942725887102,0.9776558930236224,17,Hunting0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.228214101081989,-0.3142857142857143,0.4326132636336549,0.2738049029628677,14,Hunting0,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.0242571380490971,-0.0294117647058823,0.9263727038833482,0.9107803991169198,17,Hunting0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.0006300285845932,0.0373626373626373,0.9982944940614076,0.899093096973967,14,Hunting0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.385497545574528,-0.2857142857142856,0.1558831337173422,0.3019363513225493,15,Hunting0,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,Ele,0.1006391727691848,0.0931372549019607,0.700742953181568,0.7221860910253712,17,Hunting0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.2179724863820725,-0.0931372549019607,0.4006599348519065,0.7221860910253712,17,Hunting0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.2755928496371324,-0.35,0.3015420791700036,0.1838688220261931,16,Hunting0,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Ele,-0.2864436776535096,-0.2450980392156863,0.2650052506029526,0.3430466530995852,17,Hunting0,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,0.0170200326327122,0.0063748922111152,0.8297924778817559,0.935830339184669,162,Hunting0,all,,3,10,162,162,ns,ns
SkipRateTotal,depid_density,diff,-0.023534293171081,-0.0175438596491228,0.9261486062357784,0.9449151835129636,18,Hunting0,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,diff,0.2248399252209443,0.286764705882353,0.3856058478098064,0.2644463470710114,17,Hunting0,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.4293483143355575,-0.3978021978021978,0.1255130647845671,0.1589507745108348,14,Hunting0,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,diff,0.2542033635797669,0.2205882352941176,0.3248336575783898,0.3948890883363402,17,Hunting0,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.0600573957482519,-0.134065934065934,0.8383958642728289,0.6477195279851131,14,Hunting0,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,diff,-0.0877747270404966,-0.1142857142857142,0.7557560278596065,0.6850657626568972,15,Hunting0,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,diff,0.0032619673667254,0.0245098039215686,0.9900866056446684,0.9256077760199252,17,Hunting0,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.3625481179690268,-0.2965686274509804,0.1526692998429514,0.2477286662167009,17,Hunting0,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.2215463386806707,-0.3,0.4095862314762612,0.2589364525624988,16,Hunting0,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,diff,0.3346003783002571,0.1838235294117647,0.189272329427784,0.4800344013399135,17,Hunting0,10,,3,1,17,17,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.0953623933311291,0.184841137071396,0.2273861966614906,0.0185349872904582,162,Hunting0,all,,3,10,162,162,ns,*
