pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,depid_density,Adv,0.0668231509694361,0.0655464275548525,0.0470106467791132,0.0513942397106933,884,Hunting0,all,,3,10,162,884,*,ns
mean_FD,depid_density,Adv,0.0283446443814987,-0.0080777509793393,0.7896952176426977,0.9394247977330596,91,Hunting0,1,,3,1,18,91,ns,ns
mean_FD,depid_density,Adv,-0.0519633563442851,0.1158585432296175,0.6039791461633559,0.2462106235168774,102,Hunting0,2,,3,1,17,102,ns,ns
mean_FD,depid_density,Adv,-0.0208419719520723,-0.0094412021225078,0.8462821853706651,0.9300269364190712,89,Hunting0,3,,3,1,14,89,ns,ns
mean_FD,depid_density,Adv,0.0449727342835114,-0.0013485862288273,0.6920179113264139,0.9905275101762784,80,Hunting0,4,,3,1,17,80,ns,ns
mean_FD,depid_density,Adv,0.1586739645544899,0.154079124318536,0.1895243943387256,0.2028309390889635,70,Hunting0,5,,3,1,14,70,ns,ns
mean_FD,depid_density,Adv,0.1841439415068867,0.1859691667081129,0.1088972936471226,0.1053737840593474,77,Hunting0,6,,3,1,15,77,ns,ns
mean_FD,depid_density,Adv,0.215269876285039,0.1694505093878026,0.0220315914712091,0.0727725163787814,113,Hunting0,7,,3,1,17,113,*,ns
mean_FD,depid_density,Adv,0.1666964012825919,0.1695690009168059,0.1045319918386713,0.0986058270901335,96,Hunting0,8,,3,1,17,96,ns,ns
mean_FD,depid_density,Adv,0.0085519116027078,-0.0387089470697418,0.936970257031703,0.7202951634469226,88,Hunting0,9,,3,1,16,88,ns,ns
mean_FD,depid_density,Adv,0.0659707071826291,0.0852464249557092,0.5660649292283683,0.4580430512890004,78,Hunting0,10,,3,1,17,78,ns,ns
mean_FD,depid_density,Ele,-0.0344242990733884,-0.0135171946800497,0.3338860809995022,0.7044333921491117,790,Hunting0,all,,3,10,162,790,ns,ns
mean_FD,depid_density,Ele,-0.076531290983921,-0.1006958427594538,0.5111220024961284,0.3867644213014937,76,Hunting0,1,,3,1,18,76,ns,ns
mean_FD,depid_density,Ele,-0.08764079701847,-0.068593834838472,0.4009320178746952,0.5112336122716861,94,Hunting0,2,,3,1,17,94,ns,ns
mean_FD,depid_density,Ele,-0.0277727969032176,-0.0046723391036278,0.8092690381277574,0.9676156090795418,78,Hunting0,3,,3,1,14,78,ns,ns
mean_FD,depid_density,Ele,-0.1883357491515364,-0.1072876490381734,0.1032541707494619,0.3562797245327788,76,Hunting0,4,,3,1,17,76,ns,ns
mean_FD,depid_density,Ele,0.133982878505888,0.1692128609232683,0.3204043814552715,0.2082749981467264,57,Hunting0,5,,3,1,14,57,ns,ns
mean_FD,depid_density,Ele,0.0366038112999865,-0.0073410961062068,0.7635395143384556,0.9519048351617646,70,Hunting0,6,,3,1,15,70,ns,ns
mean_FD,depid_density,Ele,0.1916570628972541,0.2077012991585625,0.0561045141622416,0.0381192402090049,100,Hunting0,7,,3,1,17,100,ns,*
mean_FD,depid_density,Ele,-0.0221146191029814,0.0532837195002796,0.837021553471874,0.6199480259623511,89,Hunting0,8,,3,1,17,89,ns,ns
mean_FD,depid_density,Ele,-0.0745877401732106,-0.0818385152211205,0.5191226567322013,0.4792109250098464,77,Hunting0,9,,3,1,16,77,ns,ns
mean_FD,depid_density,Ele,-0.0323870651609913,0.0285202564025178,0.7856139385836083,0.8107023428242697,73,Hunting0,10,,3,1,17,73,ns,ns
mean_FD,depid_density,diff,0.0670077401932263,0.0304357005065282,0.0597659386758133,0.3929400454913098,790,Hunting0,all,,3,10,162,790,ns,ns
mean_FD,depid_density,diff,-0.2100596172509644,-0.194376315722103,0.0685634116915849,0.0924644686535431,76,Hunting0,1,,3,1,18,76,ns,ns
mean_FD,depid_density,diff,0.0375833874112512,0.0454338322871518,0.719119270070673,0.6636871513657758,94,Hunting0,2,,3,1,17,94,ns,ns
mean_FD,depid_density,diff,-0.0119197384311145,0.0321111270998287,0.917505593777304,0.7801749505691375,78,Hunting0,3,,3,1,14,78,ns,ns
mean_FD,depid_density,diff,-0.0124720963253142,-0.0206009451947329,0.9148434402688688,0.8597934336934491,76,Hunting0,4,,3,1,17,76,ns,ns
