pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateTotal,flesch_reading_ease,Adv,0.2437984095273983,0.25050886924932203,1.9884824021271148e-13,4.0785168271659514e-14,884,RepeatedReading,all,,3,10,162,884,***,***
SkipRateTotal,flesch_reading_ease,Adv,0.38713654051835217,0.4088335319326637,0.0001500796660151474,5.7359100627643036e-05,91,RepeatedReading,1,,3,1,18,91,***,***
SkipRateTotal,flesch_reading_ease,Adv,0.08786524250019784,0.17462619934992507,0.37985757900267675,0.07918805352791407,102,RepeatedReading,2,,3,1,17,102,ns,ns
SkipRateTotal,flesch_reading_ease,Adv,0.31977200863875344,0.26494198629595583,0.002252792934068163,0.012102707659099342,89,RepeatedReading,3,,3,1,14,89,**,*
SkipRateTotal,flesch_reading_ease,Adv,0.29887234315629946,0.3039421418389841,0.007081811011726361,0.006126704002828559,80,RepeatedReading,4,,3,1,17,80,**,**
SkipRateTotal,flesch_reading_ease,Adv,0.2930750294559808,0.3069229883792224,0.013808079408582656,0.009755809361435643,70,RepeatedReading,5,,3,1,14,70,*,**
SkipRateTotal,flesch_reading_ease,Adv,0.24739394131290782,0.24680370141676392,0.03006703500787885,0.030474763717940088,77,RepeatedReading,6,,3,1,15,77,*,*
SkipRateTotal,flesch_reading_ease,Adv,0.023011774450645665,0.04972738731956098,0.8088338446853512,0.6009354700533559,113,RepeatedReading,7,,3,1,17,113,ns,ns
SkipRateTotal,flesch_reading_ease,Adv,0.26665786735312,0.25261658554094546,0.00863410971040795,0.013023783824052877,96,RepeatedReading,8,,3,1,17,96,**,*
SkipRateTotal,flesch_reading_ease,Adv,0.24434898248799078,0.17721602631264535,0.02177222456154295,0.0985823332621806,88,RepeatedReading,9,,3,1,16,88,*,ns
SkipRateTotal,flesch_reading_ease,Adv,0.3859962851105881,0.3919223990007117,0.0004824900743641627,0.00038733094558939944,78,RepeatedReading,10,,3,1,17,78,***,***
SkipRateTotal,flesch_reading_ease,Ele,0.19221560986141445,0.1796946531459905,5.183772757711427e-08,3.693565219463529e-07,790,RepeatedReading,all,,3,10,162,790,***,***
SkipRateTotal,flesch_reading_ease,Ele,0.25716089399258657,0.2885542221251214,0.02492379877577404,0.011475191331280846,76,RepeatedReading,1,,3,1,18,76,*,*
SkipRateTotal,flesch_reading_ease,Ele,0.27687782144311984,0.2583707872225223,0.006901836443204409,0.011925936737689298,94,RepeatedReading,2,,3,1,17,94,**,*
SkipRateTotal,flesch_reading_ease,Ele,0.2394920299187246,0.11490989575136633,0.03470145827145175,0.31644262567642356,78,RepeatedReading,3,,3,1,14,78,*,ns
SkipRateTotal,flesch_reading_ease,Ele,0.2987920161889675,0.23451844688370746,0.00874607070190373,0.04143671757848845,76,RepeatedReading,4,,3,1,17,76,**,*
SkipRateTotal,flesch_reading_ease,Ele,0.3706230194589415,0.4098703422945413,0.004539980379663456,0.0015441189698749238,57,RepeatedReading,5,,3,1,14,57,**,**
SkipRateTotal,flesch_reading_ease,Ele,0.25634635536431755,0.2703464262024788,0.032188399063591326,0.023606068125815362,70,RepeatedReading,6,,3,1,15,70,*,*
SkipRateTotal,flesch_reading_ease,Ele,-0.029742401529631007,-0.057677823997792525,0.7689492116413785,0.5686766468565096,100,RepeatedReading,7,,3,1,17,100,ns,ns
SkipRateTotal,flesch_reading_ease,Ele,0.11390259733437505,0.129891413596201,0.2878599879258533,0.22504659230075705,89,RepeatedReading,8,,3,1,17,89,ns,ns
SkipRateTotal,flesch_reading_ease,Ele,0.2346274354555763,0.242501331549034,0.0399816224500409,0.0335896093263367,77,RepeatedReading,9,,3,1,16,77,*,*
SkipRateTotal,flesch_reading_ease,Ele,0.2460210966760633,0.2935785484036849,0.035897259794305574,0.011706936875867362,73,RepeatedReading,10,,3,1,17,73,*,*
SkipRateTotal,flesch_reading_ease,diff,0.1509179679352009,0.1386250195241351,2.0484327835091806e-05,9.266222930196575e-05,790,RepeatedReading,all,,3,10,162,790,***,***
