pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
SkipRateTotal,depid_density,Adv,-0.2231272731390748,-0.2126304692246822,0.0043168941702151,0.0065971599690884,162,FirstReading,all,,3,10,162,162,**,**
SkipRateTotal,depid_density,Adv,-0.2529827405071312,-0.067079463364293,0.3111270316386693,0.7914253837974394,18,FirstReading,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Adv,-0.2416475412519816,-0.1764705882352941,0.3500980504298158,0.4980676573237341,17,FirstReading,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.1155447311764981,0.1516483516483516,0.6940660909938232,0.6047905984521367,14,FirstReading,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,-0.3040809118961606,-0.2426470588235294,0.2353780023047984,0.348047032295588,17,FirstReading,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,0.2851461844183443,0.2351648351648352,0.3230716282369151,0.4183338961985912,14,FirstReading,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Adv,-0.4744946321589127,-0.4714285714285713,0.0739209266730909,0.0760704291503312,15,FirstReading,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,Adv,-0.2384887546698157,-0.1715686274509804,0.3566248992890811,0.5102663098717943,17,FirstReading,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.1595643126072746,-0.1519607843137255,0.5407174293813797,0.5604155062809044,17,FirstReading,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Adv,-0.2573720981250438,-0.2282771253286032,0.3358869155995739,0.3951300994942276,16,FirstReading,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Adv,-0.4451774794556798,-0.3960761014232106,0.0733412696215291,0.1155239146522461,17,FirstReading,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.1928223929953238,-0.2047413899831802,0.0139581245061225,0.0089620339108964,162,FirstReading,all,,3,10,162,162,*,**
SkipRateTotal,depid_density,Ele,-0.1429284770544549,-0.1929824561403509,0.5715443651321781,0.4429441508248101,18,FirstReading,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,Ele,-0.1330234937658742,-0.1078431372549019,0.6107769065736829,0.6803504180481621,17,FirstReading,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.3314543357605464,-0.4681318681318682,0.2470026894933018,0.0913763650683311,14,FirstReading,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.3513096678551667,-0.4632352941176471,0.1667551934304143,0.0611133713020348,17,FirstReading,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.2217974539745523,-0.0593406593406593,0.4460094115460006,0.8403017626906826,14,FirstReading,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,Ele,-0.1391374907646636,-0.2428571428571428,0.6209216997880596,0.3831283418393417,15,FirstReading,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,Ele,-0.058964214623797,-0.1176470588235294,0.8221408521144954,0.6529334399539918,17,FirstReading,7,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.2589685693518615,-0.3161764705882353,0.3155315277005256,0.216326971668755,17,FirstReading,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,Ele,-0.1249321877329392,-0.0941176470588235,0.6447948036970633,0.7288144270239805,16,FirstReading,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,Ele,-0.2139711034664844,-0.1887254901960784,0.4095749029504184,0.4681922842798525,17,FirstReading,10,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.1448615842797298,-0.1198414815379339,0.0658823710330192,0.1287621689667648,162,FirstReading,all,,3,10,162,162,ns,ns
SkipRateTotal,depid_density,diff,0.1480032282223805,0.2941176470588235,0.5578162979040449,0.236143297296641,18,FirstReading,1,,3,1,18,18,ns,ns
SkipRateTotal,depid_density,diff,-0.0536017023695096,0.0098039215686274,0.8381054502687972,0.9702105713958576,17,FirstReading,2,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.45311673225168,-0.3274725274725274,0.1037139968026594,0.2530710007719406,14,FirstReading,3,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,diff,0.0951618717394097,0.196078431372549,0.7163789752953003,0.4507049808818775,17,FirstReading,4,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.0666463962189034,-0.0813186813186813,0.8209146130171765,0.7822747512440957,14,FirstReading,5,,3,1,14,14,ns,ns
SkipRateTotal,depid_density,diff,-0.0152826991151877,-0.0892857142857142,0.9568895835034086,0.751672517350277,15,FirstReading,6,,3,1,15,15,ns,ns
SkipRateTotal,depid_density,diff,-0.4176714814181546,-0.5000000000000001,0.0952758443126997,0.0409689559558361,17,FirstReading,7,,3,1,17,17,ns,*
SkipRateTotal,depid_density,diff,-0.4586072725189328,-0.4362745098039216,0.0640917111976085,0.0799888724598653,17,FirstReading,8,,3,1,17,17,ns,ns
SkipRateTotal,depid_density,diff,-0.4029413851687947,-0.4588235294117647,0.1217455515484808,0.073835534495481,16,FirstReading,9,,3,1,16,16,ns,ns
SkipRateTotal,depid_density,diff,-0.1435518021353964,-0.1446078431372549,0.582555171097412,0.5797547992794121,17,FirstReading,10,,3,1,17,17,ns,ns
SkipRateTotal,max_integration_cost,Adv,0.0167337017378033,0.0884699795478565,0.8326135605024991,0.2629200010478956,162,FirstReading,all,,3,10,162,162,ns,ns
