pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FirstPassGD,depid_density,Adv,0.0500364351851188,0.0350618200502378,0.5271748399354609,0.6578057574213698,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,depid_density,Adv,0.2222514611062046,0.1207430340557275,0.375402296034109,0.6331873816566362,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,depid_density,Adv,0.3416386298227512,0.3799019607843137,0.1795558879315453,0.1325489026275887,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.5944353811027644,-0.6043956043956044,0.0249684988865784,0.022056861754616,14,FirstReading,3,,3,1,14,14,*,*
mean_FirstPassGD,depid_density,Adv,-0.0404759064029923,-0.0637254901960784,0.877422938550894,0.808021077411703,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.1595780628813882,0.1956043956043956,0.5858012117721766,0.5027500912969567,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FirstPassGD,depid_density,Adv,0.5066952489680537,0.3749999999999999,0.0539102739733073,0.1684327498467455,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FirstPassGD,depid_density,Adv,0.3625054419763544,0.3848039215686274,0.1527212015763658,0.1272159953159875,17,FirstReading,7,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.0031559280599756,0.0539215686274509,0.9904088539124868,0.8371514461082935,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Adv,-0.4805486880575927,-0.4138443368860484,0.0595464482081135,0.1110457968816764,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FirstPassGD,depid_density,Adv,0.1866568980086629,0.218271040412791,0.4731718053497198,0.3999989833561566,17,FirstReading,10,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Ele,0.0510083833098512,0.0384730191429973,0.5191714108432113,0.626917732468881,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FirstPassGD,depid_density,Ele,0.3422879157149443,0.1950464396284829,0.1644152125120401,0.4379864297021668,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FirstPassGD,depid_density,Ele,0.0726957781564376,0.0808823529411764,0.7815740824398266,0.7576329086921563,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Ele,-0.0345277947739872,0.0329670329670329,0.9067176307617216,0.910918653071845,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FirstPassGD,depid_density,Ele,0.3574981578516477,0.4044117647058823,0.1588946506912137,0.1073792427781167,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FirstPassGD,depid_density,Ele,-0.2077254320243199,-0.2659340659340659,0.4760902414876337,0.3581134003647861,14,FirstReading,5,,3,1,14,14,ns,ns
