pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,depid_density,Adv,-0.0241761468619851,-0.0082231333640716,0.4728211838967409,0.8071150235420299,884,FirstReading,all,,3,10,162,884,ns,ns
mean_FD,depid_density,Adv,0.1920259627107698,0.1251892077320681,0.0682279683047231,0.2370556558244183,91,FirstReading,1,,3,1,18,91,ns,ns
mean_FD,depid_density,Adv,-0.0310499546614997,0.1173263265741915,0.7567137870162163,0.24023681205591,102,FirstReading,2,,3,1,17,102,ns,ns
mean_FD,depid_density,Adv,-0.2299403626785931,-0.1952403106796225,0.0301797733062354,0.0667217916539285,89,FirstReading,3,,3,1,14,89,*,ns
mean_FD,depid_density,Adv,-0.036831423120986,-0.0481621186242955,0.7456688318706464,0.6713895808461059,80,FirstReading,4,,3,1,17,80,ns,ns
mean_FD,depid_density,Adv,0.0708079540360387,0.0787375484190837,0.5602388502049465,0.5170424480983657,70,FirstReading,5,,3,1,14,70,ns,ns
mean_FD,depid_density,Adv,0.0644365297151941,0.0898866319669332,0.577692086618897,0.4369072053159001,77,FirstReading,6,,3,1,15,77,ns,ns
mean_FD,depid_density,Adv,-0.0436023922278315,-0.036118815909978,0.6465469458831465,0.7040914597852209,113,FirstReading,7,,3,1,17,113,ns,ns
mean_FD,depid_density,Adv,0.1928969018609204,0.1619804114113625,0.0597053502827496,0.1148601639679361,96,FirstReading,8,,3,1,17,96,ns,ns
mean_FD,depid_density,Adv,-0.1402119684532584,-0.1300490211250442,0.1925934785965645,0.2271777145939039,88,FirstReading,9,,3,1,16,88,ns,ns
mean_FD,depid_density,Adv,-0.1418144273927293,-0.1684047174711436,0.2155231579241635,0.1405230490748145,78,FirstReading,10,,3,1,17,78,ns,ns
mean_FD,depid_density,Ele,0.0517995056825205,0.0436549186330747,0.1457809238144677,0.2203313279023089,790,FirstReading,all,,3,10,162,790,ns,ns
mean_FD,depid_density,Ele,0.0692474006632469,0.0159958472871044,0.5522486023939943,0.8909152404417543,76,FirstReading,1,,3,1,18,76,ns,ns
mean_FD,depid_density,Ele,0.1255695884830735,0.1966284242337001,0.2278433625136322,0.0575035481745047,94,FirstReading,2,,3,1,17,94,ns,ns
mean_FD,depid_density,Ele,0.0382210616831399,0.0594995161190987,0.739715003824778,0.6048348757517831,78,FirstReading,3,,3,1,14,78,ns,ns
mean_FD,depid_density,Ele,0.0538935028447737,0.09722686541441,0.643807191765819,0.4034144713547635,76,FirstReading,4,,3,1,17,76,ns,ns
mean_FD,depid_density,Ele,-0.049483373902574,-0.0934773749627869,0.7147094117554552,0.4891759987913,57,FirstReading,5,,3,1,14,57,ns,ns
mean_FD,depid_density,Ele,-0.0034110809007724,-0.1126569163792603,0.9776419284619546,0.3531251886973793,70,FirstReading,6,,3,1,15,70,ns,ns
mean_FD,depid_density,Ele,-0.0187241771164346,0.0174761542027668,0.8533044334921814,0.8629835231762805,100,FirstReading,7,,3,1,17,100,ns,ns
mean_FD,depid_density,Ele,0.2119318954341063,0.1845130814148247,0.046173102979798,0.0834550863236626,89,FirstReading,8,,3,1,17,89,*,ns
mean_FD,depid_density,Ele,0.0586220029831874,-0.010731195311013,0.6125561889094768,0.9261988687624252,77,FirstReading,9,,3,1,16,77,ns,ns
mean_FD,depid_density,Ele,-0.0728920001109549,-0.0809103915384538,0.5399712913023658,0.4961980800688574,73,FirstReading,10,,3,1,17,73,ns,ns
mean_FD,depid_density,diff,0.029046797212322,0.0018858791980926,0.4149029908769276,0.9577937318964876,790,FirstReading,all,,3,10,162,790,ns,ns
mean_FD,depid_density,diff,0.0386552105439553,0.0129959313039276,0.7402462473621895,0.9112810010767014,76,FirstReading,1,,3,1,18,76,ns,ns
mean_FD,depid_density,diff,0.017079935206734,0.0171735538310287,0.8702095272797111,0.8695043753173944,94,FirstReading,2,,3,1,17,94,ns,ns
mean_FD,depid_density,diff,0.0254068504333922,0.0400628161565398,0.8252480921761132,0.7276505382101681,78,FirstReading,3,,3,1,14,78,ns,ns
mean_FD,depid_density,diff,-0.1619623064640716,-0.1659033565150303,0.1621725634926419,0.1520612568549162,76,FirstReading,4,,3,1,17,76,ns,ns
mean_FD,depid_density,diff,0.2177056810297662,0.232515990547788,0.1037783191984084,0.0817698636398307,57,FirstReading,5,,3,1,14,57,ns,ns
mean_FD,depid_density,diff,0.1673871732928162,0.1301424019775994,0.1660405288255884,0.2829039305402999,70,FirstReading,6,,3,1,15,70,ns,ns
mean_FD,depid_density,diff,-0.1217943327306266,-0.1791372928698799,0.2273818724899907,0.0745365218547628,100,FirstReading,7,,3,1,17,100,ns,ns
mean_FD,depid_density,diff,0.0381449970791227,0.0139610888013013,0.7226635932174539,0.8966826903090492,89,FirstReading,8,,3,1,17,89,ns,ns
mean_FD,depid_density,diff,0.0614327109466293,0.0151196345396103,0.5955890143689683,0.8961616636929262,77,FirstReading,9,,3,1,16,77,ns,ns
mean_FD,depid_density,diff,0.1344493226473548,0.0478568733552554,0.2567666044330635,0.6876380521600305,73,FirstReading,10,,3,1,17,73,ns,ns
mean_FD,max_integration_cost,Adv,0.0571676648150129,0.0514374673387464,0.0893754943473603,0.1264644743947097,884,FirstReading,all,,3,10,162,884,ns,ns
mean_FD,max_integration_cost,Adv,0.1302525083868408,0.0865386233239043,0.2184712122021134,0.4147028580172389,91,FirstReading,1,,3,1,18,91,ns,ns
mean_FD,max_integration_cost,Adv,-0.1321161363980574,-0.0531799874205795,0.1856115848097956,0.5955241103516137,102,FirstReading,2,,3,1,17,102,ns,ns
mean_FD,max_integration_cost,Adv,-0.0421913755732966,-0.1141812165991206,0.694629180459616,0.2866746614826576,89,FirstReading,3,,3,1,14,89,ns,ns
mean_FD,max_integration_cost,Adv,0.1923880146798171,0.1555564804638162,0.0873214250791653,0.1682510527895789,80,FirstReading,4,,3,1,17,80,ns,ns
mean_FD,max_integration_cost,Adv,0.0962723490561197,0.1060233600186222,0.4278866697651611,0.3823640454147247,70,FirstReading,5,,3,1,14,70,ns,ns
