pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_FF,flesch_reading_ease,Adv,-0.09720423468237004,-0.08337173339022978,0.21849354073231045,0.29153081526059815,162,Gathering0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.2593995753425492,-0.2425180598555212,0.29859108344092644,0.3322310909053102,18,Gathering0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.14412674912582996,0.2058823529411765,0.5810298456540912,0.4279148531427077,17,Gathering0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.039425251923992904,-0.006593406593406593,0.8935505769776048,0.9821527354577905,14,Gathering0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.25456871170247025,0.27941176470588236,0.32411486474764556,0.2774303257912213,17,Gathering0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.07202035124617015,0.1956043956043956,0.8067136251251097,0.5027500912969567,14,Gathering0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.25651833921472944,0.25,0.35607129100707746,0.36884629178393047,15,Gathering0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.5527358834936129,-0.5441176470588236,0.021384680860084538,0.023944958290257643,17,Gathering0,7,,3,1,17,17,*,*
mean_nonzero_FF,flesch_reading_ease,Adv,-0.3237410912986095,-0.3308823529411765,0.2049332606297642,0.1945425282666128,17,Gathering0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.06564785542874085,0.03823529411764706,0.8091286721305625,0.8881976539853073,16,Gathering0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.5191355649194079,-0.5272839740308997,0.03272317336306827,0.02962604513036698,17,Gathering0,10,,3,1,17,17,*,*
mean_nonzero_FF,flesch_reading_ease,Ele,0.077101983743285,0.10040237733461703,0.3294603359593588,0.2036458326034626,162,Gathering0,all,,3,10,162,162,ns,ns
