metric,correlation_type,correlation
CAREC,pearson,0.07676641332882668
CAREC_M,pearson,0.07566345643552051
CARES,pearson,0.14503136543708903
CML2RI_(-),pearson,0.11390699224273387
flesch_reading_ease_(-),pearson,0.1492114326051076
flesch_kincaid_grade_score,pearson,0.09475641014205818
gunning_fog_index,pearson,0.09231750522506754
coleman_liau_index,pearson,0.1937196488971763
smog_index,pearson,-0.023174021735217
dale_chall_score,pearson,0.15649893767102285
ARI,pearson,0.11069588260657348
linsear_formula,pearson,0.030287103766351214
difficult_words_count,pearson,0.1063676772165586
syllable_count,pearson,0.055001466763492414
lexicon_count_(-),pearson,-0.005430656772392034
sentence_count,pearson,0.00959381620798867
char_count,pearson,0.0565940297072649
letter_count,pearson,0.05378395741713632
polysyllabcount,pearson,0.10157695633142683
monosyllabcount_(-),pearson,0.0351836299964402
fernansex_huerta_(-),pearson,0.1350472352846668
szigriszt_pazos_(-),pearson,0.1445730259957104
gutierrez_polini_(-),pearson,0.17986804320475808
crawford,pearson,0.1298086006259192
cpidr_density,pearson,0.018924004588940162
depid_density,pearson,0.05847715584682571
max_embedding_depth,pearson,-0.007946185648273867
avg_embedding_depth,pearson,-0.0009498211393103966
mean_entropy,pearson,0.010547497998206895
mean_entropy_sents,pearson,0.03060710492932918
word_length,pearson,0.17709408683529007
wordFreq_frequency_(-),pearson,0.03040230049604714
gpt2_surprisal,pearson,0.1784694862515567
Wordfreq_Frequency,pearson,0.15500991523421476
Length,pearson,0.17191764136744242
