pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_FF,flesch_reading_ease,Adv,-0.18635134312778273,-0.21008553392473797,0.017580569344173604,0.007290842724677066,162,Hunting0,all,,3,10,162,162,*,**
mean_nonzero_FF,flesch_reading_ease,Adv,-0.0541752437021381,-0.08359133126934985,0.8309361100733236,0.7415774315720882,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.16330095030786165,-0.12745098039215688,0.5311523345641741,0.6259301508467394,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.24029887656238913,0.04615384615384615,0.4079437490322913,0.8755025376321142,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.349832017461329,-0.46323529411764713,0.1686700854392726,0.06111337130203484,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.10444822789008584,0.23076923076923075,0.7223295753155368,0.4273358616774501,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.10151705999953733,-0.1964285714285714,0.7188497348282681,0.4828987562716336,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.19672567613806913,-0.17892156862745098,0.4491817172799609,0.4920209629048916,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,0.17241244490514684,0.19117647058823534,0.5081565292071766,0.46232612062451384,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.44613083139575727,-0.4264705882352941,0.08325329893791929,0.09949911193753966,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,flesch_reading_ease,Adv,-0.38597634915753043,-0.6008584820352112,0.12596298491846397,0.010746860996937922,17,Hunting0,10,,3,1,17,17,ns,*
mean_nonzero_FF,flesch_reading_ease,Ele,-0.08022383410833345,-0.10325895968361357,0.31019518156831066,0.19101138222830685,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.15297872635454413,-0.21362229102167182,0.5444992174103102,0.3946884572555506,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.30967792915299014,0.40833851942392924,0.22643468517643628,0.10368710535249617,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.041955997749260135,0.09010989010989012,0.886756314701116,0.7593388378159541,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,0.0001690582832127932,-0.047823430202802525,0.9994862057843835,0.8553747172799726,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.06702007879020735,0.011001106767013944,0.8199254335679845,0.970225666235254,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.5751812263946846,-0.5964285714285712,0.024880045597668942,0.018931924687865177,15,Hunting0,6,,3,1,15,15,*,*
mean_nonzero_FF,flesch_reading_ease,Ele,0.24049796079417016,0.16911764705882354,0.3524654690690201,0.5164176230839818,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.20538060482228704,-0.1519607843137255,0.4290663862648199,0.5604155062809044,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,Ele,-0.48047576665746916,-0.5194997727248921,0.0595907105458514,0.03917220654264959,16,Hunting0,9,,3,1,16,16,ns,*
mean_nonzero_FF,flesch_reading_ease,Ele,-0.06636562340591647,-0.13970588235294118,0.8002154434890436,0.5928010818860754,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.06782193634060252,-0.09796798568447775,0.3911488650351098,0.21487961159736874,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.1349984962738965,-0.12899896800825592,0.5932812807129032,0.6099496263278286,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.15411967021439926,-0.12990196078431374,0.5547910735806845,0.6192473366524134,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.027245232665536592,0.04615384615384615,0.9263374684722098,0.8755025376321142,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.04827474469676303,-0.05395463920316182,0.8540235560385285,0.8370528250155285,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.27726113948372494,0.38461538461538464,0.3372104673648091,0.17450875077509556,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.2859452505047052,-0.2642857142857143,0.30152847115894893,0.3411737579900821,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.07631937435628545,0.09803921568627452,0.7709528494043231,0.708151309718605,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.037978829375766285,-0.03186274509803922,0.8849363309419792,0.9033768447188891,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,-0.15028989519902128,-0.09999999999999999,0.5785071821419249,0.7125163701282782,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,flesch_reading_ease,diff,0.09395412490327595,0.16911764705882354,0.7198413541023078,0.5164176230839818,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.15921315267971525,0.16491012906848923,0.04300227086778009,0.0359856307320813,162,Hunting0,all,,3,10,162,162,*,*
mean_nonzero_FF,dale_chall_score,Adv,-0.03716863149546971,0.0629514963880289,0.8835883512748791,0.8040167566657793,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.12562692378245321,0.1030043112060362,0.6309215678162851,0.6940257518362223,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.02296820381223301,-0.04175824175824176,0.9378789866632027,0.8872869731890637,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.3401277779364489,0.4338235294117647,0.18161306458812573,0.08189345203365929,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.2982509867473651,0.1384615384615385,0.30033052583279546,0.6368849912650183,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.13210903151128792,0.15,0.6388308645774782,0.5936302027425882,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.11414856845944445,0.012254901960784315,0.6626711261931227,0.9627675753886973,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,-0.20580041147702657,0.022058823529411766,0.42810280206603657,0.9330304490530753,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.12012048115299073,0.15294117647058825,0.657681273606589,0.5717446192454616,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,dale_chall_score,Adv,0.6898245125261567,0.7843137254901962,0.0021820887593010825,0.00019365164317268238,17,Hunting0,10,,3,1,17,17,**,***
mean_nonzero_FF,dale_chall_score,Ele,-0.011657593074100733,-0.01124844311063442,0.8829481397439118,0.8870285405331015,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.3494320646150355,-0.2591636896738362,0.15521341810677577,0.29904644045736006,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.1105361371861358,-0.13480392156862747,0.672779831235803,0.6059663630124608,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.07082379097857985,-0.02417582417582418,0.8098709721946271,0.9346189946036425,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.11143327717078179,-0.11519607843137256,0.6702643252043434,0.6597500431074229,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.49406585191541635,-0.4681318681318682,0.072542957479685,0.09137636506833118,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.18558472865619935,-0.22499999999999998,0.5078424380439418,0.420104686907635,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,-0.008156101067374693,0.0,0.9752159207616695,1.0,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.11323364474925764,0.0,0.6652262478119484,1.0,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.45134965230158985,0.4176470588235294,0.07928211576833329,0.1074740793993006,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,dale_chall_score,Ele,0.46866490690251233,0.5245098039215687,0.05775138089851362,0.03065401608794889,17,Hunting0,10,,3,1,17,17,ns,*
mean_nonzero_FF,dale_chall_score,diff,-0.07488427466828944,-0.07694218435512176,0.34360250151683475,0.33046669771462145,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,dale_chall_score,diff,-0.42490676452348763,-0.47083124498513673,0.07879618762443716,0.04859647428477875,18,Hunting0,1,,3,1,18,18,ns,*
mean_nonzero_FF,dale_chall_score,diff,-0.30727010690338935,-0.34803921568627455,0.2302550591527431,0.17101314886910304,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,diff,0.3696498815361774,0.4021978021978022,0.19332169429302076,0.15397442954140356,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,diff,-0.241409677346452,-0.2843137254901961,0.350587158587112,0.26873189936784353,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,diff,-0.34545784363608123,-0.47252747252747257,0.2263704899249862,0.08796742461254232,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,dale_chall_score,diff,-0.27487126110986115,-0.17873108119926945,0.3214469682058578,0.5239074261169425,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,dale_chall_score,diff,-0.004228473157355867,0.008583692600503018,0.9871495144765106,0.9739169957770539,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,diff,0.027752683774895835,0.08088235294117649,0.915795880336928,0.7576329086921563,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,dale_chall_score,diff,0.00813084755840296,0.0,0.976158489162563,1.0,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,dale_chall_score,diff,0.1435242851350525,0.069895782604096,0.5826282152379445,0.7898064103373582,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.1381546157722494,0.15131630479649094,0.07956392525339605,0.054591789597655864,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.14237513285219647,0.19091847265221878,0.5730499732181683,0.4479306707266415,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.036175842649334454,0.03921568627450981,0.8903670976494596,0.8812135857007628,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,-0.07728302510898935,0.03736263736263736,0.7928601182822348,0.899093096973967,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.2569599423582368,0.2979767574174619,0.31943325744270995,0.24538328603731538,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,-0.4958447156800292,-0.5604395604395604,0.07136147485268131,0.03710447700407433,14,Hunting0,5,,3,1,14,14,ns,*
mean_nonzero_FF,gunning_fog_index,Adv,0.22051156707835604,0.22142857142857136,0.42967872913017785,0.42771371901637,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.13462074330293683,0.14705882352941177,0.6064605912986765,0.5732772908660002,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,-0.14421267186480385,-0.21078431372549022,0.5808020378797397,0.416749848551334,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.5126755471075324,0.4852941176470588,0.042293187123359825,0.05671771428191195,16,Hunting0,9,,3,1,16,16,*,ns
mean_nonzero_FF,gunning_fog_index,Adv,0.2824385408388557,0.3602941176470589,0.27203933011654696,0.1554270402545691,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,0.13519263179596977,0.1607224890992303,0.08629380160610843,0.04104010594360157,162,Hunting0,all,,3,10,162,162,ns,*
mean_nonzero_FF,gunning_fog_index,Ele,0.3094727352899283,0.36429308565531476,0.21141679391644397,0.1372167161243323,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,-0.2902459867804814,-0.29411764705882354,0.2584322840494424,0.2518444167529261,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,0.1218495841150937,0.2087912087912088,0.6781678053499621,0.4737788373098136,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,-0.14277176905699004,-0.05392156862745098,0.5846272586750859,0.8371514461082935,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,-0.1406403694800913,-0.3098901098901099,0.6315392170230971,0.2809332808692584,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,0.5691543323697372,0.657142857142857,0.026800686091267505,0.007770251358668445,15,Hunting0,6,,3,1,15,15,*,**
mean_nonzero_FF,gunning_fog_index,Ele,-0.2632407239019487,-0.16421568627450983,0.3073266854080504,0.5288225629141268,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,0.07762972148798956,-0.04166666666666667,0.7671214006363962,0.8738435327825247,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,Ele,0.6133550582116958,0.6323529411764706,0.011511024658879404,0.008577584103099355,16,Hunting0,9,,3,1,16,16,*,**
mean_nonzero_FF,gunning_fog_index,Ele,0.4172872533168987,0.4068627450980392,0.09561214235881361,0.10506394931044012,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,-0.0005876582710059447,0.01958070974157074,0.9940783548966206,0.8046639933312358,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,0.1083772696669701,0.034055727554179564,0.6686070591198678,0.893282818838896,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,-0.11481603371523806,-0.09558823529411767,0.6608093001624262,0.7151579154299805,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,0.008811204897950092,-0.04615384615384615,0.9761508790730854,0.8755025376321142,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,-0.0632201323215075,-0.07843137254901962,0.8095171609393857,0.7647798831352097,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,-0.659252256427762,-0.7406593406593407,0.010327990794176336,0.002445197640446019,14,Hunting0,5,,3,1,14,14,*,**
mean_nonzero_FF,gunning_fog_index,diff,-0.021006036690311095,0.09999999999999999,0.9407673779966998,0.7228973252791182,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,0.16866393474513477,0.19374620441135382,0.5175600844450627,0.45621543985090995,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,-0.07122333833777936,-0.13725490196078433,0.7859005586890812,0.5993690521648235,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,0.14021247356528996,0.18529411764705883,0.6045101354841993,0.4920570502059438,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,gunning_fog_index,diff,0.09434669163339778,-0.06372549019607844,0.7187153719193331,0.808021077411703,17,Hunting0,10,,3,1,17,17,ns,ns
mean_nonzero_FF,ARI,Adv,0.08913740032252387,0.08536708492850278,0.2593218211262255,0.280095482899812,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,ARI,Adv,0.19266104819417906,0.276859651865761,0.44371877348033417,0.26604913084145865,18,Hunting0,1,,3,1,18,18,ns,ns
mean_nonzero_FF,ARI,Adv,-0.025774343190405266,-0.002450980392156863,0.9217804123151389,0.992551188788469,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_FF,ARI,Adv,-0.2895387643902467,-0.24835164835164836,0.31534327878324026,0.39191953893845743,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_FF,ARI,Adv,0.25287147630616114,0.27099943781588093,0.32746189673766135,0.2927530119957564,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_FF,ARI,Adv,-0.6050628963942902,-0.6571428571428571,0.021871383980024764,0.010661967747329804,14,Hunting0,5,,3,1,14,14,*,*
mean_nonzero_FF,ARI,Adv,0.17602200193111403,0.22361395351098534,0.5303199548168002,0.42304935831422086,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_FF,ARI,Adv,0.19700424038288153,0.11649297100682666,0.4485269343184484,0.6561399651979845,17,Hunting0,7,,3,1,17,17,ns,ns
mean_nonzero_FF,ARI,Adv,-0.14544837369770877,-0.19901779973950973,0.5775299629703227,0.44380840604619753,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_FF,ARI,Adv,0.42313314743118735,0.35493411099479594,0.10246465443091181,0.17734055063558035,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_FF,ARI,Adv,0.4111051412429063,0.5686274509803922,0.1011406200466582,0.017226738525358543,17,Hunting0,10,,3,1,17,17,ns,*
mean_nonzero_FF,ARI,Ele,0.12803430917838757,0.14447702277750168,0.10444382530221608,0.06661116000308717,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_FF,ARI,Ele,0.1682602003505793,0.24458204334365324,0.5045154579856924,0.3280041243603068,18,Hunting0,1,,3,1,18,18,ns,ns
