pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2870016787977453,-0.25871163556553795,0.00021318488010602934,0.0008869113277330075,162,Hunting0,all,,3,10,162,162,***,***
mean_nonzero_TF,flesch_reading_ease,Adv,-0.6172412016324653,-0.7048503611971104,0.0063519899295489055,0.0010886663167765575,18,Hunting0,1,,3,1,18,18,**,**
mean_nonzero_TF,flesch_reading_ease,Adv,-0.2958056878890668,-0.2720588235294118,0.2490052660572851,0.2907959385044185,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,0.1508208915217039,0.16923076923076924,0.6067858503455736,0.5630172739962107,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,0.22355724472229066,0.29656862745098045,0.388393810570228,0.24772866621670098,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.4156610900551081,-0.3934065934065934,0.13937583215191807,0.16403157340077784,14,Hunting0,5,,3,1,14,14,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.0281417088118477,-0.014285714285714282,0.9206972549102849,0.9596997645989476,15,Hunting0,6,,3,1,15,15,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.6669203308454471,-0.6666666666666667,0.0034530993199837277,0.003469960243410394,17,Hunting0,7,,3,1,17,17,**,**
mean_nonzero_TF,flesch_reading_ease,Adv,-0.21567947557429254,-0.24019607843137256,0.40575584941870735,0.3530886590520008,17,Hunting0,8,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,0.23651209934837486,0.2823529411764706,0.3778224631525307,0.2893498290632739,16,Hunting0,9,,3,1,16,16,ns,ns
mean_nonzero_TF,flesch_reading_ease,Adv,-0.5142202565776884,-0.40465979402371366,0.0347077683607725,0.10714331399321292,17,Hunting0,10,,3,1,17,17,*,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.1313791606622557,-0.12336371045508378,0.09562057658072355,0.1178210625567972,162,Hunting0,all,,3,10,162,162,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.21590205432089116,-0.5335397316821465,0.3895414464006937,0.022588029798321373,18,Hunting0,1,,3,1,18,18,ns,*
mean_nonzero_TF,flesch_reading_ease,Ele,-0.23151270023766685,-0.12875538900754524,0.37128010263945704,0.6223700969949149,17,Hunting0,2,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.06937414833770679,-0.13406593406593406,0.8136997241490365,0.6477195279851131,14,Hunting0,3,,3,1,14,14,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,0.2597160136150311,0.25996326161523425,0.31408681913835307,0.3136097814794822,17,Hunting0,4,,3,1,17,17,ns,ns
mean_nonzero_TF,flesch_reading_ease,Ele,-0.2718812799180356,0.12541261714395896,0.3470518631563794,0.6692375348136055,14,Hunting0,5,,3,1,14,14,ns,ns
