pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,flesch_reading_ease,Adv,-0.09388498349436189,-0.11985720804720815,0.0052121032661030875,0.00035500939878543945,884,Hunting0,all,,3,10,162,884,**,***
mean_FD,flesch_reading_ease,Adv,-0.13070691486114322,-0.0940753928406109,0.21685514935027098,0.3750867203210446,91,Hunting0,1,,3,1,18,91,ns,ns
mean_FD,flesch_reading_ease,Adv,0.006453367228946819,-0.004303446733480369,0.9486730586416732,0.9657595533185132,102,Hunting0,2,,3,1,17,102,ns,ns
mean_FD,flesch_reading_ease,Adv,0.008660212656815843,-0.0599379425514461,0.9358023617295415,0.5768704132556356,89,Hunting0,3,,3,1,14,89,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.15224946730851271,-0.16819932256884004,0.17759312309054867,0.13585892597782484,80,Hunting0,4,,3,1,17,80,ns,ns
mean_FD,flesch_reading_ease,Adv,0.14377260616043813,0.10632880595415019,0.2350660065859959,0.3809866837277749,70,Hunting0,5,,3,1,14,70,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.09457410337655718,-0.10697359614443121,0.4132735154742196,0.354447704354692,77,Hunting0,6,,3,1,15,77,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.031881167215250535,-0.04157569259048877,0.7374602199463604,0.6619439328774612,113,Hunting0,7,,3,1,17,113,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.2442616741621995,-0.1674190196707001,0.016468475298781687,0.1030156656128416,96,Hunting0,8,,3,1,17,96,*,ns
mean_FD,flesch_reading_ease,Adv,-0.09136679507356163,-0.12285676582992847,0.39721016481549654,0.2541421783901415,88,Hunting0,9,,3,1,16,88,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.1780830212536873,-0.2163584059919983,0.11878563988434426,0.0570957873905573,78,Hunting0,10,,3,1,17,78,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.02458970952620536,-0.05809460514408103,0.4900989592641852,0.10275235711295376,790,Hunting0,all,,3,10,162,790,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.10066255133310666,-0.11563807457537735,0.38692223165100553,0.31986090764492675,76,Hunting0,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,Ele,0.025215861451175468,0.03682830102862812,0.8093659270328548,0.7245340112011556,94,Hunting0,2,,3,1,17,94,ns,ns
mean_FD,flesch_reading_ease,Ele,0.19008251467407566,0.08531087386874539,0.0955353951140382,0.45770197880699304,78,Hunting0,3,,3,1,14,78,ns,ns
mean_FD,flesch_reading_ease,Ele,0.006347226404779027,-0.08835873969649229,0.9566026886181506,0.44784437230495355,76,Hunting0,4,,3,1,17,76,ns,ns
mean_FD,flesch_reading_ease,Ele,0.05557639558230659,0.06553976375570617,0.6813553792430156,0.6281209726921091,57,Hunting0,5,,3,1,14,57,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.3343397669765573,-0.3058494188766001,0.004672038014395751,0.01002788132694992,70,Hunting0,6,,3,1,15,70,**,*
mean_FD,flesch_reading_ease,Ele,0.09445641988825274,0.07614109646598381,0.3499012676061552,0.4514907238210931,100,Hunting0,7,,3,1,17,100,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.07360424641447645,-0.10622603110167728,0.49303124884074784,0.321795766027224,89,Hunting0,8,,3,1,17,89,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.3962945156184696,-0.3899431450381147,0.00035991486068117257,0.0004555233998061351,77,Hunting0,9,,3,1,16,77,***,***
mean_FD,flesch_reading_ease,Ele,-0.050025200482488805,-0.014317231673970272,0.6742650517764118,0.9043078592989784,73,Hunting0,10,,3,1,17,73,ns,ns
mean_FD,flesch_reading_ease,diff,-0.0267747510372291,-0.050763420638933125,0.4523521673141607,0.15402305600388738,790,Hunting0,all,,3,10,162,790,ns,ns
mean_FD,flesch_reading_ease,diff,-0.13818615957396116,-0.1670363369778436,0.23387560108017838,0.14924334867078554,76,Hunting0,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,diff,-0.009632336614788206,0.011774370067606926,0.9265855751003212,0.9103213392444167,94,Hunting0,2,,3,1,17,94,ns,ns
mean_FD,flesch_reading_ease,diff,0.0028002057304173846,-0.12191917773328159,0.980588180671091,0.28762350705130807,78,Hunting0,3,,3,1,14,78,ns,ns
mean_FD,flesch_reading_ease,diff,-0.03230190889850443,-0.024107919092431193,0.7817749258816598,0.8362325849100398,76,Hunting0,4,,3,1,17,76,ns,ns
mean_FD,flesch_reading_ease,diff,0.15457956582190743,0.22021206119090111,0.25092256591938106,0.09976251378779202,57,Hunting0,5,,3,1,14,57,ns,ns
mean_FD,flesch_reading_ease,diff,-0.0704023466936701,-0.07195257453944202,0.5624935049123447,0.5538994296274036,70,Hunting0,6,,3,1,15,70,ns,ns
mean_FD,flesch_reading_ease,diff,-0.025691976346059364,-0.06259731134834752,0.7997029797926593,0.5361072281381198,100,Hunting0,7,,3,1,17,100,ns,ns
mean_FD,flesch_reading_ease,diff,0.08926874452415165,0.014679646084837603,0.4054557460801832,0.8913966942759878,89,Hunting0,8,,3,1,17,89,ns,ns
mean_FD,flesch_reading_ease,diff,-0.12769383774171197,-0.1197766280067849,0.26841531246344846,0.29946306398319555,77,Hunting0,9,,3,1,16,77,ns,ns
mean_FD,flesch_reading_ease,diff,-0.02538786651927831,-0.017973640311326835,0.8311674813044859,0.880032137293727,73,Hunting0,10,,3,1,17,73,ns,ns
mean_FD,dale_chall_score,Adv,0.11401581034594305,0.07614752806287041,0.0006832398675227744,0.023567149960583768,884,Hunting0,all,,3,10,162,884,***,*
mean_FD,dale_chall_score,Adv,0.02963302223824273,-0.04390966428933338,0.7803718344869465,0.6794011114339531,91,Hunting0,1,,3,1,18,91,ns,ns
mean_FD,dale_chall_score,Adv,-0.013968490161033678,-0.008465806013639792,0.8891791639718246,0.9327000882580079,102,Hunting0,2,,3,1,17,102,ns,ns
mean_FD,dale_chall_score,Adv,-0.009517597803674078,-0.009551212225907463,0.9294621790681817,0.9292136944915367,89,Hunting0,3,,3,1,14,89,ns,ns
mean_FD,dale_chall_score,Adv,0.19328796242887986,0.18722601260639446,0.08582375018100678,0.09631538328618557,80,Hunting0,4,,3,1,17,80,ns,ns
mean_FD,dale_chall_score,Adv,0.174016291860727,0.13135237538615685,0.1496616152032256,0.2784138239703374,70,Hunting0,5,,3,1,14,70,ns,ns
