pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
RegRateFirstPass,flesch_reading_ease,Adv,0.08549724350514087,0.10489234478552865,0.010988110641327301,0.0017909124091756694,884,RepeatedReading,all,,3,10,162,884,*,**
RegRateFirstPass,flesch_reading_ease,Adv,0.13169504227286422,0.14354943422133215,0.21337017555918436,0.17462671839052946,91,RepeatedReading,1,,3,1,18,91,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.12204138223489192,0.11441877315703415,0.22173019517930165,0.25216929094982793,102,RepeatedReading,2,,3,1,17,102,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,-0.03837207948186197,0.04010335523656249,0.7210801634471099,0.7090471361241266,89,RepeatedReading,3,,3,1,14,89,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.09558891657575634,0.07031240859077954,0.3989762760994554,0.5354136835401966,80,RepeatedReading,4,,3,1,17,80,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.3008653501777562,0.31907483148314514,0.011379295501314026,0.007096791278316099,70,RepeatedReading,5,,3,1,14,70,*,**
RegRateFirstPass,flesch_reading_ease,Adv,0.12910874600970604,0.11486983984851645,0.26310368690328123,0.31983861024935595,77,RepeatedReading,6,,3,1,15,77,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.00812658742217202,0.06896695146767509,0.9319213666583104,0.4679354951461049,113,RepeatedReading,7,,3,1,17,113,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,-0.0316801671656389,-0.06727465761113763,0.7592911254118111,0.5148798642800649,96,RepeatedReading,8,,3,1,17,96,ns,ns
RegRateFirstPass,flesch_reading_ease,Adv,0.23248921091953595,0.26220809152056523,0.029278258855755326,0.013590672566540032,88,RepeatedReading,9,,3,1,16,88,*,*
RegRateFirstPass,flesch_reading_ease,Adv,0.13086737537138637,0.18028443349161768,0.25343383872362335,0.11422270700851488,78,RepeatedReading,10,,3,1,17,78,ns,ns
RegRateFirstPass,flesch_reading_ease,Ele,0.09342008081597455,0.09082754000822216,0.008605467974503829,0.010645572987715821,790,RepeatedReading,all,,3,10,162,790,**,*
