pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,flesch_reading_ease,Adv,-0.037370614928547416,-0.026722117816672383,0.26703185717745853,0.4274730591868494,884,RepeatedReading,all,,3,10,162,884,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.01715719213347077,0.010432469704664375,0.8717637960046896,0.9218160996559346,91,RepeatedReading,1,,3,1,18,91,ns,ns
mean_FD,flesch_reading_ease,Adv,0.160521182378038,0.2723895167651542,0.10703294963815554,0.0056112975989440345,102,RepeatedReading,2,,3,1,17,102,ns,**
mean_FD,flesch_reading_ease,Adv,-0.13808042460809464,-0.17147989131605312,0.19690338117747605,0.10809934711981958,89,RepeatedReading,3,,3,1,14,89,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.16257673665091757,-0.1474396180410391,0.14962708924039456,0.191848336731761,80,RepeatedReading,4,,3,1,17,80,ns,ns
mean_FD,flesch_reading_ease,Adv,0.1301571681477163,0.0033074628580208017,0.28284884702167734,0.9783209312321552,70,RepeatedReading,5,,3,1,14,70,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.3035748258156911,-0.26173495460728535,0.007275943834936065,0.02148278585497394,77,RepeatedReading,6,,3,1,15,77,**,*
mean_FD,flesch_reading_ease,Adv,-0.1469263008543711,-0.13593508932807002,0.12044157768405643,0.15111158522703283,113,RepeatedReading,7,,3,1,17,113,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.12302746621075933,-0.08109803902369704,0.23241135540617414,0.43217133169597044,96,RepeatedReading,8,,3,1,17,96,ns,ns
mean_FD,flesch_reading_ease,Adv,0.11323182826920494,0.1511426185892812,0.2935325699907021,0.15982503935601608,88,RepeatedReading,9,,3,1,16,88,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.24581567414879107,-0.22578013924334497,0.030057001184594007,0.046857332277134844,78,RepeatedReading,10,,3,1,17,78,*,*
mean_FD,flesch_reading_ease,Ele,0.0326654958276468,0.018358598278006604,0.35918561437753715,0.6063920559031557,790,RepeatedReading,all,,3,10,162,790,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.05912534760697068,-0.037557080971690894,0.6119131354811732,0.7473751349031914,76,RepeatedReading,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,Ele,0.24303090661915852,0.2682967380410083,0.018262688276895565,0.008934483594843933,94,RepeatedReading,2,,3,1,17,94,*,**
mean_FD,flesch_reading_ease,Ele,0.02003942737125297,-0.057641115193261414,0.8617527088581944,0.6161806829053076,78,RepeatedReading,3,,3,1,14,78,ns,ns
mean_FD,flesch_reading_ease,Ele,0.06741847004551803,0.08107184378774551,0.5628194063351288,0.4863024693975666,76,RepeatedReading,4,,3,1,17,76,ns,ns
mean_FD,flesch_reading_ease,Ele,0.09243672379050004,0.09743448558340886,0.49404648329381073,0.47088781443700256,57,RepeatedReading,5,,3,1,14,57,ns,ns
mean_FD,flesch_reading_ease,Ele,0.019063999238491402,0.002362514822243006,0.8755261045203461,0.9845137672224935,70,RepeatedReading,6,,3,1,15,70,ns,ns
mean_FD,flesch_reading_ease,Ele,0.009020730623170261,-0.008575475003932131,0.9290223236107704,0.9325172706613627,100,RepeatedReading,7,,3,1,17,100,ns,ns
mean_FD,flesch_reading_ease,Ele,0.113780836658918,0.11839120167743435,0.28837901137386757,0.2691583863263173,89,RepeatedReading,8,,3,1,17,89,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.21942403988584597,-0.17584382401826654,0.05518938132976563,0.12608317322898413,77,RepeatedReading,9,,3,1,16,77,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.047085875184983327,-0.037274172116715715,0.6924165310714533,0.7542177945573625,73,RepeatedReading,10,,3,1,17,73,ns,ns
mean_FD,flesch_reading_ease,diff,0.033231640180996835,0.0008157755509410934,0.3509137746831641,0.9817359027229583,790,RepeatedReading,all,,3,10,162,790,ns,ns
mean_FD,flesch_reading_ease,diff,0.1357448741448392,0.1264406490496001,0.2423211113204445,0.27642262233101517,76,RepeatedReading,1,,3,1,18,76,ns,ns
mean_FD,flesch_reading_ease,diff,0.019698220714417444,2.8929656185766402e-05,0.8505283901179239,0.9997792009923419,94,RepeatedReading,2,,3,1,17,94,ns,ns
mean_FD,flesch_reading_ease,diff,-0.01163127592145359,-0.1325780862216445,0.9194952555547556,0.2472274438994953,78,RepeatedReading,3,,3,1,14,78,ns,ns
mean_FD,flesch_reading_ease,diff,0.0018234032055198823,0.023013969275417868,0.9875274819299437,0.843567636885971,76,RepeatedReading,4,,3,1,17,76,ns,ns
mean_FD,flesch_reading_ease,diff,0.19033401827685506,0.19602504740285454,0.1561453029134871,0.14390868567099344,57,RepeatedReading,5,,3,1,14,57,ns,ns
mean_FD,flesch_reading_ease,diff,-0.1172798348587087,-0.11701964407624307,0.33359013410406035,0.33467116538136044,70,RepeatedReading,6,,3,1,15,70,ns,ns
mean_FD,flesch_reading_ease,diff,0.164196544152124,0.12470054438977768,0.10259069938006239,0.2163994481629482,100,RepeatedReading,7,,3,1,17,100,ns,ns
mean_FD,flesch_reading_ease,diff,-0.08381241396508911,-0.17428230168204925,0.4348716087548375,0.10237224366952034,89,RepeatedReading,8,,3,1,17,89,ns,ns
mean_FD,flesch_reading_ease,diff,0.07186402049719638,0.02523968056658025,0.5345379990237823,0.8275152710029925,77,RepeatedReading,9,,3,1,16,77,ns,ns
mean_FD,flesch_reading_ease,diff,-0.07827493399751963,-0.011254811805628429,0.5103779086267629,0.9247084878502628,73,RepeatedReading,10,,3,1,17,73,ns,ns
mean_FD,dale_chall_score,Adv,0.0907095785509749,0.09060366181584781,0.006960275474326547,0.007026731541328622,884,RepeatedReading,all,,3,10,162,884,**,**
mean_FD,dale_chall_score,Adv,-0.03741038815188199,0.026796521641930873,0.7247915543948341,0.8009374147333774,91,RepeatedReading,1,,3,1,18,91,ns,ns
mean_FD,dale_chall_score,Adv,-0.17723215049704555,-0.16929915472968238,0.07474393329294096,0.08893035335059876,102,RepeatedReading,2,,3,1,17,102,ns,ns
mean_FD,dale_chall_score,Adv,0.2426601914286291,0.2580614961037297,0.02194896781875952,0.014620706372510938,89,RepeatedReading,3,,3,1,14,89,*,*
mean_FD,dale_chall_score,Adv,-0.027464872090128933,0.002684201896128738,0.8089098261706081,0.9811474119938122,80,RepeatedReading,4,,3,1,17,80,ns,ns
mean_FD,dale_chall_score,Adv,0.021731809496781718,0.03046689122665855,0.8582764555240414,0.8022991587325172,70,RepeatedReading,5,,3,1,14,70,ns,ns
mean_FD,dale_chall_score,Adv,0.1924373252462782,0.19290461519825913,0.09359683816084287,0.09278781772047374,77,RepeatedReading,6,,3,1,15,77,ns,ns
mean_FD,dale_chall_score,Adv,0.13974828574926196,0.19931004259579974,0.1398682057543125,0.03430902944023828,113,RepeatedReading,7,,3,1,17,113,ns,*
mean_FD,dale_chall_score,Adv,0.3857368979576966,0.261479450177693,0.00010391908017642796,0.010072205972367756,96,RepeatedReading,8,,3,1,17,96,***,*
mean_FD,dale_chall_score,Adv,0.08017541560898392,-0.027562886121876705,0.457751303053832,0.7987893577601344,88,RepeatedReading,9,,3,1,16,88,ns,ns
mean_FD,dale_chall_score,Adv,0.38621463167746417,0.29986784248003656,0.0004786353154015525,0.007646697818280518,78,RepeatedReading,10,,3,1,17,78,***,**
mean_FD,dale_chall_score,Ele,0.01652784999864111,0.053734726111235934,0.6427599681925977,0.13129431329313115,790,RepeatedReading,all,,3,10,162,790,ns,ns
mean_FD,dale_chall_score,Ele,0.08319754749943893,0.011087414229248815,0.4749063158947035,0.9242681223352209,76,RepeatedReading,1,,3,1,18,76,ns,ns
mean_FD,dale_chall_score,Ele,-0.1939565502012489,-0.21643458193452786,0.06104801550141121,0.03614984350261429,94,RepeatedReading,2,,3,1,17,94,ns,*
mean_FD,dale_chall_score,Ele,0.11776451932262613,0.1668974680778818,0.3044889941662582,0.14416212774423146,78,RepeatedReading,3,,3,1,14,78,ns,ns
mean_FD,dale_chall_score,Ele,0.06021096876141947,0.06353221064796341,0.6053817867826873,0.5855932743751664,76,RepeatedReading,4,,3,1,17,76,ns,ns
mean_FD,dale_chall_score,Ele,-0.13953973423907595,-0.1306581541539325,0.30055803672170806,0.3326678350265079,57,RepeatedReading,5,,3,1,14,57,ns,ns
mean_FD,dale_chall_score,Ele,0.13049685336938285,0.09601133912650237,0.2815836520385962,0.4291460798178891,70,RepeatedReading,6,,3,1,15,70,ns,ns
mean_FD,dale_chall_score,Ele,-0.05157282062520873,0.03326342200380864,0.6103432553740824,0.7425010460324898,100,RepeatedReading,7,,3,1,17,100,ns,ns
mean_FD,dale_chall_score,Ele,0.022802657447742083,0.10043116122410853,0.8320240679557792,0.3490455606917535,89,RepeatedReading,8,,3,1,17,89,ns,ns
mean_FD,dale_chall_score,Ele,0.36659070209722144,0.3101757524791719,0.0010411590601417848,0.006045122232228401,77,RepeatedReading,9,,3,1,16,77,**,**
mean_FD,dale_chall_score,Ele,0.11662593755690237,0.1876721101770807,0.325798352437296,0.11184419653346712,73,RepeatedReading,10,,3,1,17,73,ns,ns
mean_FD,dale_chall_score,diff,-0.037613236936567,0.02383524391538416,0.2910172847434104,0.5035146277642208,790,RepeatedReading,all,,3,10,162,790,ns,ns
mean_FD,dale_chall_score,diff,-0.18784473767663584,-0.15510538208809488,0.10417258737765252,0.18093556384707865,76,RepeatedReading,1,,3,1,18,76,ns,ns
mean_FD,dale_chall_score,diff,-0.15114233926972212,-0.09970389444356215,0.14590732343698504,0.33901349164662253,94,RepeatedReading,2,,3,1,17,94,ns,ns
mean_FD,dale_chall_score,diff,0.07420344550653424,0.09588097940520916,0.5185012202219305,0.4036881447806683,78,RepeatedReading,3,,3,1,14,78,ns,ns
mean_FD,dale_chall_score,diff,0.038381582677583924,-0.012201630107268775,0.7420205807558853,0.9166834577527276,76,RepeatedReading,4,,3,1,17,76,ns,ns
mean_FD,dale_chall_score,diff,-0.08135956089233769,-0.07020674145422952,0.547412816095854,0.6037974689051258,57,RepeatedReading,5,,3,1,14,57,ns,ns
mean_FD,dale_chall_score,diff,0.3608246726190354,0.3470670154790705,0.002150596318313424,0.0032444669303191374,70,RepeatedReading,6,,3,1,15,70,**,**
mean_FD,dale_chall_score,diff,-0.1939755840863603,-0.036985413634781084,0.05314045321499194,0.7148656909252236,100,RepeatedReading,7,,3,1,17,100,ns,ns
mean_FD,dale_chall_score,diff,-0.017092519025032248,0.12683137692275046,0.8736826078589559,0.2362547135925212,89,RepeatedReading,8,,3,1,17,89,ns,ns
mean_FD,dale_chall_score,diff,-0.16373100616994835,-0.10533420512347351,0.15477792636374105,0.3619132759649084,77,RepeatedReading,9,,3,1,16,77,ns,ns
mean_FD,dale_chall_score,diff,0.12023806833536663,0.13556571049455463,0.31093355070603657,0.2528016561750751,73,RepeatedReading,10,,3,1,17,73,ns,ns
mean_FD,gunning_fog_index,Adv,0.05243386773322507,0.035709599708977066,0.11927193825747057,0.2888904984670263,884,RepeatedReading,all,,3,10,162,884,ns,ns
mean_FD,gunning_fog_index,Adv,0.018640367614721126,0.02952958145901898,0.8607850924038514,0.7811192607430291,91,RepeatedReading,1,,3,1,18,91,ns,ns
mean_FD,gunning_fog_index,Adv,-0.19166880509724793,-0.2587679768939866,0.05362726366905617,0.008636724693324369,102,RepeatedReading,2,,3,1,17,102,ns,**
mean_FD,gunning_fog_index,Adv,0.14734865575670267,0.12741141965675654,0.16821322677240336,0.23410091564968386,89,RepeatedReading,3,,3,1,14,89,ns,ns
mean_FD,gunning_fog_index,Adv,0.10624677741790342,0.06858797481160468,0.3482432477712129,0.5454933557720658,80,RepeatedReading,4,,3,1,17,80,ns,ns
mean_FD,gunning_fog_index,Adv,-0.08183574955013988,-0.061591223401542265,0.5006357851312441,0.6124972936002919,70,RepeatedReading,5,,3,1,14,70,ns,ns
mean_FD,gunning_fog_index,Adv,0.2673745976175336,0.20586746877867787,0.018733106411824945,0.07245863275103341,77,RepeatedReading,6,,3,1,15,77,*,ns
mean_FD,gunning_fog_index,Adv,0.23846088065406726,0.22394040957214925,0.010975004588152064,0.017106194431843018,113,RepeatedReading,7,,3,1,17,113,*,*
mean_FD,gunning_fog_index,Adv,0.04442059625947191,-0.010127733017029803,0.6673832580154845,0.9219849150951678,96,RepeatedReading,8,,3,1,17,96,ns,ns
