pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_GD,flesch_reading_ease,Adv,-0.2585926343415461,-0.2699998894838364,5.67963127459642e-15,3.1225939256005665e-16,884,RepeatedReading,all,,3,10,162,884,***,***
mean_GD,flesch_reading_ease,Adv,-0.3585325579556493,-0.38671014991511254,0.0004836031939663162,0.00015284280237729916,91,RepeatedReading,1,,3,1,18,91,***,***
mean_GD,flesch_reading_ease,Adv,0.0009470755742887686,-0.009918850946812833,0.9924624081569903,0.9211832988719767,102,RepeatedReading,2,,3,1,17,102,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.3763961890647922,-0.3166129665269045,0.0002775813071704185,0.0025039097892388764,89,RepeatedReading,3,,3,1,14,89,***,**
mean_GD,flesch_reading_ease,Adv,-0.3424175178825707,-0.3454363256520418,0.0018769892880528955,0.0016995634489915337,80,RepeatedReading,4,,3,1,17,80,**,**
mean_GD,flesch_reading_ease,Adv,-0.16672206531336253,-0.14803083765078284,0.1677538737999884,0.2213427226256178,70,RepeatedReading,5,,3,1,14,70,ns,ns
mean_GD,flesch_reading_ease,Adv,0.012207239256418149,-0.009833630320269699,0.9160822775598978,0.9323564744356627,77,RepeatedReading,6,,3,1,15,77,ns,ns
mean_GD,flesch_reading_ease,Adv,-0.24513029500442834,-0.2576844541961863,0.008874509528375023,0.005860930551753266,113,RepeatedReading,7,,3,1,17,113,**,**
mean_GD,flesch_reading_ease,Adv,-0.35625687536714484,-0.3627773855055528,0.0003673384050000581,0.0002807069097693971,96,RepeatedReading,8,,3,1,17,96,***,***
mean_GD,flesch_reading_ease,Adv,-0.45736170235167095,-0.45814803543129723,7.473030089127074e-06,7.174818286958511e-06,88,RepeatedReading,9,,3,1,16,88,***,***
mean_GD,flesch_reading_ease,Adv,-0.5120213997538529,-0.5128711010404198,1.6548574415484942e-06,1.579832175733245e-06,78,RepeatedReading,10,,3,1,17,78,***,***
mean_GD,flesch_reading_ease,Ele,-0.23017557937624722,-0.21820083310227198,5.854849347836476e-11,5.715579026971634e-10,790,RepeatedReading,all,,3,10,162,790,***,***
mean_GD,flesch_reading_ease,Ele,-0.361896672096732,-0.3752153367990844,0.0013168560071561638,0.000838528176056823,76,RepeatedReading,1,,3,1,18,76,**,***
