pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
reading_speed,flesch_reading_ease,Adv,0.21955768862249325,0.20264325158542593,4.1290869740770235e-11,1.2042508057670452e-09,884,RepeatedReading,all,,3,10,162,884,***,***
reading_speed,flesch_reading_ease,Adv,0.23870364880982198,0.20710443293091738,0.022687535519871703,0.04886688887018981,91,RepeatedReading,1,,3,1,18,91,*,*
reading_speed,flesch_reading_ease,Adv,0.05293668636333873,0.0009726581316144853,0.5972106842943277,0.9922588077266695,102,RepeatedReading,2,,3,1,17,102,ns,ns
reading_speed,flesch_reading_ease,Adv,0.39568002028387866,0.3774447429042137,0.00012407091605475389,0.0002660257173999345,89,RepeatedReading,3,,3,1,14,89,***,***
reading_speed,flesch_reading_ease,Adv,0.13030793416819245,0.18555964013274362,0.24928562104816024,0.09936902992271864,80,RepeatedReading,4,,3,1,17,80,ns,ns
reading_speed,flesch_reading_ease,Adv,-0.021137816595745134,0.029067173582923548,0.8621116952188822,0.8112102626567957,70,RepeatedReading,5,,3,1,14,70,ns,ns
reading_speed,flesch_reading_ease,Adv,0.14241411857297195,0.14586113422913413,0.21662678898226267,0.20559426621055188,77,RepeatedReading,6,,3,1,15,77,ns,ns
reading_speed,flesch_reading_ease,Adv,0.24368122399354317,0.2308808792491322,0.009298054107188775,0.013880297447725969,113,RepeatedReading,7,,3,1,17,113,**,*
reading_speed,flesch_reading_ease,Adv,0.35605858230334525,0.3899366819467441,0.00037032229729470954,8.594897964376465e-05,96,RepeatedReading,8,,3,1,17,96,***,***
reading_speed,flesch_reading_ease,Adv,0.36542376613962413,0.349460614897072,0.00046375500758437117,0.0008461620106755578,88,RepeatedReading,9,,3,1,16,88,***,***
reading_speed,flesch_reading_ease,Adv,0.3274891510232932,0.29629770247758525,0.0034249356666255807,0.008438256243814545,78,RepeatedReading,10,,3,1,17,78,**,**
reading_speed,flesch_reading_ease,Ele,0.15090045805568414,0.14301453031416228,2.0530190611528407e-05,5.481435671737259e-05,790,RepeatedReading,all,,3,10,162,790,***,***
reading_speed,flesch_reading_ease,Ele,0.20046074389749133,0.1675918087189614,0.08251351956139084,0.14787614502359267,76,RepeatedReading,1,,3,1,18,76,ns,ns
reading_speed,flesch_reading_ease,Ele,0.06044024306420003,0.02817216906231529,0.5628059163707536,0.7875155359522537,94,RepeatedReading,2,,3,1,17,94,ns,ns
reading_speed,flesch_reading_ease,Ele,0.2176111349804975,0.244487863104722,0.05563754704611353,0.03098617100890153,78,RepeatedReading,3,,3,1,14,78,ns,*
reading_speed,flesch_reading_ease,Ele,0.055797465367915154,0.023651650885800967,0.6321218011638863,0.8392902549599706,76,RepeatedReading,4,,3,1,17,76,ns,ns
reading_speed,flesch_reading_ease,Ele,0.3237080455017303,0.3156734714227608,0.014036402362466479,0.0167570546933276,57,RepeatedReading,5,,3,1,14,57,*,*
reading_speed,flesch_reading_ease,Ele,0.20355146756594233,0.17052106983656182,0.09100617992627795,0.1581403924747017,70,RepeatedReading,6,,3,1,15,70,ns,ns
reading_speed,flesch_reading_ease,Ele,0.00999774148778387,0.004002688472794074,0.9213582818146672,0.9684727785739007,100,RepeatedReading,7,,3,1,17,100,ns,ns
reading_speed,flesch_reading_ease,Ele,0.1538039953147356,0.18990095173786783,0.15013637511666836,0.0746752969806132,89,RepeatedReading,8,,3,1,17,89,ns,ns
reading_speed,flesch_reading_ease,Ele,0.2993086970910091,0.2724028018452827,0.008184008509067305,0.01654157109611894,77,RepeatedReading,9,,3,1,16,77,**,*
reading_speed,flesch_reading_ease,Ele,0.2346239644171631,0.257046763922434,0.04571527760139341,0.02813971190268308,73,RepeatedReading,10,,3,1,17,73,*,*
reading_speed,flesch_reading_ease,diff,0.0389911378248474,0.051139665154611595,0.27369083571367614,0.15099005928669276,790,RepeatedReading,all,,3,10,162,790,ns,ns
reading_speed,flesch_reading_ease,diff,0.06651087687847203,0.06822977219227716,0.5681003536264227,0.5581184744540268,76,RepeatedReading,1,,3,1,18,76,ns,ns
