pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
reading_speed,flesch_reading_ease,Adv,0.37014442663008207,0.3254056350761214,1.247114742162545e-06,2.3868386078330505e-05,162,FirstReading,all,,3,10,162,162,***,***
reading_speed,flesch_reading_ease,Adv,0.40491352992384233,0.27347781217750256,0.09554347545297606,0.2721726853194866,18,FirstReading,1,,3,1,18,18,ns,ns
reading_speed,flesch_reading_ease,Adv,0.12217773515022123,0.08578431372549021,0.6404012658707942,0.7433950261372769,17,FirstReading,2,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Adv,-0.18127178796164542,0.05054945054945055,0.5351305041847205,0.8637420361792153,14,FirstReading,3,,3,1,14,14,ns,ns
reading_speed,flesch_reading_ease,Adv,0.42296724581257383,0.32598039215686275,0.09072671221693218,0.20163694355296383,17,FirstReading,4,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Adv,0.4799767827480212,0.49890109890109896,0.08239504285114038,0.06936352739715487,14,FirstReading,5,,3,1,14,14,ns,ns
reading_speed,flesch_reading_ease,Adv,0.1954719358792022,0.16428571428571426,0.4850754267337128,0.5584973732486012,15,FirstReading,6,,3,1,15,15,ns,ns
reading_speed,flesch_reading_ease,Adv,0.4612923545802975,0.5171568627450981,0.0623509754357738,0.03351135213888937,17,FirstReading,7,,3,1,17,17,ns,*
reading_speed,flesch_reading_ease,Adv,0.30002091834984035,0.31617647058823534,0.24200344164085022,0.21632697166875503,17,FirstReading,8,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Adv,0.34436503810559915,0.27941176470588236,0.19151524906537898,0.29461765356841446,16,FirstReading,9,,3,1,16,16,ns,ns
reading_speed,flesch_reading_ease,Adv,0.587907508293413,0.5910485476346363,0.013064084635479608,0.012468855039463777,17,FirstReading,10,,3,1,17,17,*,*
reading_speed,flesch_reading_ease,Ele,0.164791178039633,0.13540256788440222,0.03612158939442524,0.08580227937385022,162,FirstReading,all,,3,10,162,162,*,ns
reading_speed,flesch_reading_ease,Ele,0.12887769040539476,0.19504643962848298,0.6102884962755769,0.43798642970216684,18,FirstReading,1,,3,1,18,18,ns,ns
reading_speed,flesch_reading_ease,Ele,-0.2188558119514625,-0.3458001876202644,0.39870609463709106,0.1739699142814601,17,FirstReading,2,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Ele,0.5957934967761394,0.4769230769230769,0.024555401489068356,0.0846484341946868,14,FirstReading,3,,3,1,14,14,*,ns
reading_speed,flesch_reading_ease,Ele,0.24648842199774207,0.279583130416384,0.3402284416467924,0.27712337845591756,17,FirstReading,4,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Ele,0.21091676317396973,-0.16721682285861195,0.4691850961946339,0.5677401146336072,14,FirstReading,5,,3,1,14,14,ns,ns
reading_speed,flesch_reading_ease,Ele,0.43672661965502685,0.3857142857142856,0.1035985909713119,0.1556307945859602,15,FirstReading,6,,3,1,15,15,ns,ns
reading_speed,flesch_reading_ease,Ele,-0.05290517190125209,-0.1593137254901961,0.8401835952117663,0.541361632626163,17,FirstReading,7,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Ele,0.03610801838799551,0.14705882352941177,0.8905714821901164,0.5732772908660002,17,FirstReading,8,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,Ele,0.0343519154180936,0.06033850051478917,0.8994963217402789,0.824331718268355,16,FirstReading,9,,3,1,16,16,ns,ns
reading_speed,flesch_reading_ease,Ele,0.17646763427549778,0.22794117647058826,0.49807496619155694,0.37891058826948365,17,FirstReading,10,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,diff,0.22085340957769686,0.17182926450776262,0.004739917414491947,0.0287876631546102,162,FirstReading,all,,3,10,162,162,**,*
reading_speed,flesch_reading_ease,diff,0.09896091062802173,0.025799793601651185,0.6960374901873946,0.9190604851409846,18,FirstReading,1,,3,1,18,18,ns,ns
reading_speed,flesch_reading_ease,diff,0.17935374941718668,0.25490196078431376,0.49095842438154524,0.32346003406511037,17,FirstReading,2,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,diff,-0.14207761025762547,-0.14725274725274726,0.628022058553706,0.6154187624847252,14,FirstReading,3,,3,1,14,14,ns,ns
reading_speed,flesch_reading_ease,diff,0.42291560283890145,0.3543838802207674,0.09077030444021227,0.16281833016527683,17,FirstReading,4,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,diff,-0.26898463800795236,-0.3802197802197802,0.35241565933231916,0.17990614630608154,14,FirstReading,5,,3,1,14,14,ns,ns
reading_speed,flesch_reading_ease,diff,0.39294827107172065,0.3,0.1473643952860091,0.27731678036838386,15,FirstReading,6,,3,1,15,15,ns,ns
reading_speed,flesch_reading_ease,diff,0.05371708845918354,-0.012254901960784315,0.8377612855020177,0.9627675753886973,17,FirstReading,7,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,diff,0.27127275470829504,0.2034313725490196,0.2922473393426883,0.4335552308263205,17,FirstReading,8,,3,1,17,17,ns,ns
reading_speed,flesch_reading_ease,diff,0.38363832392513764,0.37058823529411766,0.14240398340063037,0.15765046473782054,16,FirstReading,9,,3,1,16,16,ns,ns
reading_speed,flesch_reading_ease,diff,0.42715986677752793,0.2573529411764706,0.08723774371014045,0.3186676476453986,17,FirstReading,10,,3,1,17,17,ns,ns
reading_speed,dale_chall_score,Adv,-0.4998972854211723,-0.43917698785594894,1.2655243499251394e-11,5.025558145530324e-09,162,FirstReading,all,,3,10,162,162,***,***
reading_speed,dale_chall_score,Adv,-0.4896915572695108,-0.38906088751289986,0.03913551282673439,0.11054194705770316,18,FirstReading,1,,3,1,18,18,*,ns
