pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
reading_speed,flesch_reading_ease,Adv,0.31487750477260457,0.2966141688977071,8.48769560133989e-22,2.0600134026456913e-19,884,FirstReading,all,,3,10,162,884,***,***
reading_speed,flesch_reading_ease,Adv,0.34275467326761705,0.23473056835494843,0.0008815841245975188,0.02511543402439642,91,FirstReading,1,,3,1,18,91,***,*
reading_speed,flesch_reading_ease,Adv,0.1676946547398407,0.23231826373829237,0.09204409756942061,0.018792264703802578,102,FirstReading,2,,3,1,17,102,ns,*
reading_speed,flesch_reading_ease,Adv,0.3695016280518285,0.34474745028383236,0.00036582768457412514,0.0009382872386313726,89,FirstReading,3,,3,1,14,89,***,***
reading_speed,flesch_reading_ease,Adv,0.23916965702897816,0.18670839848606066,0.03262691055634397,0.09725592913256728,80,FirstReading,4,,3,1,17,80,*,ns
reading_speed,flesch_reading_ease,Adv,0.19466912877885084,0.21701506297521672,0.10633600039996359,0.07114391021042986,70,FirstReading,5,,3,1,14,70,ns,ns
reading_speed,flesch_reading_ease,Adv,0.3216924690015606,0.3315695057587194,0.00433192004819163,0.00322185908787183,77,FirstReading,6,,3,1,15,77,**,**
reading_speed,flesch_reading_ease,Adv,0.2821930012470621,0.2847042876222547,0.0024601937879703065,0.002240792274032457,113,FirstReading,7,,3,1,17,113,**,**
reading_speed,flesch_reading_ease,Adv,0.35054004125290056,0.36022696206352284,0.0004628621995108332,0.0003120610128432732,96,FirstReading,8,,3,1,17,96,***,***
reading_speed,flesch_reading_ease,Adv,0.3130841899807468,0.2872440676539751,0.0029775292008086506,0.006657707146035594,88,FirstReading,9,,3,1,16,88,**,**
reading_speed,flesch_reading_ease,Adv,0.44504991291592944,0.4645230658459253,4.453156179760706e-05,1.833869567717746e-05,78,FirstReading,10,,3,1,17,78,***,***
reading_speed,flesch_reading_ease,Ele,0.19790082677138593,0.18100718008656613,2.0332785040396062e-08,3.025249656392784e-07,790,FirstReading,all,,3,10,162,790,***,***
reading_speed,flesch_reading_ease,Ele,0.22393400621116358,0.2625030777781089,0.05181953540183759,0.02197180295331004,76,FirstReading,1,,3,1,18,76,ns,*
reading_speed,flesch_reading_ease,Ele,0.23310508315462106,0.1463233125624383,0.023756592383146754,0.1593495997819417,94,FirstReading,2,,3,1,17,94,*,ns
reading_speed,flesch_reading_ease,Ele,0.41681055519417726,0.44281730794366864,0.00014702962709230882,4.9132029726953765e-05,78,FirstReading,3,,3,1,14,78,***,***
reading_speed,flesch_reading_ease,Ele,0.23366651398528815,0.25968965813629447,0.04220295370574342,0.02348699478416487,76,FirstReading,4,,3,1,17,76,*,*
reading_speed,flesch_reading_ease,Ele,0.25945883420127375,0.19302141106094473,0.05129631529705601,0.1502746730185308,57,FirstReading,5,,3,1,14,57,ns,ns
reading_speed,flesch_reading_ease,Ele,0.3905256412528502,0.35572473179061914,0.0008308068353979218,0.0025099951740963195,70,FirstReading,6,,3,1,15,70,***,**
reading_speed,flesch_reading_ease,Ele,-0.020557198055038584,-0.10379985384395667,0.8391280994760772,0.30407798898508914,100,FirstReading,7,,3,1,17,100,ns,ns
reading_speed,flesch_reading_ease,Ele,0.08936785587355424,0.1058684823513751,0.40493246501831975,0.3234364970195974,89,FirstReading,8,,3,1,17,89,ns,ns
reading_speed,flesch_reading_ease,Ele,0.05182532592275412,0.10612942518686198,0.6544216242166266,0.35827996862011446,77,FirstReading,9,,3,1,16,77,ns,ns
reading_speed,flesch_reading_ease,Ele,0.05964383096482121,0.038832405305369806,0.6161964616818194,0.7442876022397051,73,FirstReading,10,,3,1,17,73,ns,ns
reading_speed,flesch_reading_ease,diff,0.1503360500981204,0.11689310326926707,2.2061885104860194e-05,0.0009962084666931934,790,FirstReading,all,,3,10,162,790,***,***
reading_speed,flesch_reading_ease,diff,-0.015823170898065207,0.007377301346366578,0.8920857200753468,0.9495684039741545,76,FirstReading,1,,3,1,18,76,ns,ns
reading_speed,flesch_reading_ease,diff,0.19794251337458688,0.09311009843388916,0.055823066344519646,0.3720722460673249,94,FirstReading,2,,3,1,17,94,ns,ns
reading_speed,flesch_reading_ease,diff,0.15277485205809652,0.03336921944812899,0.18176489052692443,0.7717920354339013,78,FirstReading,3,,3,1,14,78,ns,ns
reading_speed,flesch_reading_ease,diff,0.2306935411864969,0.2188036377753781,0.044969414855956014,0.05757077683276574,76,FirstReading,4,,3,1,17,76,*,ns
reading_speed,flesch_reading_ease,diff,-0.0635080273074488,-0.1099114969724904,0.6388360840434631,0.4157025010945642,57,FirstReading,5,,3,1,14,57,ns,ns
reading_speed,flesch_reading_ease,diff,0.1946288920463549,0.1892711418236935,0.10640973357182337,0.11658647660684104,70,FirstReading,6,,3,1,15,70,ns,ns
reading_speed,flesch_reading_ease,diff,0.22644615339848717,0.18480938816791945,0.023481662409864306,0.06565834783054093,100,FirstReading,7,,3,1,17,100,*,ns
reading_speed,flesch_reading_ease,diff,0.11605723932207536,0.1288831864301651,0.2787779162241919,0.2286974630199333,89,FirstReading,8,,3,1,17,89,ns,ns
reading_speed,flesch_reading_ease,diff,0.1748182135904893,0.19877235399280221,0.12834293214305723,0.08309036707195162,77,FirstReading,9,,3,1,16,77,ns,ns
reading_speed,flesch_reading_ease,diff,0.1369954968691399,0.145166946769433,0.24778491028045793,0.22042349862155816,73,FirstReading,10,,3,1,17,73,ns,ns
reading_speed,dale_chall_score,Adv,-0.44891831042041563,-0.41527104401636417,4.694594623898376e-45,3.5948142938527625e-38,884,FirstReading,all,,3,10,162,884,***,***
reading_speed,dale_chall_score,Adv,-0.4255027082895966,-0.3411002104042992,2.6156322369238e-05,0.00093720587783282,91,FirstReading,1,,3,1,18,91,***,***
reading_speed,dale_chall_score,Adv,-0.2458924701150928,-0.21928529992311063,0.012732695646866818,0.026800990195642103,102,FirstReading,2,,3,1,17,102,*,*
reading_speed,dale_chall_score,Adv,-0.4935733318004484,-0.46417869897886105,8.889341741338028e-07,4.609883830710656e-06,89,FirstReading,3,,3,1,14,89,***,***
reading_speed,dale_chall_score,Adv,-0.3746253228348075,-0.2656656592827854,0.0006179911999446864,0.01723021038547316,80,FirstReading,4,,3,1,17,80,***,*
reading_speed,dale_chall_score,Adv,-0.30829263997611317,-0.2606747913338919,0.009418054943274117,0.029292687902634798,70,FirstReading,5,,3,1,14,70,**,*
reading_speed,dale_chall_score,Adv,-0.33097713151868885,-0.27363979150388923,0.003280466545744069,0.016037556613846288,77,FirstReading,6,,3,1,15,77,**,*
reading_speed,dale_chall_score,Adv,-0.4016511069769448,-0.4112256427224373,1.0371254484112202e-05,6.050458691017819e-06,113,FirstReading,7,,3,1,17,113,***,***
reading_speed,dale_chall_score,Adv,-0.4966492708359366,-0.496342247199733,2.6537368166279154e-07,2.7062348918192693e-07,96,FirstReading,8,,3,1,17,96,***,***
reading_speed,dale_chall_score,Adv,-0.4450506211168891,-0.43877825137212473,1.3956174118801806e-05,1.90103854481987e-05,88,FirstReading,9,,3,1,16,88,***,***
reading_speed,dale_chall_score,Adv,-0.5211359794144561,-0.5543210916343674,9.994252797252426e-07,1.399450581078322e-07,78,FirstReading,10,,3,1,17,78,***,***
reading_speed,dale_chall_score,Ele,-0.3117446325592671,-0.2973589267676295,2.8889675747813176e-19,1.3597942021425801e-17,790,FirstReading,all,,3,10,162,790,***,***
reading_speed,dale_chall_score,Ele,-0.2368178035755143,-0.2849779896531338,0.03942607359935228,0.012589350698607189,76,FirstReading,1,,3,1,18,76,*,*
reading_speed,dale_chall_score,Ele,-0.309777171202817,-0.1198158720692645,0.002378962167606659,0.25003502894999124,94,FirstReading,2,,3,1,17,94,**,ns
reading_speed,dale_chall_score,Ele,-0.5172824743043138,-0.49482437171200133,1.2391415615090552e-06,4.122132988278562e-06,78,FirstReading,3,,3,1,14,78,***,***
reading_speed,dale_chall_score,Ele,-0.3408515848463498,-0.35518976385497947,0.00258672347980037,0.0016411276413067584,76,FirstReading,4,,3,1,17,76,**,**
reading_speed,dale_chall_score,Ele,-0.3647659254128853,-0.315252098065281,0.0052751215215339035,0.016911373761154647,57,FirstReading,5,,3,1,14,57,**,*
reading_speed,dale_chall_score,Ele,-0.31507246530915245,-0.22115679154726872,0.007892062613586801,0.06578758210570895,70,FirstReading,6,,3,1,15,70,**,ns
