pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
mean_FD,flesch_reading_ease,Adv,-0.24184640867116708,-0.2591731417835835,0.0019317744478116016,0.0008675794444237873,162,FirstReading,all,,3,10,162,162,**,***
mean_FD,flesch_reading_ease,Adv,0.014941617589426052,0.034055727554179564,0.9530765414561024,0.893282818838896,18,FirstReading,1,,3,1,18,18,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.6083468692664695,-0.661764705882353,0.009564200503497785,0.003809159927727152,17,FirstReading,2,,3,1,17,17,**,**
mean_FD,flesch_reading_ease,Adv,0.14817983621738162,0.0857142857142857,0.6131712184123349,0.7707850311186757,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FD,flesch_reading_ease,Adv,0.0530898719527792,0.09558823529411767,0.8396324325209874,0.7151579154299805,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.28571429373499774,-0.4461538461538462,0.3220661078212882,0.10980712780122508,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.5527354931152761,-0.6214285714285712,0.032603543978198285,0.013402006712181795,15,FirstReading,6,,3,1,15,15,*,*
mean_FD,flesch_reading_ease,Adv,-0.2573973628644045,-0.31617647058823534,0.31858117651910023,0.21632697166875503,17,FirstReading,7,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.275009851474811,-0.44117647058823534,0.28538598864921644,0.07627668292313648,17,FirstReading,8,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.004968251210954053,0.032352941176470584,0.985430740357041,0.9053195187918449,16,FirstReading,9,,3,1,16,16,ns,ns
mean_FD,flesch_reading_ease,Adv,-0.41601697540269267,-0.39362361782306693,0.09673001571960274,0.11800076366871835,17,FirstReading,10,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.057396150708810954,-0.10773718883053354,0.4681605926264023,0.17237017874976754,162,FirstReading,all,,3,10,162,162,ns,ns
mean_FD,flesch_reading_ease,Ele,0.48808150039281506,0.38493292053663575,0.039883191001391045,0.11470802686534463,18,FirstReading,1,,3,1,18,18,*,ns
mean_FD,flesch_reading_ease,Ele,0.01408539394203099,-0.03678725400215579,0.9572107066001827,0.8885249405395965,17,FirstReading,2,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Ele,0.13443568940612638,0.14725274725274726,0.6468055964525639,0.6154187624847252,14,FirstReading,3,,3,1,14,14,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.2410324572586866,-0.15941143400934174,0.35136361342500194,0.54111040511634,17,FirstReading,4,,3,1,17,17,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.3592649476920484,-0.41364161443972425,0.2071072820029916,0.1415042292801172,14,FirstReading,5,,3,1,14,14,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.03210838015502817,-0.007142857142857141,0.9095588626348732,0.9798442277615982,15,FirstReading,6,,3,1,15,15,ns,ns
mean_FD,flesch_reading_ease,Ele,-0.21022142240123623,-0.303921568627451,0.41802403730062554,0.23563584127730533,17,FirstReading,7,,3,1,17,17,ns,ns
