pred_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,fold,bootstrap_iter,n_batches,n_articles,n_texts,n_rows,pearson_p_symbol,spearman_p_symbol
RegRateTotal,flesch_reading_ease,Adv,-0.08425975710688469,-0.08914323823977668,0.012205873103256977,0.008002838847663644,884,FirstReading,all,,3,10,162,884,*,**
RegRateTotal,flesch_reading_ease,Adv,-0.2770566697891812,-0.28953750041450343,0.007844816105724371,0.005373921107449772,91,FirstReading,1,,3,1,18,91,**,**
RegRateTotal,flesch_reading_ease,Adv,-0.011926153331722122,0.008991559835627015,0.9053007152518139,0.928531251595629,102,FirstReading,2,,3,1,17,102,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.12636660345900802,-0.1329610415536988,0.23799040573426056,0.21418371791418442,89,FirstReading,3,,3,1,14,89,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.056745559382567964,-0.03659072682505405,0.6171012553293028,0.7472750642123283,80,FirstReading,4,,3,1,17,80,ns,ns
RegRateTotal,flesch_reading_ease,Adv,0.2003704162544336,0.1989220063806267,0.09628295833190209,0.0987635486116928,70,FirstReading,5,,3,1,14,70,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.01775467201053511,0.05127952335028356,0.8781929296599797,0.6578325622239549,77,FirstReading,6,,3,1,15,77,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.010368241086151976,-0.06913007773197798,0.9132077392115414,0.4668810340615337,113,FirstReading,7,,3,1,17,113,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.11602802610339026,-0.13461558062544865,0.26027013679171723,0.190995103966944,96,FirstReading,8,,3,1,17,96,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.18780830884558386,-0.17347864387690168,0.07973331832882118,0.1060107417923953,88,FirstReading,9,,3,1,16,88,ns,ns
RegRateTotal,flesch_reading_ease,Adv,-0.050694941676227435,-0.06747143382980676,0.6593718156630392,0.5572437993400223,78,FirstReading,10,,3,1,17,78,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.04880802830565174,-0.05449764420572682,0.17053434040049537,0.12589944872207653,790,FirstReading,all,,3,10,162,790,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.057564269667770285,-0.08192619551814759,0.6213580518471893,0.48170485966904464,76,FirstReading,1,,3,1,18,76,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.06148438592830002,0.03940256670566971,0.5560661217028956,0.7061311656996384,94,FirstReading,2,,3,1,17,94,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.24081879486295896,-0.2164496689748161,0.033680157548732756,0.05698851089847571,78,FirstReading,3,,3,1,14,78,*,ns
RegRateTotal,flesch_reading_ease,Ele,-0.19746828950772125,-0.24447999145565835,0.0872957472102048,0.03330250744784236,76,FirstReading,4,,3,1,17,76,ns,*
RegRateTotal,flesch_reading_ease,Ele,0.1050200477044311,0.07193218479418004,0.43688066090611605,0.5949101805572135,57,FirstReading,5,,3,1,14,57,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.02573508556297494,0.05277204274428218,0.8325179898797394,0.6643790607632274,70,FirstReading,6,,3,1,15,70,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.04468984155358703,0.09649407082927365,0.6588507102441029,0.3395574885566075,100,FirstReading,7,,3,1,17,100,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.0511599239174425,-0.12278655641934032,0.6339811538229336,0.2516567536773093,89,FirstReading,8,,3,1,17,89,ns,ns
RegRateTotal,flesch_reading_ease,Ele,0.019579741732507906,-0.006369468646327321,0.8657828800020201,0.9561558189479248,77,FirstReading,9,,3,1,16,77,ns,ns
RegRateTotal,flesch_reading_ease,Ele,-0.03027688699006178,-0.09288888220855504,0.7992798287012305,0.43442798380129954,73,FirstReading,10,,3,1,17,73,ns,ns
RegRateTotal,flesch_reading_ease,diff,-0.008943149277317885,-0.01968698590187526,0.8018361065092519,0.5805933171629255,790,FirstReading,all,,3,10,162,790,ns,ns
