l1_or_l2,batch,text_level,preview,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
L1,1,paragraph,Gathering,V0,TF,30,54,0.23228663998475318,0.0,0.2058137655014688,0.1421833457834325,0.2007036281474957
L1,1,paragraph,Gathering,V1,TF,30,54,0.26336014230353855,0.0,0.23795876790021223,0.16274609026723533,0.21719503105529983
L1,1,paragraph,Gathering,V0,RR,30,54,0.17257349173072445,0.0,0.14405642623731119,0.09821095512426196,0.14596885024248743
L1,1,paragraph,Gathering,V1,RR,30,54,0.19866099146602292,0.0,0.17104826744588825,0.1175410644321176,0.1652312867908883
L1,1,paragraph,Gathering,V0,SR,30,54,0.22372534570018845,0.0,0.196983554401591,0.13510032300141933,0.20038838643663942
L1,1,paragraph,Gathering,V1,SR,30,54,0.22175787222328103,0.0,0.19495072172240047,0.13438432388818453,0.18756771148099996
L1,1,paragraph,Hunting,V0,TF,30,54,0.14760587002096437,0.0,0.1182129689872045,0.080186671164767,0.10732087177325594
L1,1,paragraph,Hunting,V1,TF,30,54,0.20757647756389894,0.0,0.18025152851437817,0.12344875780139278,0.1849790195919812
L1,1,paragraph,Hunting,V0,RR,30,54,0.13484026851322448,0.0,0.10502384184020491,0.07149260545050752,0.11523823115171473
L1,1,paragraph,Hunting,V1,RR,30,54,0.1808586917391949,0.0,0.1526265905642127,0.10555509389379714,0.16222587565317478
L1,1,paragraph,Hunting,V0,SR,30,54,0.1362661414988459,0.0,0.10649681541097199,0.07246127849355859,0.10106599388843135
L1,1,paragraph,Hunting,V1,SR,30,54,0.17915659742074835,0.0,0.15086683590660366,0.1032539598000238,0.14146481585149576
L1,1,sentence,Gathering,V0,TF,30,253,0.2669721087882813,0.0,0.2421291062645683,0.16416419652538553,0.22712801388618267
L1,1,sentence,Gathering,V1,TF,30,252,0.29975161028512837,0.0,0.27560524712304907,0.18724300722222412,0.24590153860773392
L1,1,sentence,Gathering,V0,RR,30,253,0.1776837777617328,0.0,0.1495526277512689,0.10435200400222165,0.15587910135145117
L1,1,sentence,Gathering,V1,RR,30,252,0.1972522026905675,0.0,0.16118593977023288,0.11293664352770724,0.17203897587255945
L1,1,sentence,Gathering,V0,SR,30,253,0.25112571608720186,0.0,0.2255098806659973,0.15563453299251037,0.22714336672810387
L1,1,sentence,Gathering,V1,SR,30,252,0.2687746298200135,0.0,0.2437514530039628,0.16835417733739505,0.2458941518221474
L1,1,sentence,Hunting,V0,TF,30,253,0.18795235057626664,0.0,0.16202042773704492,0.10960337222137545,0.14451488789896022
L1,1,sentence,Hunting,V1,TF,30,252,0.19702242597583458,0.0,0.1899707626177765,0.12881866843306844,0.17389020722439277
L1,1,sentence,Hunting,V0,RR,30,253,0.18114677998928475,0.0,0.14534916477695103,0.10312995250719326,0.14992635190641487
