text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,Adv,117.62603131840378,133.0,191.13023255813954,60,5939
1_10_1,Ele,115.93607305936074,134.0,189.26574729780097,60,4380
1_10_2,Adv,123.85318352059925,140.0,196.2540059347181,60,5340
1_10_2,Ele,122.78772893772894,137.0,193.0936059907834,60,5460
1_10_3,Adv,128.9256880733945,143.0,196.49825215567466,60,6540
1_10_3,Ele,113.04543378995434,133.0,189.70842911877395,60,4380
1_10_4,Adv,121.96464646464646,136.0,196.17384240454913,60,9900
1_10_4,Ele,116.35328282828283,128.0,196.94763838427014,60,7920
1_10_5,Adv,128.70028011204482,143.0,197.23545825284396,60,7140
1_10_5,Ele,119.92708333333333,136.0,193.94027565084227,60,5280
1_10_6,Adv,118.198046875,133.0,194.88213825676254,60,7680
1_10_6,Ele,118.27574074074074,129.0,197.55304670584596,60,5400
1_10_7,Adv,109.32234567901234,114.0,193.46974000436967,60,8100
1_10_7,Ele,110.68253205128205,122.0,190.57919426048565,60,6240
1_1_1,Adv,120.94404761904762,136.0,197.3158533624666,60,6720
1_1_1,Ele,111.07580128205129,127.0,189.16839519650654,60,6240
1_1_2,Adv,108.80280235988201,116.0,194.1782047907344,60,6780
1_1_2,Ele,113.16803921568628,127.0,193.02909698996655,60,5100
1_1_3,Adv,120.9577519379845,137.0,195.9629513343799,60,5160
1_1_3,Ele,111.10132275132275,119.0,193.0864367816092,60,3780
1_1_4,Adv,123.51465201465201,140.0,196.21472214140238,60,5460
1_1_4,Ele,116.00656565656566,134.0,189.4375257731959,60,3960
1_1_5,Adv,104.52133333333333,107.0,190.50060753341432,60,4500
1_1_5,Ele,114.37716049382716,131.0,188.01725012683917,60,3240
1_1_6,Adv,116.11584022038568,130.0,192.1150865998177,60,7260
1_1_6,Ele,115.88809523809523,133.0,191.3520371694067,60,4620
1_1_7,Adv,113.23532338308458,127.0,190.38310330405687,60,8040
1_1_7,Ele,112.21841085271318,127.0,191.04157043879908,60,5160
1_2_1,Adv,124.69435897435898,140.0,197.8067927598129,60,7800
1_2_1,Ele,122.29983333333334,139.0,196.0456852791878,60,6000
1_2_2,Adv,125.5104,141.0,198.21604548325962,60,7500
1_2_2,Ele,122.580291005291,137.0,196.33622881355933,60,7560
1_2_3,Adv,119.6201690821256,135.0,198.40845352564102,60,8280
1_2_3,Ele,132.52489711934157,145.5,202.85700787401575,60,4860
1_2_4,Adv,111.36200466200467,119.0,193.222649140546,60,8580
1_2_4,Ele,108.845,117.0,190.73306074766356,60,6000
1_2_5,Adv,118.40159420289855,131.0,196.71827594509992,60,6900
1_2_5,Ele,120.12429718875502,134.0,192.16800513973658,60,4980
1_2_6,Adv,130.37388059701493,145.0,201.42313604919292,60,4020
