text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,0,Adv,193.35438596491227,181.0,193.35438596491227,60,2280
1_10_1,0,Ele,186.90866632070575,177.0,186.90866632070575,60,1927
1_10_1,1,Adv,190.70656028368793,178.0,190.70656028368793,60,1128
1_10_1,1,Ele,185.0150451354062,173.0,185.0150451354062,60,997
1_10_1,2,Adv,190.56001936108422,177.0,190.56001936108422,60,2066
1_10_1,2,Ele,193.66811846689896,179.5,193.66811846689896,60,1148
1_10_2,3,Adv,191.4575221238938,179.0,191.4575221238938,60,1130
1_10_2,3,Ele,195.19690455717972,178.0,195.19690455717972,60,1163
1_10_2,4,Adv,202.71143756558237,189.0,202.71143756558237,60,1906
1_10_2,4,Ele,194.88941176470587,178.0,194.88941176470587,60,1700
1_10_2,5,Adv,189.65131056393963,177.0,189.65131056393963,60,1259
1_10_2,5,Ele,191.5230998509687,178.0,191.5230998509687,60,1342
1_10_2,6,Adv,189.43756243756243,175.0,189.43756243756243,60,1001
1_10_2,6,Ele,184.5744101633394,172.0,184.5744101633394,60,1102
1_10_3,7,Adv,194.54851083032491,179.0,194.54851083032491,60,4432
1_10_3,7,Ele,187.43081416575393,177.0,187.43081416575393,60,2739
1_10_3,8,Adv,195.26897043106518,182.0,195.26897043106518,60,2807
1_10_3,8,Ele,186.6289248334919,174.0,186.6289248334919,60,1051
1_10_4,9,Adv,196.91978845306303,180.0,196.91978845306303,60,2269
1_10_4,9,Ele,196.35375494071147,179.0,196.35375494071147,60,1012
1_10_4,10,Adv,196.60362694300517,182.0,196.60362694300517,60,1930
1_10_4,10,Ele,194.11811926605503,177.0,194.11811926605503,60,1744
1_10_4,11,Adv,185.70255474452554,174.0,185.70255474452554,60,1096
1_10_4,11,Ele,193.52386237513875,181.0,193.52386237513875,60,901
1_10_4,12,Adv,194.2212725546059,178.0,194.2212725546059,60,2106
1_10_4,12,Ele,197.42299503193755,183.0,197.42299503193755,60,1409
1_10_4,13,Adv,191.69728480647024,176.0,191.69728480647024,60,1731
1_10_4,13,Ele,193.58094681472824,182.0,193.58094681472824,60,1711
1_10_5,14,Adv,195.50700280112045,181.0,195.50700280112045,60,1071
1_10_5,14,Ele,197.26871055004509,185.0,197.26871055004509,60,1109
1_10_5,15,Adv,200.2527559055118,186.0,200.2527559055118,60,1270
1_10_5,15,Ele,191.3043137254902,180.0,191.3043137254902,60,1275
1_10_5,16,Adv,195.13885350318472,181.0,195.13885350318472,59,2355
1_10_5,16,Ele,191.76741041244082,178.0,191.76741041244082,60,1479
