text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,0,Adv,116.13424540401881,132.0,191.2943661971831,60,2339
1_10_1,0,Ele,115.84747474747475,138.5,185.5809061488673,60,1980
1_10_1,1,Adv,126.93859649122807,143.0,191.16248348745046,60,1140
1_10_1,1,Ele,110.75877192982456,124.0,188.455223880597,60,1140
1_10_1,2,Adv,114.72886178861789,125.0,190.95602165087956,60,2460
1_10_1,2,Ele,120.75952380952381,135.0,195.82625482625483,60,1260
1_10_2,3,Adv,139.13125,152.0,192.45821325648416,60,960
1_10_2,3,Ele,131.54736842105262,149.5,196.28795811518324,60,1140
1_10_2,4,Adv,135.32471264367817,155.0,205.82604895104896,60,1740
1_10_2,4,Ele,135.74487179487178,150.0,197.53917910447763,60,1560
1_10_2,5,Adv,106.21666666666667,110.0,189.5858123569794,60,1560
1_10_2,5,Ele,106.00357142857143,102.5,191.28464017185823,60,1680
1_10_2,6,Adv,117.26574074074074,131.0,192.4726443768997,60,1080
1_10_2,6,Ele,120.93425925925926,138.5,185.2609929078014,60,1080
1_10_3,7,Adv,125.70563725490196,140.0,196.6560582822086,60,4080
1_10_3,7,Ele,114.51314102564102,135.0,190.44829424307036,60,3120
1_10_3,8,Adv,134.26626016260164,147.0,196.25371360665477,60,2460
1_10_3,8,Ele,109.41111111111111,126.0,187.81743869209808,60,1260
1_10_4,9,Adv,133.4142156862745,147.0,198.37099125364432,60,2040
1_10_4,9,Ele,125.55185185185185,144.0,197.0872093023256,60,1080
1_10_4,10,Adv,133.8543010752688,146.0,201.59433198380566,60,1860
1_10_4,10,Ele,117.4796875,129.5,195.46013864818025,60,1920
1_10_4,11,Adv,105.57638888888889,119.5,185.8557457212714,60,1440
1_10_4,11,Ele,115.99166666666666,137.0,196.04225352112675,60,1080
1_10_4,12,Adv,123.44625,136.0,198.97313633310947,60,2400
1_10_4,12,Ele,121.01851851851852,128.0,199.64358452138492,60,1620
1_10_4,13,Adv,110.19212962962963,120.0,191.79290894439967,60,2160
1_10_4,13,Ele,107.67567567567568,107.0,196.57894736842104,60,2220
1_10_5,14,Adv,131.24705882352941,144.0,197.4513274336283,60,1020
1_10_5,14,Ele,127.29166666666667,148.0,192.74447949526814,60,960
1_10_5,15,Adv,136.39298245614034,147.5,205.1292875989446,60,1140
1_10_5,15,Ele,121.31666666666666,138.5,193.8716707021792,60,1320
1_10_5,16,Adv,138.2290322580645,154.0,199.6164596273292,60,1860
1_10_5,16,Ele,125.57430555555555,143.0,197.19411123227917,60,1440
1_10_5,17,Adv,119.37628205128205,132.0,192.48268733850128,60,3120
1_10_5,17,Ele,109.00641025641026,114.5,191.49774774774775,60,1560
1_10_6,18,Adv,127.00178571428572,144.0,190.84347048300538,60,1680
1_10_6,18,Ele,134.1475,151.0,198.00369003690037,60,1200
1_10_6,19,Adv,124.75913978494624,139.0,194.02341137123747,60,1860
1_10_6,19,Ele,121.27878787878788,131.5,197.6395061728395,60,1980
1_10_6,20,Adv,121.54561403508772,140.0,199.36978417266187,60,1140
1_10_6,20,Ele,115.88981481481481,120.0,204.51143790849673,60,1080
1_10_6,21,Adv,116.61111111111111,126.0,200.28625954198472,60,900
1_10_6,22,Adv,98.62105263157895,0.0,197.58875219683657,60,1140
1_10_6,22,Ele,98.61315789473684,72.0,189.57672849915684,60,1140
1_10_6,23,Adv,110.83958333333334,122.0,191.37769784172662,60,960
1_10_7,24,Adv,111.89857142857143,123.5,194.36476426799007,60,2100
1_10_7,24,Ele,133.96805555555557,152.0,193.3006012024048,60,720
1_10_7,25,Adv,123.35765765765765,137.0,197.01726618705035,60,2220
1_10_7,25,Ele,120.73072916666666,135.0,191.09892827699917,60,1920
1_10_7,26,Adv,113.84083333333334,117.5,195.71489971346705,60,1200
1_10_7,26,Ele,114.5125,131.0,192.72791023842916,60,1200
1_10_7,27,Adv,93.0468992248062,0.0,187.54765625,60,2580
1_10_7,27,Ele,93.74333333333334,0.0,187.64303586321935,60,2400
1_1_1,28,Adv,119.45357142857142,132.5,199.48508946322067,60,1680
1_1_1,28,Ele,119.15555555555555,137.5,193.44306651634724,60,1440
1_1_1,29,Adv,111.372,116.0,193.8027842227378,60,1500
1_1_1,29,Ele,108.98412698412699,127.0,184.07506702412869,60,1260
1_1_1,30,Adv,127.67133333333334,145.0,192.2761044176707,60,1500
1_1_1,30,Ele,104.06607142857143,117.0,185.0063492063492,60,1680
1_1_1,31,Adv,124.26323529411765,141.0,201.98964143426295,60,2040
1_1_1,31,Ele,112.56881720430107,129.0,192.7974217311234,60,1860
1_1_2,32,Adv,133.48444444444445,153.0,199.23051409618574,60,900
1_1_2,33,Adv,116.56060606060606,118.0,202.44736842105263,60,660
1_1_2,33,Ele,129.0030303030303,152.5,196.17972350230414,60,660
1_1_2,34,Adv,114.675,130.5,191.68548387096774,60,2280
1_1_2,34,Ele,120.53428571428572,134.5,195.15959907478796,60,2100
1_1_2,35,Adv,102.16904761904762,93.0,192.42600896860986,60,840
1_1_2,35,Ele,116.06777777777778,131.0,188.8987341772152,60,900
1_1_2,36,Adv,93.72156862745098,0.0,189.67460317460316,60,1020
1_1_2,36,Ele,94.59210526315789,0.0,190.52120141342755,60,1140
1_1_2,37,Adv,90.5,0.0,194.70119521912352,60,1080
1_1_2,37,Ele,88.65666666666667,0.0,189.97857142857143,60,300
1_1_3,38,Adv,122.94878048780488,140.0,196.52631578947367,60,2460
1_1_3,38,Ele,108.59958333333333,113.5,191.22450476889216,60,2400
1_1_3,39,Adv,127.87797619047619,143.0,196.73534798534797,60,1680
1_1_3,39,Ele,121.11212121212121,143.5,200.8391959798995,60,660
1_1_3,40,Adv,104.75784313725491,108.0,192.8754512635379,60,1020
1_1_3,40,Ele,110.26388888888889,111.5,191.76328502415458,60,720
1_1_4,41,Adv,133.8454022988506,149.5,198.54305200341005,60,1740
1_1_4,41,Ele,120.68333333333334,141.0,189.99708454810497,60,1620
1_1_4,42,Adv,115.98263888888889,133.0,188.93099547511312,60,1440
1_1_4,42,Ele,109.90454545454546,128.0,187.6765847347995,60,1320
1_1_4,43,Adv,135.1359649122807,151.0,204.58831341301462,60,1140
1_1_4,43,Ele,116.47549019607843,130.0,190.69823434991974,60,1020
1_1_4,44,Adv,105.63947368421053,112.0,192.07177033492823,60,1140
1_1_5,45,Adv,118.246875,138.5,194.04615384615386,60,960
1_1_5,45,Ele,124.54479166666667,143.0,191.6073717948718,60,960
1_1_5,46,Adv,91.92536231884058,34.0,183.3193641618497,60,1380
1_1_5,46,Ele,108.94888888888889,119.0,186.7695238095238,60,900
1_1_5,47,Adv,88.135,0.0,184.8986013986014,60,600
1_1_5,48,Adv,113.51987179487179,125.5,195.4646799116998,60,1560
1_1_5,48,Ele,110.84420289855072,123.5,186.08880778588806,60,1380
1_1_6,49,Adv,120.13717948717948,138.0,192.8127572016461,60,1560
1_1_6,50,Adv,113.96018518518518,129.0,189.34923076923076,60,1080
1_1_6,51,Adv,123.12847222222223,140.5,187.22808870116157,60,1440
1_1_6,51,Ele,128.31025641025641,147.5,190.63238095238094,60,1560
1_1_6,52,Adv,111.6996855345912,119.0,195.27487630566245,60,3180
1_1_6,52,Ele,109.55522875816993,118.0,191.78432494279176,60,3060
1_1_7,53,Adv,133.27708333333334,155.5,194.4468085106383,60,480
1_1_7,53,Ele,135.47291666666666,156.0,191.82005899705015,60,480
1_1_7,54,Adv,100.73974358974358,98.5,183.16317016317015,60,780
1_1_7,55,Adv,103.02708333333334,83.5,198.20841683366734,60,960
1_1_7,55,Ele,98.028125,76.0,192.05510204081634,60,960
1_1_7,56,Adv,113.203125,125.0,185.76923076923077,60,960
1_1_7,56,Ele,124.13425925925925,145.0,193.73554913294797,60,1080
1_1_7,57,Adv,122.9625,141.0,186.3068181818182,60,1200
1_1_7,57,Ele,122.4125,143.0,191.76892950391644,60,1200
1_1_7,58,Adv,106.47884615384615,111.5,190.0537757437071,60,1560
1_1_7,58,Ele,96.49513888888889,78.0,186.76478494623655,60,1440
1_1_7,59,Adv,140.43020833333333,153.0,201.2134328358209,60,960
1_1_7,60,Adv,98.07543859649122,93.5,185.10927152317882,60,1140
1_2_1,61,Adv,135.76014492753623,154.0,197.00210304942166,60,1380
1_2_1,61,Ele,133.40652173913043,151.0,192.7759162303665,60,1380
1_2_1,62,Adv,132.68571428571428,148.0,197.05799151343706,60,2100
1_2_1,62,Ele,130.8268115942029,146.5,197.5284463894967,60,1380
1_2_1,63,Adv,130.33333333333334,142.0,201.4814814814815,60,1920
1_2_1,63,Ele,122.35350877192982,139.0,200.1190817790531,60,1140
1_2_1,64,Adv,106.82791666666667,104.5,195.7152671755725,60,2400
1_2_1,64,Ele,109.36857142857143,115.0,195.13508920985558,60,2100
1_2_2,65,Adv,138.1,153.0,204.78707224334602,60,780
1_2_2,65,Ele,121.48333333333333,140.0,189.32467532467533,60,600
1_2_2,66,Adv,120.04901960784314,126.0,200.40916530278233,60,1020
1_2_2,66,Ele,120.125,133.5,190.02824858757063,60,840
1_2_2,67,Adv,121.08095238095238,143.0,198.6484375,60,840
1_2_2,67,Ele,120.56904761904762,134.5,192.9104761904762,60,840
1_2_2,68,Adv,124.53111111111112,140.0,199.0728241563055,60,1800
1_2_2,68,Ele,122.3010101010101,138.0,198.65135356849876,60,1980
1_2_2,69,Adv,135.70333333333335,151.0,195.96149217809867,60,1200
1_2_2,69,Ele,126.12391304347825,135.0,198.4618015963512,60,1380
1_2_2,70,Adv,119.59784946236559,135.0,194.62117235345582,60,1860
1_2_2,70,Ele,122.61822916666667,139.0,199.00845308537617,60,1920
1_2_3,71,Adv,133.49506172839506,153.0,200.98698884758363,60,1620
1_2_3,72,Adv,127.72932098765432,144.0,199.2503610977371,60,3240
1_2_3,72,Ele,137.6132575757576,150.0,202.84701284198772,60,2640
1_2_3,73,Adv,123.61435185185185,139.5,198.07640949554897,60,2160
1_2_3,73,Ele,126.47387387387387,138.0,202.86994219653178,60,2220
1_2_3,74,Adv,74.08174603174604,0.0,190.10794297352342,60,1260
1_2_4,75,Adv,128.90483870967742,146.0,193.04589371980677,60,1860
1_2_4,75,Ele,130.07291666666666,150.0,191.71443193449335,60,1440
1_2_4,76,Adv,117.09880952380952,129.5,197.1202404809619,60,1680
1_2_4,76,Ele,112.5922619047619,112.0,196.83142559833507,60,1680
1_2_4,77,Adv,117.115,124.5,200.48216833095577,60,1200
1_2_4,77,Ele,102.41481481481482,98.5,190.04810996563575,60,540
1_2_4,78,Adv,105.00416666666666,114.0,178.7304964539007,60,480
1_2_4,78,Ele,106.29074074074074,106.0,194.56610169491526,60,540
1_2_4,79,Adv,107.9,104.5,196.77811550151975,60,600
1_2_4,79,Ele,95.92222222222222,68.5,184.66310160427807,60,360
1_2_4,80,Adv,99.81190476190476,106.5,178.3872340425532,60,420
1_2_4,80,Ele,98.28333333333333,85.5,186.22105263157894,60,360
1_2_4,81,Adv,94.61367521367521,0.0,191.18825561312607,60,2340
1_2_4,81,Ele,87.0324074074074,0.0,179.7227533460803,60,1080
1_2_5,82,Adv,137.35185185185185,151.0,191.159793814433,60,1080
1_2_5,82,Ele,139.67407407407407,153.0,193.6431322207959,60,1080
1_2_5,83,Adv,129.385,141.0,199.82239382239382,60,1200
1_2_5,83,Ele,132.83253968253968,143.0,199.48629320619784,60,1260
1_2_5,84,Adv,123.95486111111111,136.0,203.06598407281,60,1440
1_2_5,84,Ele,113.05350877192983,123.0,188.42251461988303,60,1140
1_2_5,85,Adv,112.29666666666667,116.0,197.4736225087925,60,1500
1_2_5,85,Ele,100.74733333333333,95.0,186.3390875462392,60,1500
1_2_5,86,Adv,99.06488095238095,77.0,191.7384792626728,60,1680
1_2_6,87,Adv,140.39027777777778,155.0,202.162,60,2160
1_2_6,87,Ele,135.075,150.5,190.91872791519435,60,1200
1_2_6,88,Adv,121.71153846153847,128.0,197.37006237006236,60,780
1_2_6,88,Ele,130.23076923076923,142.0,203.97590361445782,60,780
1_2_6,89,Adv,116.59722222222223,124.0,202.77777777777777,60,1080
1_2_6,89,Ele,92.23533333333333,0.0,198.78304597701148,60,1500
1_3_1,90,Adv,112.34623655913978,133.0,189.6225045372051,60,1860
1_3_1,90,Ele,108.41206896551724,125.0,189.01503006012024,60,1740
1_3_1,91,Adv,144.54479166666667,157.0,205.87982195845697,60,960
1_3_1,91,Ele,145.69166666666666,157.0,203.6289517470882,60,840
1_3_1,92,Adv,119.78039215686275,132.5,199.63398692810458,60,1020
1_3_1,92,Ele,103.26602564102564,96.0,195.7411907654921,60,1560
1_3_1,93,Adv,86.58725490196079,0.0,183.2344398340249,60,1020
1_3_1,93,Ele,87.71274509803922,0.0,194.49347826086955,60,1020
1_3_2,94,Adv,133.7921568627451,155.0,196.07471264367817,60,1020
1_3_2,94,Ele,136.20119047619048,159.0,202.85283687943263,60,840
1_3_2,95,Adv,140.56916666666666,148.0,193.88850574712643,60,1200
1_3_2,95,Ele,121.884,134.0,197.86363636363637,60,1500
1_3_2,96,Adv,128.2560606060606,142.0,206.2095006090134,60,1320
1_3_2,96,Ele,133.33,148.5,199.995,60,600
1_3_2,97,Adv,124.63823529411765,142.0,200.8388625592417,60,1020
1_3_2,97,Ele,127.040625,144.0,196.07556270096464,60,960
1_3_3,98,Adv,130.20980392156864,152.0,196.47041420118344,60,1020
1_3_3,98,Ele,127.60916666666667,145.0,189.05061728395063,60,1200
1_3_3,99,Adv,121.71666666666667,132.0,184.109243697479,60,180
1_3_3,99,Ele,134.26111111111112,153.5,210.1478260869565,60,180
1_3_3,100,Adv,128.1409090909091,153.5,199.93617021276594,60,660
1_3_3,100,Ele,109.81282051282051,109.5,199.1953488372093,60,780
1_3_3,101,Adv,100.09117647058824,94.0,188.01657458563537,60,1020
1_3_3,101,Ele,107.68333333333334,112.5,195.78787878787878,60,240
1_3_3,102,Adv,133.39411764705883,146.0,192.99574468085106,60,1020
1_3_3,102,Ele,96.845,61.0,186.2403846153846,60,600
1_3_3,103,Adv,115.95833333333333,127.5,188.04054054054055,60,240
