text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,Adv,150.30361424385046,159.0,216.85701473414477,114,11261
1_10_1,Ele,142.2916366258111,154.0,203.98811369509045,114,8322
1_10_2,Adv,151.39453972008673,160.0,211.9272902869757,114,10146
1_10_2,Ele,151.99257759784075,161.0,214.20608612960194,114,10374
1_10_3,Adv,157.98132947046514,164.0,218.45938125973737,114,12426
1_10_3,Ele,139.3684210526316,152.0,205.8615548455804,114,8322
1_10_4,Adv,149.30900670712234,157.0,217.58738654875495,114,18786
1_10_4,Ele,142.78395800106327,153.0,210.87574835607026,114,15048
1_10_5,Adv,157.48628925254312,164.0,217.80599449485166,114,13566
1_10_5,Ele,147.39702950558214,157.0,209.9512991622888,114,10032
1_10_6,Adv,147.09655975877192,157.0,211.34629775502165,114,14592
1_10_6,Ele,145.9867446393762,155.0,217.80194852406572,114,10260
1_10_7,Adv,137.24606887589343,148.0,210.00367866375024,114,15390
1_10_7,Ele,139.75463900134952,149.0,211.18162120825897,114,11856
1_1_1,Adv,147.7138941102757,158.0,213.4462426437302,114,12768
1_1_1,Ele,141.64144736842104,152.0,213.48855835240275,114,11856
1_1_2,Adv,136.86353050768514,148.0,210.24040066777962,114,12882
1_1_2,Ele,139.01310629514964,150.0,211.33307185440853,114,9690
1_1_3,Adv,146.45063239494084,156.0,214.58705724107008,114,9804
1_1_3,Ele,137.8252575884155,151.0,207.25732830820772,114,7182
1_1_4,Adv,150.25332562174668,161.0,214.19925793596263,114,10374
1_1_4,Ele,143.1566985645933,156.0,205.35958055290754,114,7524
1_1_5,Adv,133.3854970760234,145.0,209.79506990434143,114,8550
1_1_5,Ele,138.319363222872,152.0,201.25124084140865,114,6156
1_1_6,Adv,144.8871248368856,156.0,209.47206791740908,114,13794
1_1_6,Ele,145.3609022556391,156.0,212.5567216391804,114,8778
1_1_7,Adv,144.21105001309243,155.0,213.15607160135463,114,15276
1_1_7,Ele,138.18982048143616,153.0,205.8048002430503,114,9804
1_2_1,Adv,151.99460188933872,161.0,216.86338692596516,114,14820
1_2_1,Ele,148.85973684210526,159.0,210.4154990700558,114,11400
1_2_2,Adv,151.5261052631579,160.0,215.73054251173943,114,14250
1_2_2,Ele,146.08813700918964,157.0,209.40125735954496,114,14364
1_2_3,Adv,142.83060005085176,155.0,211.08604978863315,114,15732
1_2_3,Ele,158.42007797270955,165.0,219.4166791660417,114,9234
1_2_4,Adv,135.72279474911053,148.0,206.16408870667163,114,16302
1_2_4,Ele,135.5284210526316,147.0,208.89994591671174,114,11400
1_2_5,Adv,143.73196033562166,154.0,209.9995542182102,114,13110
