text_id,align_idx,level,RegRateFirstPass,RegRateTotal,n_subjects,n_rows
1_10_1,0,Adv,0.22115803221593383,0.2255145894593983,114,4421
1_10_1,0,Ele,0.16844783715012723,0.1932482721956406,114,3762
1_10_1,1,Adv,0.21887713588283156,0.2322253000923361,114,2166
1_10_1,1,Ele,0.27167630057803466,0.22853185595567868,114,2166
1_10_1,2,Adv,0.28809837505489677,0.2569533590072743,114,4674
1_10_1,2,Ele,0.285263987391647,0.2694235588972431,114,2394
1_10_2,3,Adv,0.18624891209747607,0.2565789473684211,114,1824
1_10_2,3,Ele,0.2040104620749782,0.24792243767313019,114,2166
1_10_2,4,Adv,0.24402445803224013,0.2807017543859649,114,3306
1_10_2,4,Ele,0.2757697456492637,0.29790823211875844,114,2964
1_10_2,5,Adv,0.34053156146179403,0.2783400809716599,114,2964
1_10_2,5,Ele,0.31539509536784743,0.25595238095238093,114,3192
1_10_2,6,Adv,0.39348837209302323,0.3362573099415205,114,2052
1_10_2,6,Ele,0.35947712418300654,0.30409356725146197,114,2052
1_10_3,7,Adv,0.2564977684431609,0.27954076367389064,114,7752
1_10_3,7,Ele,0.24746237311865593,0.22031039136302294,114,5928
1_10_3,8,Adv,0.31195697145221346,0.3371844244758237,114,4674
1_10_3,8,Ele,0.3521000893655049,0.27903091060985796,114,2394
1_10_4,9,Adv,0.2579556412729026,0.2760577915376677,114,3876
1_10_4,9,Ele,0.1729200652528548,0.17690058479532164,114,2052
1_10_4,10,Adv,0.3100686498855835,0.27787209960384834,114,3534
1_10_4,10,Ele,0.2792281498297389,0.2532894736842105,114,3648
1_10_4,11,Adv,0.23817427385892115,0.19371345029239767,114,2736
1_10_4,11,Ele,0.29940828402366865,0.24171539961013644,114,2052
1_10_4,12,Adv,0.2782888684452622,0.22697368421052633,114,4560
1_10_4,12,Ele,0.3464882943143813,0.2823261858349578,114,3078
1_10_4,13,Adv,0.2932249322493225,0.23970588235294119,114,4080
1_10_4,13,Ele,0.31600617601646935,0.24679943100995733,114,4218
1_10_5,14,Adv,0.1687956204379562,0.21104231166150672,114,1938
1_10_5,14,Ele,0.19980879541108987,0.21984649122807018,114,1824
1_10_5,15,Adv,0.3074817518248175,0.34164358264081257,114,2166
1_10_5,15,Ele,0.2664576802507837,0.25637958532695376,114,2508
1_10_5,16,Adv,0.2650469353948095,0.3203169213355971,114,3534
1_10_5,16,Ele,0.22926829268292684,0.2547514619883041,114,2736
1_10_5,17,Adv,0.28622668579626975,0.3097165991902834,114,5928
1_10_5,17,Ele,0.3254612546125461,0.289136302294197,114,2964
1_10_6,18,Adv,0.22260869565217392,0.2666040100250627,114,3192
1_10_6,18,Ele,0.26524148851939827,0.2574561403508772,114,2280
1_10_6,19,Adv,0.3191489361702128,0.3613469156762875,114,3534
1_10_6,19,Ele,0.26253521126760565,0.2567783094098884,114,3762
1_10_6,20,Adv,0.2755417956656347,0.2793167128347184,114,2166
1_10_6,20,Ele,0.31456953642384106,0.27923976608187134,114,2052
1_10_6,21,Adv,0.28974358974358977,0.21812865497076023,114,1710
1_10_6,22,Adv,0.19091847265221878,0.16020313942751616,114,2166
1_10_6,22,Ele,0.26340996168582376,0.19390581717451524,114,2166
1_10_6,23,Adv,0.3020408163265306,0.27576754385964913,114,1824
1_10_7,24,Adv,0.2222814498933902,0.18771929824561404,114,3990
1_10_7,24,Ele,0.17557251908396945,0.22295321637426901,114,1368
1_10_7,25,Adv,0.30921395106715255,0.29160739687055476,114,4218
1_10_7,25,Ele,0.22968397291196388,0.25027412280701755,114,3648
1_10_7,26,Adv,0.2862706913339825,0.21052631578947367,114,2280
1_10_7,26,Ele,0.26542056074766357,0.21666666666666667,114,2280
1_10_7,27,Adv,0.2565569861707201,0.17645858833129335,114,4902
1_10_7,27,Ele,0.2717948717948718,0.18552631578947368,114,4560
1_1_1,28,Adv,0.2491888384166126,0.2424812030075188,114,3192
1_1_1,28,Ele,0.19521044992743106,0.1962719298245614,114,2736
1_1_1,29,Adv,0.2727272727272727,0.2168421052631579,114,2850
1_1_1,29,Ele,0.23125,0.1934001670843776,114,2394
1_1_1,30,Adv,0.23072100313479624,0.2649122807017544,114,2850
1_1_1,30,Ele,0.20696324951644102,0.16165413533834586,114,3192
1_1_1,31,Adv,0.30604601391118247,0.2889576883384933,114,3876
1_1_1,31,Ele,0.24501108647450112,0.22439162422184494,114,3534
1_1_2,32,Adv,0.18963831867057673,0.1976608187134503,114,1710
1_1_2,33,Adv,0.2981260647359455,0.26953748006379585,114,1254
1_1_2,33,Ele,0.17595307917888564,0.20574162679425836,114,1254
1_1_2,34,Adv,0.23910840932117527,0.2056786703601108,114,4332
1_1_2,34,Ele,0.2646566164154104,0.23609022556390977,114,3990
1_1_2,35,Adv,0.17702702702702702,0.15977443609022557,114,1596
1_1_2,35,Ele,0.20809248554913296,0.17251461988304093,114,1710
1_1_2,36,Adv,0.23093681917211328,0.15376676986584106,114,1938
1_1_2,36,Ele,0.16096579476861167,0.11080332409972299,114,2166
1_1_2,37,Adv,0.3399122807017544,0.2236842105263158,114,2052
1_1_2,37,Ele,0.3804347826086957,0.22456140350877193,114,570
1_1_3,38,Adv,0.22491349480968859,0.23769790329482243,114,4674
1_1_3,38,Ele,0.22207327971403037,0.2067982456140351,114,4560
1_1_3,39,Adv,0.3220762976860538,0.29104010025062654,114,3192
1_1_3,39,Ele,0.27741935483870966,0.2583732057416268,114,1254
1_1_3,40,Adv,0.26696329254727474,0.20639834881320948,114,1938
1_1_3,40,Ele,0.36281859070464767,0.2858187134502924,114,1368
1_1_4,41,Adv,0.1757607555089192,0.22686025408348456,114,3306
1_1_4,41,Ele,0.21164342025469982,0.23619233268356074,114,3078
1_1_4,42,Adv,0.278816199376947,0.2883771929824561,114,2736
1_1_4,42,Ele,0.24587458745874588,0.24282296650717702,114,2508
1_1_4,43,Adv,0.27373271889400924,0.2737765466297322,114,2166
1_1_4,43,Ele,0.29516806722689076,0.3235294117647059,114,1938
1_1_4,44,Adv,0.2973523421588595,0.25115420129270544,114,2166
1_1_5,45,Adv,0.149,0.13212719298245615,114,1824
1_1_5,45,Ele,0.12885154061624648,0.14912280701754385,114,1824
1_1_5,46,Adv,0.2710196779964222,0.19107551487414187,114,2622
1_1_5,46,Ele,0.20465116279069767,0.18187134502923977,114,1710
1_1_5,47,Adv,0.16535433070866143,0.11666666666666667,114,1140
1_1_5,48,Adv,0.3345375722543353,0.2948717948717949,114,2964
1_1_5,48,Ele,0.34584664536741216,0.34019832189168575,114,2622
1_1_6,49,Adv,0.17588564325668116,0.22031039136302294,114,2964
1_1_6,50,Adv,0.3128964059196617,0.307504873294347,114,2052
1_1_6,51,Adv,0.30021291696238467,0.32383040935672514,114,2736
1_1_6,51,Ele,0.1739644970414201,0.2216599190283401,114,2964
1_1_6,52,Adv,0.23620457604306863,0.26497848394571333,114,6042
1_1_6,52,Ele,0.22677109291562833,0.22669418644650843,114,5814
1_1_7,53,Adv,0.18285714285714286,0.23026315789473684,114,912
1_1_7,53,Ele,0.19107142857142856,0.2225877192982456,114,912
1_1_7,54,Adv,0.17266187050359713,0.17071524966261808,114,1482
1_1_7,55,Adv,0.21849865951742628,0.23519736842105263,114,1824
1_1_7,55,Ele,0.2139240506329114,0.17489035087719298,114,1824
1_1_7,56,Adv,0.22624434389140272,0.21162280701754385,114,1824
1_1_7,56,Ele,0.17722681359044995,0.21442495126705652,114,2052
1_1_7,57,Adv,0.25486725663716814,0.2929824561403509,114,2280
1_1_7,57,Ele,0.26773888363292336,0.2767543859649123,114,2280
1_1_7,58,Adv,0.24663677130044842,0.21592442645074225,114,2964
1_1_7,58,Ele,0.26839126919967665,0.19809941520467836,114,2736
1_1_7,59,Adv,0.30552291421856637,0.38596491228070173,114,1824
1_1_7,60,Adv,0.2917505030181087,0.26223453370267774,114,2166
1_2_1,61,Adv,0.16309823677581864,0.19031273836765827,114,2622
1_2_1,61,Ele,0.16064757160647572,0.16475972540045766,114,2622
1_2_1,62,Adv,0.21257922964407605,0.24736842105263157,114,3990
1_2_1,62,Ele,0.2899190581309787,0.2723112128146453,114,2622
1_2_1,63,Adv,0.23899033297529537,0.20257675438596492,114,3648
1_2_1,63,Ele,0.2328767123287671,0.22206832871652815,114,2166
1_2_1,64,Adv,0.21844882973841212,0.16864035087719298,114,4560
1_2_1,64,Ele,0.22085587801278897,0.18095238095238095,114,3990
1_2_2,65,Adv,0.22193211488250653,0.2739541160593792,114,1482
1_2_2,65,Ele,0.2289156626506024,0.23333333333333334,114,1140
1_2_2,66,Adv,0.2208067940552017,0.22445820433436534,114,1938
1_2_2,66,Ele,0.23950617283950618,0.20864661654135339,114,1596
1_2_2,67,Adv,0.17297297297297298,0.18233082706766918,114,1596
1_2_2,67,Ele,0.2136181575433912,0.20300751879699247,114,1596
1_2_2,68,Adv,0.21828021647624773,0.2108187134502924,114,3420
1_2_2,68,Ele,0.2334047109207709,0.22833599149388623,114,3762
1_2_2,69,Adv,0.2813257881972514,0.29736842105263156,114,2280
1_2_2,69,Ele,0.20446096654275092,0.20823798627002288,114,2622
1_2_2,70,Adv,0.28304027226318773,0.26259196378041877,114,3534
1_2_2,70,Ele,0.24036511156186613,0.2393092105263158,114,3648
1_2_3,71,Adv,0.17894736842105263,0.19525666016894086,114,3078
1_2_3,72,Adv,0.2839072382290935,0.28005198180636776,114,6156
1_2_3,72,Ele,0.25775193798449614,0.284688995215311,114,5016
1_2_3,73,Adv,0.2748361069087242,0.3026315789473684,114,4104
1_2_3,73,Ele,0.2634011090573013,0.29658605974395447,114,4218
1_2_3,74,Adv,0.20806100217864923,0.15288220551378445,114,2394
1_2_4,75,Adv,0.22595901208617972,0.2758913412563667,114,3534
1_2_4,75,Ele,0.2439696760854583,0.3117690058479532,114,2736
1_2_4,76,Adv,0.25710508922670194,0.22713032581453635,114,3192
1_2_4,76,Ele,0.25273124544792425,0.212406015037594,114,3192
1_2_4,77,Adv,0.2801519468186135,0.20877192982456141,114,2280
1_2_4,77,Ele,0.1867881548974943,0.17543859649122806,114,1026
1_2_4,78,Adv,0.33962264150943394,0.28618421052631576,114,912
1_2_4,78,Ele,0.37730870712401055,0.2875243664717349,114,1026
1_2_4,79,Adv,0.27121771217712176,0.20350877192982456,114,1140
1_2_4,79,Ele,0.36363636363636365,0.2149122807017544,114,684
1_2_4,80,Adv,0.2891246684350133,0.21177944862155387,114,798
1_2_4,80,Ele,0.24172185430463577,0.20906432748538012,114,684
1_2_4,81,Adv,0.25081967213114753,0.195906432748538,114,4446
1_2_4,81,Ele,0.2697516930022573,0.2124756335282651,114,2052
1_2_5,82,Adv,0.15577507598784193,0.22855750487329435,114,2052
1_2_5,82,Ele,0.1546218487394958,0.2071150097465887,114,2052
1_2_5,83,Adv,0.29693486590038315,0.37236842105263157,114,2280
1_2_5,83,Ele,0.3406193078324226,0.3642439431913116,114,2394
1_2_5,84,Adv,0.2501878287002254,0.23026315789473684,114,2736
1_2_5,84,Ele,0.2778993435448578,0.23591874422899353,114,2166
1_2_5,85,Adv,0.22507122507122507,0.17614035087719299,114,2850
1_2_5,85,Ele,0.28888888888888886,0.21017543859649124,114,2850
1_2_5,86,Adv,0.2354533152909337,0.17042606516290726,114,3192
1_2_6,87,Adv,0.22383596753524135,0.2590155945419103,114,4104
1_2_6,87,Ele,0.24511278195488723,0.24342105263157895,114,2280
1_2_6,88,Adv,0.31277533039647576,0.2948717948717949,114,1482
1_2_6,88,Ele,0.289586305278174,0.23751686909581646,114,1482
1_2_6,89,Adv,0.3286991062562066,0.3347953216374269,114,2052
1_2_6,89,Ele,0.2886421861656704,0.20385964912280702,114,2850
1_3_1,90,Adv,0.22144522144522144,0.2159026598754952,114,3534
1_3_1,90,Ele,0.18332311465358675,0.16817906836055657,114,3306
1_3_1,91,Adv,0.27996070726915523,0.3294956140350877,114,1824
1_3_1,91,Ele,0.2722159730033746,0.30639097744360905,114,1596
1_3_1,92,Adv,0.300921187308086,0.26367389060887514,114,1938
1_3_1,92,Ele,0.2737341772151899,0.20411605937921729,114,2964
1_3_1,93,Adv,0.3366214549938348,0.22239422084623323,114,1938
1_3_1,93,Ele,0.28841607565011823,0.195562435500516,114,1938
1_3_2,94,Adv,0.1806049822064057,0.22858617131062953,114,1938
1_3_2,94,Ele,0.16391509433962265,0.20488721804511278,114,1596
1_3_2,95,Adv,0.3492193919474117,0.3460526315789474,114,2280
1_3_2,95,Ele,0.2621502209131075,0.27157894736842103,114,2850
1_3_2,96,Adv,0.2419716206123973,0.24840510366826157,114,2508
1_3_2,96,Ele,0.23548922056384744,0.27017543859649124,114,1140
1_3_2,97,Adv,0.29980657640232106,0.32920536635706915,114,1938
1_3_2,97,Ele,0.3935281837160752,0.3744517543859649,114,1824
1_3_3,98,Adv,0.18908382066276802,0.19711042311661506,114,1938
1_3_3,98,Ele,0.21706016755521707,0.2482456140350877,114,2280
1_3_3,99,Adv,0.4175824175824176,0.4152046783625731,114,342
1_3_3,99,Ele,0.3333333333333333,0.3128654970760234,114,342
1_3_3,100,Adv,0.25705329153605017,0.24401913875598086,114,1254
1_3_3,100,Ele,0.16133518776077885,0.12550607287449392,114,1482
1_3_3,101,Adv,0.2509505703422053,0.2002063983488132,114,1938
1_3_3,101,Ele,0.3192488262910798,0.27631578947368424,114,456
1_3_3,102,Adv,0.2746268656716418,0.2714138286893705,114,1938
1_3_3,102,Ele,0.1852589641434263,0.14385964912280702,114,1140
