text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,0,Adv,280.0312854228066,195.0,408.7418927862343,114,4411
1_10_1,0,Ele,248.55203619909503,180.0,356.41603053435114,114,3757
1_10_1,1,Adv,312.4632454923717,224.0,419.00681959082453,114,2163
1_10_1,1,Ele,232.17220683287167,179.0,340.01690331304934,114,2166
1_10_1,2,Adv,256.6334260646266,181.0,379.9898605830165,114,4673
1_10_1,2,Ele,237.90388633514416,194.0,334.88470588235293,114,2393
1_10_2,3,Adv,338.6578512396694,225.0,435.0063694267516,114,1815
1_10_2,3,Ele,286.98107109879965,212.0,387.7735495945103,114,2166
1_10_2,4,Adv,300.75242130750604,224.0,407.2483606557377,114,3304
1_10_2,4,Ele,307.5334008097166,226.0,406.56958073148974,114,2964
1_10_2,5,Adv,227.60141748228148,174.0,346.9048353909465,114,2963
1_10_2,5,Ele,227.7845719661336,167.0,353.8261081344374,114,3189
1_10_2,6,Adv,252.46026328620187,191.0,360.0806675938804,114,2051
1_10_2,6,Ele,249.96099463676256,195.0,351.3845099383139,114,2051
1_10_3,7,Adv,310.7862220498901,212.0,434.27000180603216,114,7737
1_10_3,7,Ele,234.34829564630442,181.0,343.74950495049507,114,5926
1_10_3,8,Adv,327.3589029355046,223.0,445.80799533119347,114,4667
1_10_3,8,Ele,238.80116959064327,172.0,359.10175879396985,114,2394
1_10_4,9,Adv,328.72403100775193,223.0,443.72584583188,114,3870
1_10_4,9,Ele,280.9726829268293,193.5,386.5731543624161,114,2050
1_10_4,10,Adv,294.9719387755102,212.0,407.94237553900433,114,3528
1_10_4,10,Ele,259.11333699231614,190.0,375.13269765593964,114,3644
1_10_4,11,Adv,207.07492690058479,167.0,323.37728310502285,114,2736
1_10_4,11,Ele,204.25292397660817,169.5,317.04009077155825,114,2052
1_10_4,12,Adv,236.6202809482002,185.0,345.083866837388,114,4556
1_10_4,12,Ele,246.43080429827418,189.0,353.14465702286515,114,3071
1_10_4,13,Adv,226.58748466257668,168.0,358.44099378881987,114,4075
1_10_4,13,Ele,221.79720113851994,170.0,346.0758697261288,114,4216
1_10_5,14,Adv,335.126484254001,223.0,453.94405594405595,114,1937
1_10_5,14,Ele,308.14983534577385,215.0,419.3047050037341,114,1822
1_10_5,15,Adv,380.17805671780565,236.0,515.2885948330182,114,2151
