text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,Adv,190.59697905938896,176.0,267.6996142719383,59,5826
1_10_1,Ele,175.74067076051014,167.5,241.74333983105913,58,4234
1_10_2,Adv,186.2154203796978,177.0,249.15603939865215,58,5162
1_10_2,Ele,184.89327621531012,179.0,251.63295310519646,59,5369
1_10_3,Adv,202.4143990048204,183.0,272.55590452261305,59,6431
1_10_3,Ele,170.1721776098252,164.0,240.24974991663888,58,4234
1_10_4,Adv,190.90937146384118,175.0,268.37744034707157,59,9721
1_10_4,Ele,177.9328631138976,168.0,247.3677138187761,58,7656
1_10_5,Adv,199.60518444666002,183.0,266.3805360197681,59,7021
1_10_5,Ele,177.00744514106583,171.0,243.18869448183042,58,5104
1_10_6,Adv,186.74393857758622,175.0,252.2538209606987,58,7424
1_10_6,Ele,187.40414312617702,175.0,266.14495854506555,59,5310
1_10_7,Adv,165.59885057471266,162.0,237.00219338329373,58,7830
1_10_7,Ele,178.29628422425031,172.0,251.61591536338545,59,6136
1_1_1,Adv,187.07296798029557,174.0,258.77896081771723,58,6496
1_1_1,Ele,171.59957627118644,167.0,252.92697573865001,59,6136
1_1_2,Adv,175.68996032956971,166.0,254.91963692716405,58,6554
1_1_2,Ele,173.75353938185444,167.0,254.3415061295972,59,5015
1_1_3,Adv,189.19629483642098,171.0,267.92687691878314,59,5074
1_1_3,Ele,167.35166940339354,164.0,238.68188914910226,58,3654
1_1_4,Adv,195.37008753957906,180.0,266.8384634952938,59,5369
1_1_4,Ele,179.66640543364682,174.0,244.58143669985776,58,3828
1_1_5,Adv,171.41423728813558,164.0,254.2769024472008,59,4425
1_1_5,Ele,175.93837803320562,169.0,238.02980561555074,58,3132
1_1_6,Adv,184.4639498432602,173.0,254.33555992141453,58,7018
1_1_6,Ele,178.00968523002422,173.0,250.91467576791808,59,4543
1_1_7,Adv,174.4811535542626,172.0,248.90797546012269,59,7906
1_1_7,Ele,164.34021651964716,163.0,236.30123955030268,58,4988
1_2_1,Adv,195.08878748370273,181.0,268.2558264610972,59,7670
1_2_1,Ele,189.4291379310345,178.0,256.04497786063854,58,5800
1_2_2,Adv,193.1168813559322,177.0,266.9610121836926,59,7375
1_2_2,Ele,182.8839627805145,174.0,250.7064340649034,58,7308
1_2_3,Adv,180.00312343828085,172.0,252.1871171013478,58,8004
1_2_3,Ele,188.87089349236243,179.0,259.89461560610425,59,4779
1_2_4,Adv,169.99710634193391,164.0,245.38043856595894,58,8294
1_2_4,Ele,165.62898305084747,160.0,250.56692307692308,59,5900
1_2_5,Adv,178.23703148425787,170.0,247.6236200791502,58,6670
1_2_5,Ele,171.454564018787,168.0,245.3573933372297,59,4897
1_2_6,Adv,199.27143941310396,183.0,271.9088712461167,59,3953
1_2_6,Ele,171.2511890606421,166.0,247.46091065292097,58,3364
1_3_1,Adv,187.7715003138732,175.0,267.46944858420267,59,4779
1_3_1,Ele,160.96190858059342,158.0,240.4546271338724,58,4988
1_3_2,Adv,198.06896551724137,183.0,261.5602156980228,58,4408
1_3_2,Ele,187.92803129074315,180.0,257.854740608229,59,3835
1_3_3,Adv,185.52238567316917,174.0,263.45526793823797,59,6254
1_3_3,Ele,162.13575317604355,156.0,244.2230727173319,58,5510
1_3_4,Adv,179.47482453463533,169.0,256.43732286897756,58,6554
1_3_4,Ele,168.37996138167776,164.0,247.49889624724062,59,4661
1_3_5,Adv,179.44450431034483,168.0,255.91593668357154,58,9280
1_3_5,Ele,175.09923851633505,167.0,261.0139143171,59,4071
1_4_1,Adv,185.30845383759734,173.0,251.15679179858284,58,8990
1_4_1,Ele,179.705905720339,174.0,251.648247728537,59,7552
1_4_2,Adv,181.71922741161066,167.0,260.0773075121037,58,9164
1_4_2,Ele,170.44236086068037,167.0,251.44706508246142,59,8319
1_4_3,Adv,199.52030700351776,181.0,269.21251348435817,59,6254
1_4_3,Ele,170.75315391084945,170.0,236.48864298194525,58,4756
1_4_4,Adv,188.05958853000746,175.0,263.3114925373134,59,9381
1_4_4,Ele,176.423745444351,169.0,245.0081759781974,58,7134
1_4_5,Adv,180.07836990595612,170.0,251.60689843963866,58,5104
1_4_5,Ele,182.0086716594403,172.0,253.92136376134175,59,5074
1_5_1,Adv,177.98611111111111,165.0,263.9961592178771,59,4248
1_5_1,Ele,169.69690154922537,165.0,247.22497269748817,58,4002
1_5_2,Adv,178.6536429672023,168.0,261.6452288845906,59,9086
1_5_2,Ele,170.99562532166752,164.0,243.67033370003668,58,7772
1_5_3,Adv,201.25727136431783,185.0,261.980093676815,58,6670
1_5_3,Ele,192.0533800896162,180.0,260.31423290203327,59,5133
1_5_4,Adv,196.8769919231609,184.0,266.67460082791246,59,9162
1_5_4,Ele,181.74937304075235,173.0,246.45292242295432,58,6380
1_5_5,Adv,196.2813963388676,179.0,264.4479495268139,58,4698
1_5_5,Ele,204.73311052757222,185.0,276.386400257815,59,4189
1_6_1,Adv,203.51872290106425,182.0,275.3009864036257,59,5074
1_6_1,Ele,189.86856981345392,173.0,258.06953515174797,58,3538
1_6_2,Adv,186.82335148215367,175.0,252.56103046411778,58,6612
1_6_2,Ele,186.09044828132426,175.0,257.5726814295111,59,6313
1_6_3,Adv,201.69322033898305,181.0,270.08397639582387,59,5900
1_6_3,Ele,188.11332816737698,173.0,252.02206073189723,58,5162
1_6_4,Adv,176.36499674690955,164.0,252.92558898996967,58,6148
1_6_4,Ele,174.65514993481096,168.0,256.8753595397891,59,6136
1_7_1,Adv,165.37715517241378,156.0,253.6473556019485,58,8816
1_7_1,Ele,164.7766253478371,161.0,246.16855631141345,59,7906
1_7_2,Adv,158.25746268656715,155.0,239.57479548110635,58,7772
1_7_2,Ele,165.14854111405836,161.0,246.43182267959628,58,7540
1_7_3,Adv,183.92040769583141,174.0,257.0822794941572,59,8732
1_7_3,Ele,174.1057281276717,167.0,245.7510056315366,58,7018
1_7_4,Adv,171.8938504997827,163.0,258.21952015668353,59,9204
1_7_4,Ele,158.05223880597015,156.0,238.84542096052888,58,7772
1_8_1,Adv,163.23922413793105,157.0,239.07831919510753,58,7424
1_8_1,Ele,157.96412429378532,156.0,241.49989203195855,59,7080
1_8_2,Adv,197.95743596278834,181.0,267.31578041645156,59,7847
1_8_2,Ele,187.32339235787512,176.0,251.45704753961635,58,6438
1_8_3,Adv,179.80622995877232,171.0,254.22085492227978,59,8732
1_8_3,Ele,168.09969257795345,165.0,240.32838007534534,58,6831
1_8_4,Adv,183.3116961173218,172.0,260.32263571184706,59,8319
1_8_4,Ele,168.08983008495753,162.0,243.24552522147894,58,8004
1_8_5,Adv,185.18164402647162,175.0,256.7768654914272,58,5742
1_8_5,Ele,182.663290615957,175.0,254.8226643598616,59,4838
1_9_1,Adv,173.89322100313478,163.0,250.3669957686883,58,5104
1_9_1,Ele,170.51646489104115,170.0,248.58206847864454,59,4130
1_9_2,Adv,181.743930371049,174.0,256.0759466437177,59,6549
1_9_2,Ele,173.21719699678226,167.0,241.09902960935557,58,5594
1_9_3,Adv,187.89162091191216,172.0,267.71360544217686,59,4189
1_9_3,Ele,155.0243757431629,152.0,233.43867502238137,58,3364
1_9_4,Adv,175.32913599380086,170.0,242.18597805726517,58,5162
1_9_4,Ele,174.87502328180295,171.0,246.302203567681,59,5369
1_9_5,Adv,175.05359195402298,164.0,251.41828312009906,58,6960
1_9_5,Ele,185.51796610169492,177.0,257.4214487300094,59,4425
1_9_6,Adv,168.28669136506127,164.0,246.45993322203674,58,7018
1_9_6,Ele,171.43723301639795,166.0,252.61319796954314,59,7257
2_10_1,Adv,174.29560011138958,156.0,265.0414990472158,54,7182
2_10_1,Ele,174.84931972789116,166.0,247.67863165502288,56,5880
2_10_2,Adv,183.64803194523674,166.0,263.7190251894327,54,7012
2_10_2,Ele,190.2947218710493,176.0,258.0765109301329,56,6328
2_10_3,Adv,191.1613247863248,168.0,271.04284786842675,56,6552
2_10_3,Ele,163.8307849133537,152.0,249.950233281493,54,5886
2_10_4,Adv,203.80145676691728,180.0,277.02938358351963,56,8512
2_10_4,Ele,180.02081977878984,164.0,259.0749063670412,53,4611
2_1_1,Adv,191.95898910411623,181.0,256.4109561350313,56,6608
2_1_1,Ele,171.37473794549265,160.0,247.7769638797676,54,5724
2_1_2,Adv,184.43369324473974,167.0,258.85933553526326,56,7224
2_1_2,Ele,169.27777777777777,162.0,244.8942470389171,54,5130
2_1_3,Adv,158.82914046121593,153.0,245.11674305742787,54,5724
2_1_3,Ele,172.109623015873,164.0,249.08327351040919,56,4032
2_1_4,Adv,150.05791245791247,144.0,239.22275899087492,54,8910
2_1_4,Ele,172.48646616541353,164.0,252.02636638286185,56,5320
2_1_5,Adv,174.75426397271056,165.0,249.24719311377245,54,7622
2_1_5,Ele,192.9900468384075,178.0,257.4205388520109,56,6832
2_1_6,Adv,198.04008221993834,177.0,270.58873091100577,56,7784
2_1_6,Ele,167.3587509077705,158.0,240.87065586621375,54,5508
2_2_1,Adv,185.83433433433433,165.0,262.030345800988,54,5994
2_2_1,Ele,194.42907681940702,174.0,261.58907524932005,56,5936
2_2_2,Adv,182.95243282498186,163.0,261.9675909878683,54,8262
2_2_2,Ele,180.72707700101316,169.0,251.28033104419794,56,7896
2_2_3,Adv,190.5550108932462,170.0,263.8453996983409,54,5508
2_2_3,Ele,205.98546511627907,186.0,264.1880159786951,56,4816
2_2_4,Adv,246.83641581632654,212.0,287.76171003717474,56,3136
2_2_4,Ele,189.33962962962963,175.0,251.7070408665682,54,2700
2_2_5,Adv,201.7539052496799,179.0,269.1200683176772,55,7810
2_2_5,Ele,168.91761855313257,161.0,239.804914004914,54,5778
2_2_6,Adv,193.83354591836735,176.0,263.219688221709,56,4704
2_2_6,Ele,163.25335480407944,160.0,236.68560311284045,54,3726
2_3_1,Adv,169.020438957476,157.0,250.79564420924078,54,7290
2_3_1,Ele,174.46414835164836,165.0,246.81286436066847,56,7280
2_3_2,Adv,174.42016383112792,163.0,251.91554423006917,54,7935
2_3_2,Ele,194.00257554945054,173.5,259.8599356025759,56,5824
2_3_3,Adv,183.2093837535014,168.0,250.27710459183675,56,8568
2_3_3,Ele,161.34200157604414,155.0,236.49205890846088,54,5076
2_3_4,Adv,166.94990674127365,155.0,258.8033870301528,54,7506
2_3_4,Ele,189.1376728110599,171.0,262.18498802235825,56,5208
2_4_1,Adv,186.91354529616726,173.0,255.9818073367134,56,4592
2_4_1,Ele,156.97834757834758,153.0,238.52554112554114,54,3510
2_4_2,Adv,232.97584033613447,189.0,304.15935271530446,56,4760
2_4_2,Ele,176.2175202156334,167.0,241.77773668639054,53,3710
2_4_3,Adv,200.84016973125884,181.0,261.37873907040955,56,5656
2_4_3,Ele,179.89300214951038,170.0,246.30869849574884,53,4187
2_4_4,Adv,209.25892857142858,181.0,276.0749373433584,56,5264
2_4_4,Ele,187.9340732519423,170.0,250.33796570076876,53,4505
2_4_5,Adv,178.32058001397624,157.0,261.65265316585493,53,5724
2_4_5,Ele,201.2955069124424,173.0,274.5082482325216,56,5208
2_4_6,Adv,179.00281610813855,167.0,247.81247563352827,53,3551
2_4_6,Ele,190.73147321428573,174.5,251.3907031479847,56,4480
2_4_7,Adv,205.95745341614906,179.5,276.6143899895725,56,6440
2_4_7,Ele,168.32259549010584,159.0,247.3892458572878,53,4346
2_5_1,Adv,176.91774332472008,160.0,261.7135272881716,54,6966
2_5_1,Ele,179.6010101010101,167.0,253.29636224879167,56,5544
2_5_2,Adv,170.20999301187982,159.0,256.9760858097415,54,8586
2_5_2,Ele,176.40878378378378,165.0,251.7348484848485,56,6216
2_5_3,Adv,205.06150793650792,180.0,278.38653198653196,56,4032
2_5_3,Ele,164.11368312757202,155.0,244.0053537284895,54,3888
2_5_4,Adv,179.9046571323799,166.0,251.91270860077023,54,5454
2_5_4,Ele,196.38654181184668,179.0,260.86404396875906,56,4592
2_5_5,Adv,190.81243926141886,175.0,261.62025316455697,56,8232
2_5_5,Ele,164.90716999050332,155.0,250.9353323699422,54,4212
2_6_1,Adv,172.67010155316606,160.0,248.48463356973994,54,6696
2_6_1,Ele,185.99394673123487,173.0,254.46128364389233,56,6608
2_6_2,Adv,205.46813322368422,174.0,281.2034327518289,56,4864
2_6_2,Ele,156.56399176954733,152.0,237.26255067040847,54,4860
2_6_3,Adv,175.35021097046413,168.0,245.90532544378698,54,4266
2_6_3,Ele,181.05357142857142,173.0,246.3821796759941,56,3696
2_6_4,Adv,192.2072434607646,175.0,259.54015961962983,56,7952
2_6_4,Ele,161.32679738562092,156.0,230.82605985037407,54,4590
2_7_1,Adv,201.36015490533563,180.5,266.568499003133,56,4648
2_7_1,Ele,162.62430238457637,156.0,237.87198515769944,54,3942
