text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,Adv,179.5217115689382,0.0,434.3489263803681,59,3155
1_10_1,Ele,125.74165202108964,0.0,359.5326633165829,58,2276
1_10_2,Adv,167.27918038785216,0.0,387.435593220339,58,2733
1_10_2,Ele,164.91926345609065,0.0,377.4165316045381,59,2824
1_10_3,Adv,220.94789293849658,0.0,461.3370986920333,59,3512
1_10_3,Ele,143.56466129796306,0.0,354.46198830409355,58,2111
1_10_4,Adv,144.87509944311853,0.0,399.7980241492865,59,5028
1_10_4,Ele,146.94043967280163,0.0,408.26065340909093,58,3912
1_10_5,Adv,229.41789052069427,0.0,470.7780821917808,59,3745
1_10_5,Ele,172.1292775665399,0.0,398.5035211267606,58,2630
1_10_6,Adv,150.53623188405797,0.0,387.78133333333335,58,3864
1_10_6,Ele,156.24359437026345,0.0,416.6997112608277,59,2771
1_10_7,Adv,126.65053904811991,0.0,337.52768044849336,58,3803
1_10_7,Ele,137.55443991214307,0.0,362.60215053763443,59,3187
1_1_1,Adv,167.2713432835821,0.0,425.8047112462006,58,3350
1_1_1,Ele,105.58918918918918,0.0,352.1505832449629,59,3145
1_1_2,Adv,134.46480144404333,0.0,383.3284734133791,58,3324
1_1_2,Ele,106.15644904458598,0.0,342.3170731707317,59,2512
1_1_3,Adv,165.0461956521739,0.0,420.1175889328063,59,2576
1_1_3,Ele,143.2411194833154,0.0,391.96170839469806,58,1858
1_1_4,Adv,198.8293097585855,0.0,452.24825986078883,59,2941
1_1_4,Ele,185.22508507535247,0.0,420.0749724366042,58,2057
1_1_5,Adv,121.10389036251105,0.0,377.3236914600551,59,2262
1_1_5,Ele,150.00671140939596,0.0,375.6470588235294,58,1788
1_1_6,Adv,198.73117126775662,0.0,445.8604930847865,58,3731
1_1_6,Ele,136.78476821192052,0.0,371.31685393258425,59,2416
1_1_7,Adv,168.16909046093173,0.0,391.42971887550203,59,4057
1_1_7,Ele,122.50898921294447,0.0,342.23214285714283,58,2503
1_2_1,Adv,125.819590085796,0.0,381.7346348517715,59,4196
1_2_1,Ele,135.26553323029367,0.0,403.3032258064516,58,3235
1_2_2,Adv,135.50694801852805,0.0,393.5575485799701,59,3886
1_2_2,Ele,140.52463620117436,0.0,389.82648725212465,58,3917
1_2_3,Adv,172.8205904617714,0.0,422.24907521578297,58,3963
1_2_3,Ele,159.04049225883287,0.0,408.7989795918367,59,2519
1_2_4,Adv,135.4576473395371,0.0,393.1461218836565,58,4191
1_2_4,Ele,139.31476014760148,0.0,406.8351293103448,59,2710
1_2_5,Adv,141.40654073865238,0.0,410.78542178542176,58,3547
1_2_5,Ele,142.10795220436754,0.0,380.67991169977927,59,2427
1_2_6,Adv,225.73426573426573,0.0,488.10483870967744,59,2145
1_2_6,Ele,127.92033293697979,0.0,365.3005093378608,58,1682
1_3_1,Adv,165.3244462674323,0.0,410.86748216106014,59,2438
1_3_1,Ele,103.78880197612186,0.0,319.11772151898737,58,2429
1_3_2,Adv,192.78107680126683,0.0,413.38285229202035,58,2526
1_3_2,Ele,153.4965,0.0,378.070197044335,59,2000
1_3_3,Adv,140.346105129829,0.0,418.1254716981132,59,3158
1_3_3,Ele,115.66874770473743,0.0,390.2924411400248,58,2723
