text_id,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
1_10_1,Adv,0.4584620665980089,0.2880192241675249,59,5826
1_10_1,Ele,0.4624468587623996,0.2730278696268304,58,4234
1_10_2,Adv,0.4705540488182875,0.25261526540100737,58,5162
1_10_2,Ele,0.474017507915813,0.2652262991246042,59,5369
1_10_3,Adv,0.45389519514849946,0.25734722438190016,59,6431
1_10_3,Ele,0.5014170996693434,0.29168634860651865,58,4234
1_10_4,Adv,0.48276926242156154,0.28865343071700444,59,9721
1_10_4,Ele,0.4890282131661442,0.2806948798328109,58,7656
1_10_5,Adv,0.4666001994017946,0.25067654180316196,59,7021
1_10_5,Ele,0.484717868338558,0.2721394984326019,58,5104
1_10_6,Adv,0.4795258620689655,0.25969827586206895,58,7424
1_10_6,Ele,0.47815442561205274,0.29585687382297554,59,5310
1_10_7,Adv,0.5143039591315454,0.30127713920817367,58,7830
1_10_7,Ele,0.480606258148631,0.29139504563233376,59,6136
1_1_1,Adv,0.48429802955665024,0.2770935960591133,58,6496
1_1_1,Ele,0.4874511082138201,0.32154498044328556,59,6136
1_1_2,Adv,0.49282880683552027,0.31080256332010986,58,6554
1_1_2,Ele,0.4991026919242273,0.3168494516450648,59,5015
1_1_3,Adv,0.492313756405203,0.2938510051241624,59,5074
1_1_3,Ele,0.4915161466885605,0.2988505747126437,58,3654
1_1_4,Adv,0.45222574036133356,0.26783386105420004,59,5369
1_1_4,Ele,0.46264367816091956,0.26541274817136884,58,3828
1_1_5,Adv,0.4888135593220339,0.32587570621468925,59,4425
1_1_5,Ele,0.42911877394636017,0.2608556832694764,58,3132
1_1_6,Adv,0.4683670561413508,0.27472214306070103,58,7018
1_1_6,Ele,0.4681928241250275,0.29055690072639223,59,4543
1_1_7,Adv,0.4868454338477106,0.2990134075385783,59,7906
1_1_7,Ele,0.4981956696070569,0.3045308740978348,58,4988
1_2_1,Adv,0.4529335071707953,0.2727509778357236,59,7670
1_2_1,Ele,0.44224137931034485,0.26017241379310346,58,5800
1_2_2,Adv,0.47308474576271187,0.27661016949152545,59,7375
1_2_2,Ele,0.4640120415982485,0.2705254515599343,58,7308
1_2_3,Adv,0.5048725637181409,0.286231884057971,58,8004
1_2_3,Ele,0.47290228081188534,0.27327892864616027,59,4779
1_2_4,Adv,0.4946949602122016,0.3072100313479624,58,8294
1_2_4,Ele,0.5406779661016949,0.3389830508474576,59,5900
1_2_5,Adv,0.468215892053973,0.2802098950524738,58,6670
1_2_5,Ele,0.5043904431284459,0.30120481927710846,59,4897
1_2_6,Adv,0.4573741462180622,0.26713888186187706,59,3953
1_2_6,Ele,0.5,0.3079667063020214,58,3364
1_3_1,Adv,0.48985143335425824,0.2979702866708516,59,4779
1_3_1,Ele,0.5130312750601443,0.3305934242181235,58,4988
1_3_2,Adv,0.42695099818511795,0.24274047186932848,58,4408
1_3_2,Ele,0.4784876140808344,0.2711864406779661,59,3835
1_3_3,Adv,0.4950431723696834,0.295810681164055,59,6254
1_3_3,Ele,0.5058076225045373,0.33611615245009074,58,5510
1_3_4,Adv,0.47528227036924015,0.30012206286237414,58,6554
1_3_4,Ele,0.5018236429950654,0.31967388972323535,59,4661
1_3_5,Adv,0.49698275862068964,0.2988146551724138,58,9280
1_3_5,Ele,0.49864898059444857,0.3291574551707197,59,4071
1_4_1,Adv,0.47552836484983313,0.2621802002224694,58,8990
1_4_1,Ele,0.4710010593220339,0.2858845338983051,59,7552
1_4_2,Adv,0.48919685726756873,0.3012876473155827,58,9164
1_4_2,Ele,0.511479745161678,0.3221541050607044,59,8319
1_4_3,Adv,0.46194435561240804,0.25887432043492165,59,6254
1_4_3,Ele,0.47645079899074855,0.27796467619848614,58,4756
1_4_4,Adv,0.5048502291866539,0.2857904274597591,59,9381
1_4_4,Ele,0.5203252032520326,0.27992710961592376,58,7134
1_4_5,Adv,0.4768808777429467,0.2842868338557994,58,5104
1_4_5,Ele,0.5007883326763894,0.28320851399290503,59,5074
1_5_1,Adv,0.4830508474576271,0.3258003766478343,59,4248
1_5_1,Ele,0.46901549225387307,0.3135932033983008,58,4002
1_5_2,Adv,0.4925159586176535,0.3171912832929782,59,9086
1_5_2,Ele,0.47761194029850745,0.2982501286670098,58,7772
1_5_3,Adv,0.4589205397301349,0.231784107946027,58,6670
1_5_3,Ele,0.4525618546658874,0.2622248197934931,59,5133
1_5_4,Adv,0.45579567779960706,0.26173324601615366,59,9162
1_5_4,Ele,0.5047021943573667,0.26253918495297807,58,6380
1_5_5,Adv,0.48488718603661135,0.25776926351638996,58,4698
1_5_5,Ele,0.4437813320601576,0.2592504177608021,59,4189
1_6_1,Adv,0.43713046905794245,0.26074103271580606,59,5074
1_6_1,Ele,0.42227247032221593,0.2642736009044658,58,3538
1_6_2,Adv,0.4785238959467635,0.2602843315184513,58,6612
1_6_2,Ele,0.48930777760177413,0.27752257246950734,59,6313
1_6_3,Adv,0.43745762711864405,0.25322033898305085,59,5900
1_6_3,Ele,0.47326617590081366,0.25358388221619527,58,5162
1_6_4,Adv,0.47901756668835394,0.30270006506180874,58,6148
1_6_4,Ele,0.4617014341590613,0.3200782268578879,59,6136
1_7_1,Adv,0.5043103448275862,0.34800362976406535,58,8816
1_7_1,Ele,0.4896281305337718,0.33063496078927396,59,7906
1_7_2,Adv,0.5329387545033454,0.3394235717961915,58,7772
1_7_2,Ele,0.5095490716180371,0.32984084880636605,58,7540
1_7_3,Adv,0.4718277599633532,0.28458543289051763,59,8732
1_7_3,Ele,0.4934454260473069,0.29153605015673983,58,7018
1_7_4,Adv,0.512277270751847,0.33431116905693176,59,9204
1_7_4,Ele,0.5086206896551724,0.3382655687081832,58,7772
1_8_1,Adv,0.4948814655172414,0.31721443965517243,58,7424
1_8_1,Ele,0.48983050847457626,0.3459039548022599,59,7080
1_8_2,Adv,0.45240219192047915,0.25946221485918186,59,7847
1_8_2,Ele,0.47343895619757687,0.25504815159987576,58,6438
1_8_3,Adv,0.4832798900595511,0.2927164452588181,59,8732
1_8_3,Ele,0.47899282681891375,0.30054164836773534,58,6831
1_8_4,Adv,0.4731337901190047,0.2958288255799976,59,8319
1_8_4,Ele,0.4917541229385307,0.3089705147426287,58,8004
1_8_5,Adv,0.47579240682688956,0.2788227098571926,58,5742
1_8_5,Ele,0.4855312112443158,0.28317486564696154,59,4838
1_9_1,Adv,0.4717868338557994,0.30544670846394983,58,5104
1_9_1,Ele,0.449636803874092,0.31404358353510897,59,4130
1_9_2,Adv,0.47900442815697053,0.29027332417162927,59,6549
1_9_2,Ele,0.5005362888809438,0.28155166249553093,58,5594
1_9_3,Adv,0.47027930293626163,0.2981618524707567,59,4189
1_9_3,Ele,0.5172413793103449,0.33590963139120095,58,3364
1_9_4,Adv,0.5038744672607517,0.2760557923285548,58,5162
1_9_4,Ele,0.5056807599180481,0.2899981374557646,59,5369
1_9_5,Adv,0.5035919540229885,0.30373563218390803,58,6960
1_9_5,Ele,0.45943502824858756,0.27932203389830507,59,4425
1_9_6,Adv,0.5007124536905101,0.31718438301510404,58,7018
1_9_6,Ele,0.4836709384042993,0.3213449083643379,59,7257
2_10_1,Adv,0.5176830966304651,0.34238373712057923,54,7182
2_10_1,Ele,0.47278911564625853,0.29404761904761906,56,5880
2_10_2,Adv,0.47832287507130633,0.30362236166571593,54,7012
2_10_2,Ele,0.4563843236409608,0.26264222503160556,56,6328
2_10_3,Adv,0.4932844932844933,0.2947191697191697,56,6552
2_10_3,Ele,0.5217465171593612,0.34454638124362896,54,5886
2_10_4,Adv,0.4651080827067669,0.2643327067669173,56,8512
2_10_4,Ele,0.4671437865972674,0.30513988288874433,53,4611
2_1_1,Adv,0.4420399515738499,0.25136198547215494,56,6608
2_1_1,Ele,0.49283717679944095,0.3083508036338225,54,5724
2_1_2,Adv,0.4826965669988926,0.2875138427464009,56,7224
2_1_2,Ele,0.4949317738791423,0.3087719298245614,54,5130
2_1_3,Adv,0.5138015373864431,0.35202655485674356,54,5724
2_1_3,Ele,0.4779265873015873,0.3090277777777778,56,4032
2_1_4,Adv,0.5466891133557801,0.37272727272727274,54,8910
2_1_4,Ele,0.47387218045112783,0.3156015037593985,56,5320
2_1_5,Adv,0.49816321175544476,0.2988716872212018,54,7622
2_1_5,Ele,0.46252927400468385,0.2502927400468384,56,6832
2_1_6,Adv,0.4488694758478931,0.2681140801644399,56,7784
2_1_6,Ele,0.48620188816267246,0.3051924473493101,54,5508
2_2_1,Adv,0.4901568234901568,0.2907907907907908,54,5994
2_2_1,Ele,0.465633423180593,0.25673854447439354,56,5936
2_2_2,Adv,0.5190026627935125,0.30162188332122974,54,8262
2_2_2,Ele,0.48720871327254306,0.28077507598784196,56,7896
2_2_3,Adv,0.4911038489469862,0.2777777777777778,54,5508
2_2_3,Ele,0.40884551495016613,0.22030730897009967,56,4816
2_2_4,Adv,0.35841836734693877,0.14221938775510204,56,3136
2_2_4,Ele,0.43925925925925924,0.2477777777777778,54,2700
2_2_5,Adv,0.4930857874519846,0.25032010243277847,55,7810
2_2_5,Ele,0.5003461405330564,0.2956040152301835,54,5778
2_2_6,Adv,0.44621598639455784,0.26360544217687076,56,4704
2_2_6,Ele,0.5254965110037574,0.310252281266774,54,3726
2_3_1,Adv,0.5178326474622771,0.3260631001371742,54,7290
2_3_1,Ele,0.4855769230769231,0.29313186813186815,56,7280
