text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,0,Adv,152.73490813648294,165.0,216.19318885448916,59,2286
1_10_1,0,Ele,150.08934169278996,160.0,204.75481111903065,58,1914
1_10_1,1,Adv,174.6984834968778,180.0,228.51458576429405,59,1121
1_10_1,1,Ele,142.3856624319419,150.0,201.68251928020567,58,1102
1_10_1,2,Adv,156.01488218272013,163.0,225.17899761336517,59,2419
1_10_1,2,Ele,155.82348111658456,166.0,211.58639910813824,58,1218
1_10_2,3,Adv,172.85883620689654,171.0,215.03083109919572,58,928
1_10_2,3,Ele,168.72613737734167,179.0,221.99765258215962,59,1121
1_10_2,4,Adv,169.8370986920333,178.0,224.4037706205813,58,1682
1_10_2,4,Ele,171.10821382007822,178.0,225.4982817869416,59,1534
1_10_2,5,Adv,147.58753315649867,155.0,206.64995357474467,58,1508
1_10_2,5,Ele,147.81598062953995,157.0,215.90804597701148,59,1652
1_10_2,6,Adv,155.46455938697318,163.0,212.998687664042,58,1044
1_10_2,6,Ele,161.7843691148776,165.0,215.30701754385964,59,1062
1_10_3,7,Adv,166.7943668993021,169.0,228.07736877982276,59,4012
1_10_3,7,Ele,148.66710875331566,160.0,207.1996303142329,58,3016
1_10_3,8,Adv,174.79867713931375,179.0,229.55374592833877,59,2419
1_10_3,8,Ele,145.49425287356323,152.0,212.22994011976047,58,1218
1_10_4,9,Adv,173.08125623130607,177.0,224.43503555268262,59,2006
1_10_4,9,Ele,164.91858237547893,169.0,210.48288508557457,58,1044
1_10_4,10,Adv,177.5997813012575,182.0,236.92924872355945,59,1829
1_10_4,10,Ele,160.43911637931035,163.0,214.84487734487735,58,1856
1_10_4,11,Adv,144.35734463276836,150.0,221.94353963083606,59,1416
1_10_4,11,Ele,145.74329501915707,156.0,214.0028129395218,58,1044
1_10_4,12,Adv,158.9436440677966,166.0,223.012485136742,59,2360
1_10_4,12,Ele,154.72541507024266,158.0,211.2467306015693,58,1566
1_10_4,13,Adv,147.34265402843602,157.0,223.02223816355811,59,2110
1_10_4,13,Ele,142.01397949673813,154.0,210.90795847750866,58,2146
1_10_5,14,Adv,165.14257228315054,172.0,216.80366492146598,59,1003
1_10_5,14,Ele,160.60344827586206,168.0,206.14107883817428,58,928
1_10_5,15,Adv,175.65834076717218,179.0,230.57728337236534,59,1121
1_10_5,15,Ele,159.75313479623824,164.0,214.12289915966386,58,1276
1_10_5,16,Adv,176.34171678512848,179.0,227.6139731827805,59,1829
1_10_5,16,Ele,162.3139367816092,168.0,217.25096153846152,58,1392
1_10_5,17,Adv,158.02477183833116,166.0,217.7987421383648,59,3068
1_10_5,17,Ele,135.79708222811672,146.0,204.782,58,1508
1_10_6,18,Adv,165.43041871921181,171.0,213.39078633836377,58,1624
1_10_6,18,Ele,173.12966101694914,177.0,225.24035281146638,59,1180
1_10_6,19,Adv,162.06173526140157,168.0,215.04575645756458,58,1798
