text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,0,Adv,305.71309314586995,210.0,433.5221183800623,59,2276
1_10_1,0,Ele,284.697223677318,198.0,388.7603719599428,58,1909
1_10_1,1,Adv,340.5129579982127,249.0,445.6538011695906,59,1119
1_10_1,1,Ele,240.1524500907441,189.0,340.16452442159385,58,1102
1_10_1,2,Adv,265.71009098428453,193.0,383.57432835820896,59,2418
1_10_1,2,Ele,246.5254515599343,200.0,334.7469342251951,58,1218
1_10_2,3,Adv,358.7692307692308,244.0,446.88798920377866,58,923
1_10_2,3,Ele,318.31846565566457,232.0,418.82042253521126,59,1121
1_10_2,4,Adv,312.6769779892921,235.0,413.2154088050315,58,1681
1_10_2,4,Ele,323.2411994784876,236.5,425.9896907216495,59,1534
1_10_2,5,Adv,255.12732095490716,200.5,357.22562674094706,58,1508
1_10_2,5,Ele,259.9084848484849,183.0,379.8485385296723,59,1650
1_10_2,6,Adv,279.3652924256951,209.0,382.88830486202363,58,1043
1_10_2,6,Ele,287.813383600377,220.0,383.1493099121706,59,1061
1_10_3,7,Adv,344.20364817591206,232.0,471.10225718194255,59,4002
1_10_3,7,Ele,257.31552753815527,193.0,358.71831637372804,58,3014
1_10_3,8,Adv,352.6967314853124,250.0,463.29782608695655,59,2417
1_10_3,8,Ele,261.28735632183907,190.0,381.13532934131734,58,1218
1_10_4,9,Adv,354.254,243.0,459.7715768981181,59,2000
1_10_4,9,Ele,319.209012464046,218.0,407.5091799265606,58,1043
1_10_4,10,Adv,328.13253012048193,238.5,437.9897660818713,59,1826
1_10_4,10,Ele,298.73812095032395,218.0,400.33502170767,58,1852
1_10_4,11,Adv,221.0,175.0,339.7785016286645,59,1416
1_10_4,11,Ele,216.9808429118774,180.0,318.60478199718705,58,1044
1_10_4,12,Adv,261.735368956743,202.0,367.3642857142857,59,2358
1_10_4,12,Ele,274.5234124438743,206.0,375.42280701754385,58,1559
1_10_4,13,Adv,237.64644549763034,179.0,359.70875179340027,59,2110
1_10_4,13,Ele,235.52938432835822,177.0,349.94802494802497,58,2144
1_10_5,14,Adv,352.67497507477566,242.0,463.00130890052355,59,1003
1_10_5,14,Ele,343.74622030237583,239.5,441.4826629680999,58,926
1_10_5,15,Adv,405.7938793879388,259.0,534.1670616113744,59,1111
1_10_5,15,Ele,284.33777429467085,219.5,381.10819327731093,58,1276
1_10_5,16,Adv,379.808429118774,256.0,490.3957597173145,59,1827
1_10_5,16,Ele,313.32327586206895,222.0,419.37115384615385,58,1392
1_10_5,17,Adv,292.0476035213564,213.0,402.5662921348315,59,3067
1_10_5,17,Ele,226.0397877984085,174.5,340.868,58,1508
1_10_6,18,Adv,323.814312152992,248.0,417.91640127388536,58,1621
1_10_6,18,Ele,334.2298558100085,243.0,434.9415011037528,59,1179
1_10_6,19,Adv,307.9119777158774,229.0,408.80325443786984,58,1795
1_10_6,19,Ele,284.6262210796915,204.0,406.7582659808964,59,1945
1_10_6,20,Adv,296.8103448275862,211.5,410.9108040201005,58,1102
1_10_6,20,Ele,280.5556603773585,191.0,410.75828729281767,59,1060
1_10_6,21,Adv,275.4458525345622,212.0,377.108832807571,58,868
1_10_6,22,Adv,240.1143375680581,188.5,344.5390625,58,1102
1_10_6,22,Ele,207.63660714285714,172.0,313.41374663072776,59,1120
1_10_6,23,Adv,269.8187702265372,205.0,367.2863436123348,58,927
1_10_7,24,Adv,257.4620315581854,195.0,361.58795013850414,58,2028
1_10_7,24,Ele,321.3031161473088,218.5,420.8534322820037,59,706
1_10_7,25,Adv,288.6473880597015,215.0,393.42657342657344,58,2144
1_10_7,25,Ele,300.2783669141039,222.0,396.86405045550106,59,1886
1_10_7,26,Adv,231.9405172413793,194.0,330.1239263803681,58,1160
1_10_7,26,Ele,268.95,204.5,369.02441860465115,59,1180
1_10_7,27,Adv,194.39574979951885,164.0,296.52782874617736,58,2494
1_10_7,27,Ele,218.52522255192878,172.0,339.81608437706,59,2359
1_1_1,28,Adv,306.041383570105,209.0,422.76535836177476,58,1619
1_1_1,28,Ele,267.25742574257424,192.0,387.1946721311475,59,1414
1_1_1,29,Adv,244.23586206896553,185.5,355.921608040201,58,1450
1_1_1,29,Ele,229.90556900726392,184.0,335.5159010600707,59,1239
1_1_1,30,Adv,332.66874135546334,239.0,423.0773966578716,58,1446
1_1_1,30,Ele,216.2253179890975,179.0,321.32133213321333,59,1651
1_1_1,31,Adv,287.1702235772358,206.0,409.82668600435096,58,1968
1_1_1,31,Ele,240.49644614543467,181.0,359.3692810457516,59,1829
1_1_2,32,Adv,307.18275862068964,223.0,388.44331395348837,58,870
1_1_2,33,Adv,323.0423197492163,227.5,448.045652173913,58,638
1_1_2,33,Ele,336.21174652241115,205.0,446.6714579055442,59,647
1_1_2,34,Adv,268.84241598546777,202.0,373.26040353089536,58,2202
