text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,Adv,161.24268629254829,156.0,239.63740771123872,55,5435
1_10_1,Ele,154.38918786692759,156.0,231.44224422442244,56,4088
1_10_2,Adv,162.34590690208668,159.0,238.68200589970502,56,4984
1_10_2,Ele,157.55104895104895,156.0,230.83811475409837,55,5005
1_10_3,Adv,167.25904920767306,160.0,238.17529691211402,55,5995
1_10_3,Ele,146.448385518591,152.0,227.2034155597723,56,4088
1_10_4,Adv,160.17164920022063,153.0,242.96452476572958,55,9065
1_10_4,Ele,150.94237012987014,151.0,238.30969671080734,56,7392
1_10_5,Adv,174.76837280366692,163.0,251.50813544415126,55,6545
1_10_5,Ele,161.11789772727272,161.0,238.57842548076923,56,4928
1_10_6,Adv,155.96135602678572,152.0,239.89935622317597,56,7168
1_10_6,Ele,152.45111111111112,146.0,240.4821542383684,55,4950
1_10_7,Adv,142.24801587301587,142.0,234.44408109875735,56,7560
1_10_7,Ele,141.01223776223776,136.0,230.58604917095482,55,5720
1_1_1,Adv,169.28029336734693,160.0,256.4555555555556,56,6272
1_1_1,Ele,156.81206293706293,150.0,242.2265730488793,55,5720
1_1_2,Adv,150.1539190897598,146.0,245.58645644869475,56,6328
1_1_2,Ele,148.42973262032086,143.0,235.38297150610583,55,4675
1_1_3,Adv,158.5310782241015,152.0,241.26512226512227,55,4730
1_1_3,Ele,147.10119047619048,147.0,234.40514905149053,56,3528
1_1_4,Adv,158.34685314685314,156.0,236.85774058577405,55,5005
1_1_4,Ele,151.64908008658008,152.0,230.37196876284423,56,3696
1_1_5,Adv,140.95733333333334,137.0,237.03587443946188,55,4125
1_1_5,Ele,144.14814814814815,144.0,227.5073068893528,56,3024
1_1_6,Adv,157.4228158205431,154.0,239.65333632891486,56,6776
1_1_6,Ele,152.20637544273907,153.0,231.868345323741,55,4235
1_1_7,Adv,149.7966078697422,149.0,230.33611516795327,55,7370
1_1_7,Ele,148.86752491694352,153.0,230.23314065510598,56,4816
1_2_1,Adv,168.26167832167832,161.0,250.17072156373467,55,7150
1_2_1,Ele,163.72625,160.0,242.94303126656067,56,5600
1_2_2,Adv,168.76858181818181,158.0,248.24219084296107,55,6875
1_2_2,Ele,156.43990929705217,156.0,235.36034115138594,56,7056
1_2_3,Adv,152.62344720496895,151.0,239.14720194647202,56,7728
1_2_3,Ele,171.43950617283951,164.0,239.12429555416406,55,4455
1_2_4,Adv,143.89473026973027,145.0,231.10890493381467,56,8008
1_2_4,Ele,143.10618181818182,144.0,225.13844393592677,55,5500
1_2_5,Adv,151.48462732919253,154.0,233.83533077660596,56,6440
1_2_5,Ele,156.73756845564074,153.0,229.0355313700384,55,4565
1_2_6,Adv,181.08113975576663,167.0,257.43981481481484,55,3685
1_2_6,Ele,149.11391625615764,149.5,232.06612362242453,56,3248
1_3_1,Adv,162.63052749719415,149.0,252.97451117318437,55,4455
1_3_1,Ele,142.83492524916943,145.0,229.75718102872412,56,4816
1_3_2,Adv,171.8672462406015,164.0,245.87126050420167,56,4256
1_3_2,Ele,170.46825174825176,164.0,244.84692647649658,55,3575
1_3_3,Adv,161.58421955403088,154.0,244.30394190871368,55,5830
1_3_3,Ele,143.90714285714284,143.0,234.7703158540325,56,5320
1_3_4,Adv,153.4492730720607,151.0,244.8378719112456,56,6328
1_3_4,Ele,143.82807825086306,142.0,230.85814554857777,55,4345
1_3_5,Adv,157.26361607142857,155.0,239.43619371282924,56,8960
1_3_5,Ele,156.85928853754942,150.0,241.88581877285657,55,3795
1_4_1,Adv,148.38375576036867,143.0,238.7341983317887,56,8680
1_4_1,Ele,148.11335227272727,146.0,232.95755138516532,55,7040
