text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_1,0,Adv,1.7411143131604228,1.0,2.248759305210918,54,2082
1_10_1,0,Ele,1.5611672278338946,1.0,2.0028797696184304,54,1782
1_10_1,1,Adv,1.922027290448343,2.0,2.2956926658905705,54,1026
1_10_1,1,Ele,1.4844054580896686,1.0,1.8825710754017306,54,1026
1_10_1,2,Adv,1.547877145438121,1.0,2.041095890410959,54,2214
1_10_1,2,Ele,1.4188712522045854,1.0,1.7413419913419914,54,1134
1_10_2,3,Adv,2.2083333333333335,2.0,2.620879120879121,54,864
1_10_2,3,Ele,1.7222222222222223,1.0,2.106078665077473,54,1026
1_10_2,4,Adv,1.7471264367816093,1.0,2.1078582434514637,54,1566
1_10_2,4,Ele,1.8518518518518519,1.0,2.2222222222222223,54,1404
1_10_2,5,Adv,1.4836182336182335,1.0,1.9449112978524743,54,1404
1_10_2,5,Ele,1.4212962962962963,1.0,1.9102222222222223,54,1512
1_10_2,6,Adv,1.6111111111111112,1.0,2.005121638924456,54,972
1_10_2,6,Ele,1.4372427983539096,1.0,1.8503311258278146,54,972
1_10_3,7,Adv,1.8839869281045751,1.0,2.3498641304347827,54,3672
1_10_3,7,Ele,1.4725783475783476,1.0,1.9090489381348108,54,2808
1_10_3,8,Adv,1.9327009936766035,1.0,2.443746430611079,54,2214
1_10_3,8,Ele,1.498236331569665,1.0,1.9801864801864801,54,1134
1_10_4,9,Adv,1.9787581699346406,1.0,2.4203864090606264,54,1836
1_10_4,9,Ele,1.8220164609053497,1.0,2.2027363184079602,54,972
1_10_4,10,Adv,1.6810035842293907,1.0,2.128593040847201,54,1674
1_10_4,10,Ele,1.6487268518518519,1.0,2.0841258229700075,54,1728
1_10_4,11,Adv,1.2260802469135803,1.0,1.7012847965738758,54,1296
1_10_4,11,Ele,1.1584362139917694,1.0,1.6486090775988287,54,972
1_10_4,12,Adv,1.4037037037037037,1.0,1.849908480780964,54,2160
1_10_4,12,Ele,1.6323731138545954,1.0,2.037671232876712,54,1458
1_10_4,13,Adv,1.3734375,1.0,1.967910447761194,54,1920
1_10_4,13,Ele,1.4039039039039038,1.0,1.8850806451612903,54,1998
1_10_5,14,Adv,2.133986928104575,2.0,2.601593625498008,54,918
1_10_5,14,Ele,1.9085648148148149,1.0,2.3323903818953324,54,864
1_10_5,15,Adv,2.5409356725146197,2.0,3.088862559241706,54,1026
