metric,group,n,mean,ci95,mean_ci
number_of_passages,original,108016,108016.0,,108016
number_of_sentences,original,108016,108016.0,,108016
words_per_passage,original,108016,21.191499407495186,0.05235630123467386,21.19 ± 0.05
sentences_per_passage,original,108016,1.0,0.0,1.00 ± 0.00
sentence_length_words,original,108016,21.191499407495186,0.05235630123467386,21.19 ± 0.05
word_length_characters,original,2289021,4.939554508237364,0.003603840489635586,4.94 ± 0.00
word_frequency_wordfreq,original,2289021,12.098145883595443,0.00799201583037414,12.10 ± 0.01
word_surprisal_pythia70m,original,2289021,5.911724054703537,0.006781376241115923,5.91 ± 0.01
number_of_passages,simplified,108016,108016.0,,108016
number_of_sentences,simplified,108016,114924.0,,114924
words_per_passage,simplified,108016,17.38265627314472,0.046681561349907676,17.38 ± 0.05
sentences_per_passage,simplified,108016,1.063953488372093,0.0015461137687397914,1.06 ± 0.00
sentence_length_words,simplified,108016,16.526087395021165,0.042463646521205774,16.53 ± 0.04
word_length_characters,simplified,1877605,4.783393205706205,0.003790436178335344,4.78 ± 0.00
word_frequency_wordfreq,simplified,1877605,11.868619261516104,0.008627102059431601,11.87 ± 0.01
word_surprisal_pythia70m,simplified,1877605,5.984116226530614,0.007302163233766279,5.98 ± 0.01
